original_commit,corrected_commit
112456bbc04febcd9eef96782451fda50e385d23,112456bbc04febcd9eef96782451fda50e385d23
c77444af041552bf209dd37f08880caf236f91e3,c77444af041552bf209dd37f08880caf236f91e3
bcd93ab2032d78131059e83fa227dc5b956bfe56,bcd93ab2032d78131059e83fa227dc5b956bfe56
840f2de53705a4ade3bac3cf2df4060327237473,840f2de53705a4ade3bac3cf2df4060327237473
87a5256a6924e41c09a9c10871ab1525a1003146,87a5256a6924e41c09a9c10871ab1525a1003146
ebdb1fe7aa8bc7e7d7b90331abd859f2f194ac58,ebdb1fe7aa8bc7e7d7b90331abd859f2f194ac58
8c0f377443a2ed279e25834122b2e7132e64c6bb,8c0f377443a2ed279e25834122b2e7132e64c6bb
aaf0081a81a3c7ed8e4b29f2a259ba7da61b0c57,aaf0081a81a3c7ed8e4b29f2a259ba7da61b0c57
4499e36cda92243f417448b6a57889ded37dfe2f,4499e36cda92243f417448b6a57889ded37dfe2f
1fa0cf80af5c8fe94212d7d38bdce9766cabd687,1fa0cf80af5c8fe94212d7d38bdce9766cabd687
8daa7e570f0b094d5f5a9792496015314f6edf9b,8daa7e570f0b094d5f5a9792496015314f6edf9b
fcc2c9d2253a733ba01456f58a4693de23ba9bb0,fcc2c9d2253a733ba01456f58a4693de23ba9bb0
7c8b67838c520850744e99fa3d229483fa811b0b,7c8b67838c520850744e99fa3d229483fa811b0b
71a0cea17099555eeb0f9a14b659a47c76d57004,71a0cea17099555eeb0f9a14b659a47c76d57004
bcce06ae99c6297d31136466bb99b73bcbfdda1c,bcce06ae99c6297d31136466bb99b73bcbfdda1c
25044f05566c21a19584a8dee95dad327044564b,25044f05566c21a19584a8dee95dad327044564b
3b734df5df95c299c91a37470300e2aac7654f65,3b734df5df95c299c91a37470300e2aac7654f65
1e69262ac8f779805f7fde02ff7169eb2d71e6de,d19a44660efcb7215b6103c5eb7d0a1aff42ceb6
771b0a818ed6be81d9c4280ae04dcdd817a0f59f,1a5b95734612ab3b05b199e356dc1e9e26f2ebf1
463da77115205ee7878f007698e415d296d81e4e,6b33c254335378e658ad3d11684de02ce966fd43
ccb0088ee6167404e18d23b8a570cf07be820cdf,a165c7f1a879250fba14786f9ef2318aa23f8204
156ce3571af6be6ee9dd4c1111f2a23b0c177332,7f524f3656f9f15b92ed50db713f2f711f8df645
f728394e31d5fddf75c49d197e957f4aa008b16e,59bfda5b996602e0c138dc395b4966b90ee50bca
5311ad280de85f3f521f835355ac3e8b14355ec3,34a58dbb394b51c8c81f5c2c426904d742b03506
1099ac7a79b53b0453297d3d280644771a3e2992,e000aed46e438104ffc52189f3655eb32975e7df
a34338d646adf71883a525057f4338208f1fc813,be718739f7f63c7a5d2c070c6b8027db6e76062e
95cd5ac7ebb15d815e7db964f80930bcf533211c,96ebf1f24a5e8772e97f42050ba13b29f07710a4
907c486019adae388582eaaf8289ab2627cb3d39,55d2021a0deb8288d72b378d69bf3fb1c83c5d55
7d88e32efd13b99145d498cc8c14c412471b1848,5caade9e7e76dbb18221a48f6a78b761ffb408c3
8069a7ab18a6d50461d276d42288fe912bc14662,b243722ada473f6017d7d6af1471435b820ae18d
77ada00f11cb723097fcde1d53e2a3ad7c645ccf,18b811b62f1df085c9d489f250e8d034f51c5b1a
64be472088f0abcfd5299d73739d7591cd664f71,868126bd6bb890049f7d99708e8f5de8e2bd3259
f46e8face2330d6cb641fa950f3a7861cf5656cc,06ab51a7c4f53b00458115da9a682e61176e7c08
0c555f5c105db0757833710ad94b6aed55282406,111e3af72b65272c10310e666d25d3f81c9f136a
01dc7c3930a77520cda215ba2847eaa4f2ff633f,e62c376587be6aa1710b7ff37afb20836918190a
2cc28bce5e0947ed96a66f892c6f09c1239fd193,7cfebbc5cb5b9850833de3f4f36d2b99e2c22bdb
1e23fd77bc24e916ae7c7950f617d1223271870c,2e96d5c5914835f83997392f06e613869486bc06
811a8ac18e939b30d5076671d68ec4750e2b5cbc,245c0a5ba2a33538a9f5d49479720bdb99824a8b
ec6fa3b8dc6d52437ff7e07c87bbb5f9983b5b4e,3ca266d6e3c6ad052005b35fcfaa2cae46814faa
b868debc5b27eeb24654d4a7cf45160d1f6304c6,a1ab963a900b6e294f166ee428c29572b636f694
