condition,profile,n,architecture,shielded,kind,spread,hours,p_outage_k4,p_outage_k1,self_inflicted_steps,p_any_self_inflicted,shield_interventions,share_connected,share_disconnect,share_zone_lockdown,share_islands,share_micro_lockdown
passive,pooled,600,today,0,scripted,0.5185451495886579,173.65809722222224,0.605,0.6733333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
passive_replicas,pooled,600,replicas,0,scripted,0.5185451495886579,176.31454166666668,0.605,0.6733333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
disconnect,pooled,600,today,0,scripted,0.3775362271237475,247.39747222222223,0.7316666666666667,0.8616666666666667,195.44166666666666,0.8866666666666667,0.0,0.40841391747769035,0.5915860825223096,0.0,0.0,0.0
disconnect_shielded,pooled,600,today,1,scripted,0.40076968374184996,178.97161111111112,0.6,0.6683333333333333,0.0,0.0,0.6483333333333333,0.6458081640535528,0.35419183594644726,0.0,0.0,0.0
zone_lockdown,pooled,600,today,0,scripted,0.4808397946773201,174.41547222222223,0.6016666666666667,0.6716666666666666,0.0,0.0,0.0,0.4137418117089491,0.0,0.5862581882910509,0.0,0.0
micro_lockdown_upper_bound,pooled,600,today,0,scripted,0.3443425354889515,167.5209861111111,0.56,0.6433333333333333,0.0,0.0,0.0,0.41642318049423876,0.0,0.0,0.0,0.5835768195057612
islands,pooled,600,replicas,0,scripted,0.3773760526424727,162.3256111111111,0.5666666666666667,0.5966666666666667,17.336666666666666,0.6166666666666667,0.0,0.40701895650512465,0.0,0.0,0.5929810434948753,0.0
islands_shielded,pooled,600,replicas,1,scripted,0.38328364083479133,164.4835833333333,0.5733333333333334,0.59,0.0,0.0,1.0,0.4365574464137427,0.0,0.0,0.5634425535862573,0.0
q_containment_today,pooled,600,today,0,learned,0.14576909881447028,178.56655555555554,0.62,0.7066666666666667,250.24166666666667,1.0,0.0,0.001161516960036262,0.555941678628088,0.4428968044118758,0.0,0.0
q_containment_today_shielded,pooled,600,today,1,learned,0.3135901720072486,148.73159722222223,0.5983333333333334,0.6683333333333333,0.0,0.0,1.375,0.5494409640550705,0.4170214822622889,0.03353755368264066,0.0,0.0
q_containment_replicas,pooled,600,replicas,0,learned,0.05657360558710411,107.69783333333334,0.08833333333333333,0.525,233.61166666666668,0.98,0.0,0.0003586621900311837,0.3183126936526755,0.0002092196108515238,0.6811194245464418,0.0
q_containment_replicas_shielded,pooled,600,replicas,1,learned,0.27183895010486914,112.6961111111111,0.48,0.515,0.0,0.0,1.41,0.4051503469545104,0.07324120752031314,0.001394935057232667,0.5202135104679437,0.0
q_soft_today,pooled,600,today,0,learned,0.26430421017372724,147.354625,0.5916666666666667,0.6866666666666666,73.98166666666667,1.0,0.0,0.28637316662198903,0.31619308390456863,0.39743374947344234,0.0,0.0
q_soft_today_shielded,pooled,600,today,1,learned,0.39763708566851286,169.0242361111111,0.5983333333333334,0.6683333333333333,0.0,0.0,0.6416666666666667,0.30613803045885896,0.28889657371519933,0.40496539582594165,0.0,0.0
q_soft_replicas,pooled,600,replicas,0,learned,0.049147141096537075,46.244458333333334,0.17166666666666666,0.30666666666666664,99.59666666666666,0.8616666666666667,0.0,0.0,0.12888109585684643,0.0,0.8711189041431536,0.0
q_soft_replicas_shielded,pooled,600,replicas,1,learned,0.23541494725994425,102.77979166666667,0.395,0.4166666666666667,0.0,0.0,2.2733333333333334,0.08082585658098453,0.23927049976439815,0.0040388887286155264,0.6758647549260018,0.0
q_clinical_today,pooled,600,today,0,learned,0.38867344864264014,163.54320833333333,0.5866666666666667,0.6633333333333333,4.776666666666666,0.41833333333333333,0.0,0.17935996875681173,0.2819516093874882,0.5386884218557001,0.0,0.0
q_clinical_today_shielded,pooled,600,today,1,learned,0.3920974317874622,164.14491666666666,0.5833333333333334,0.6566666666666666,0.0,0.0,0.4483333333333333,0.2336314320085344,0.2799350840956034,0.48643348389586216,0.0,0.0
q_clinical_replicas,pooled,600,replicas,0,learned,0.22171980984194306,92.30066666666666,0.3433333333333333,0.42,14.243333333333334,0.505,0.0,0.5228742579759896,0.10903511058432393,0.024462816420677817,0.3436278150190086,0.0
q_clinical_replicas_shielded,pooled,600,replicas,1,learned,0.24197856750562527,101.33594444444444,0.375,0.405,0.0,0.0,0.875,0.5304425690594181,0.11905696482017565,0.030437662528825866,0.3200628035915804,0.0
passive,resource_constrained,200,today,0,scripted,0.9488022403642625,323.42083333333335,0.975,0.98,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
passive,intermediate_capacity,200,today,0,scripted,0.592438751600181,182.98895833333333,0.795,0.825,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
passive,high_capacity,200,today,0,scripted,0.01439445680153009,14.564499999999999,0.045,0.215,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
passive_replicas,resource_constrained,200,replicas,0,scripted,0.9488022403642625,327.58462499999996,0.975,0.98,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
passive_replicas,intermediate_capacity,200,replicas,0,scripted,0.592438751600181,186.79058333333333,0.795,0.825,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
passive_replicas,high_capacity,200,replicas,0,scripted,0.01439445680153009,14.568416666666664,0.045,0.215,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
disconnect,resource_constrained,200,today,0,scripted,0.8195246196158468,355.3632083333333,0.985,0.99,52.72,0.71,0.0,0.320210357596214,0.6797896424037859,0.0,0.0,0.0
disconnect,intermediate_capacity,200,today,0,scripted,0.30203632095589755,245.30891666666668,0.845,0.92,239.37,0.995,0.0,0.42941082548299536,0.5705891745170046,0.0,0.0,0.0
disconnect,high_capacity,200,today,0,scripted,0.011047740799498466,141.52029166666668,0.365,0.675,294.235,0.955,0.0,0.5044813088681028,0.4955186911318971,0.0,0.0,0.0
disconnect_shielded,resource_constrained,200,today,1,scripted,0.8234646380781205,342.10816666666665,0.975,0.98,0.0,0.0,0.52,0.3812539507878164,0.6187460492121837,0.0,0.0,0.0
disconnect_shielded,intermediate_capacity,200,today,1,scripted,0.3651015582783606,180.12174999999996,0.795,0.825,0.0,0.0,1.07,0.6819620053701766,0.3180379946298234,0.0,0.0,0.0
disconnect_shielded,high_capacity,200,today,1,scripted,0.013742854869068642,14.684916666666668,0.03,0.2,0.0,0.0,0.355,0.9865644320104998,0.013435567989500224,0.0,0.0,0.0
zone_lockdown,resource_constrained,200,today,0,scripted,0.9138595310726261,331.1752916666666,0.975,0.98,0.0,0.0,0.0,0.34674906310109155,0.0,0.6532509368989085,0.0,0.0
