version,release_date,stage,techniques,uncovered,parents,parents_uncovered
5.2,2019-07-27,initial-access,11,0,11,0
5.2,2019-07-27,execution,33,4,33,4
5.2,2019-07-27,persistence,59,11,59,11
5.2,2019-07-27,privilege-escalation,28,4,28,4
5.2,2019-07-27,defense-evasion,67,23,67,23
5.2,2019-07-27,credential-access,19,3,19,3
5.2,2019-07-27,discovery,22,17,22,17
5.2,2019-07-27,lateral-movement,17,0,17,0
5.2,2019-07-27,collection,13,9,13,9
5.2,2019-07-27,command-and-control,22,0,22,0
5.2,2019-07-27,exfiltration,9,2,9,2
5.2,2019-07-27,impact,14,1,14,1
6.3,2020-03-09,initial-access,11,0,11,0
6.3,2020-03-09,execution,34,4,34,4
6.3,2020-03-09,persistence,63,11,63,11
6.3,2020-03-09,privilege-escalation,32,5,32,5
6.3,2020-03-09,defense-evasion,73,25,73,25
6.3,2020-03-09,credential-access,23,3,23,3
6.3,2020-03-09,discovery,25,19,25,19
6.3,2020-03-09,lateral-movement,20,1,20,1
6.3,2020-03-09,collection,14,9,14,9
6.3,2020-03-09,command-and-control,22,0,22,0
6.3,2020-03-09,exfiltration,10,2,10,2
6.3,2020-03-09,impact,16,3,16,3
7.2,2020-07-15,initial-access,19,0,9,0
7.2,2020-07-15,execution,28,0,10,0
7.2,2020-07-15,persistence,93,12,18,2
7.2,2020-07-15,privilege-escalation,87,10,12,2
7.2,2020-07-15,defense-evasion,135,28,34,8
7.2,2020-07-15,credential-access,46,4,14,1
7.2,2020-07-15,discovery,35,26,24,17
7.2,2020-07-15,lateral-movement,21,1,9,1
7.2,2020-07-15,collection,31,15,16,9
7.2,2020-07-15,command-and-control,38,2,16,0
7.2,2020-07-15,exfiltration,16,1,9,1
7.2,2020-07-15,impact,26,3,13,3
8.2,2021-01-27,initial-access,19,0,9,0
8.2,2021-01-27,execution,30,0,10,0
8.2,2021-01-27,persistence,97,12,18,2
8.2,2021-01-27,privilege-escalation,91,10,12,2
8.2,2021-01-27,defense-evasion,151,31,37,9
8.2,2021-01-27,credential-access,52,4,15,1
8.2,2021-01-27,discovery,36,25,25,17
8.2,2021-01-27,lateral-movement,21,1,9,1
8.2,2021-01-27,collection,35,15,17,9
8.2,2021-01-27,command-and-control,38,2,16,0
8.2,2021-01-27,exfiltration,17,1,9,1
8.2,2021-01-27,impact,26,3,13,3
9.0,2021-04-29,initial-access,19,0,9,0
9.0,2021-04-29,execution,34,0,12,0
9.0,2021-04-29,persistence,105,13,19,2
