technique,entry_version,exit_version,years,mitigated,left_truncated
T1005,5.2,10.1,2.291581,True,True
T1006,5.2,14.1,4.301164,True,True
T1007,5.2,19.2,7.025325,False,True
T1009,5.2,6.3,0.618754,False,True
T1010,5.2,19.2,7.025325,False,True
T1012,5.2,19.2,7.025325,False,True
T1013,5.2,6.3,0.618754,False,True
T1014,5.2,19.2,7.025325,False,True
T1016,5.2,19.2,7.025325,False,True
T1016.001,9.0,19.2,5.267625,False,False
T1016.002,14.1,19.2,2.724162,False,False
T1018,5.2,19.2,7.025325,False,True
T1020,5.2,19.2,7.025325,False,True
T1022,5.2,6.3,0.618754,False,True
T1025,5.2,10.1,2.291581,True,True
T1027.001,7.2,19.2,6.056126,False,False
T1027.003,7.2,19.2,6.056126,False,False
T1027.004,7.2,19.2,6.056126,False,False
T1027.005,7.2,19.2,6.056126,False,False
T1027.006,10.1,14.1,2.009582,True,False
T1027.007,12.1,19.2,3.739904,False,False
T1027.008,12.1,19.2,3.739904,False,False
T1027.018,19.2,19.2,0,False,False
T1033,5.2,19.2,7.025325,False,True
T1036.002,7.2,19.2,6.056126,False,False
T1036.004,7.2,19.2,6.056126,False,False
T1036.006,7.2,19.2,6.056126,False,False
T1036.009,14.1,19.2,2.724162,False,False
T1036.011,17.1,19.2,1.24846,False,False
T1039,5.2,19.2,7.025325,False,True
T1042,5.2,6.3,0.618754,False,True
T1049,5.2,19.2,7.025325,False,True
T1056,5.2,19.2,7.025325,False,True
T1056.001,7.2,19.2,6.056126,False,False
T1056.004,7.2,19.2,6.056126,False,False
T1057,5.2,19.2,7.025325,False,True
T1059.012,17.1,19.2,1.24846,False,False
T1060,5.2,6.3,0.618754,False,True
T1061,5.2,6.3,0.618754,False,True
T1062,5.2,6.3,0.618754,False,True
T1063,5.2,6.3,0.618754,False,True
T1066,5.2,6.3,0.618754,False,True
T1069,5.2,19.2,7.025325,False,True
T1069.001,7.2,19.2,6.056126,False,False
T1069.002,7.2,19.2,6.056126,False,False
T1069.003,7.2,19.2,6.056126,False,False
T1070.004,7.2,19.2,6.056126,False,False
T1070.005,7.2,19.2,6.056126,False,False
T1070.006,7.2,19.2,6.056126,False,False
T1070.010,16.1,19.2,1.727584,False,False
T1074,5.2,19.2,7.025325,False,True
T1074.001,7.2,19.2,6.056126,False,False
T1074.002,7.2,19.2,6.056126,False,False
T1082,5.2,19.2,7.025325,False,True
T1083,5.2,19.2,7.025325,False,True
T1087.003,7.2,19.2,6.056126,False,False
T1087.004,7.2,8.2,0.536619,True,False
T1093,5.2,6.3,0.618754,False,True
T1098.007,16.1,19.2,1.727584,False,False
T1099,5.2,6.3,0.618754,False,True
T1107,5.2,6.3,0.618754,False,True
T1109,5.2,6.3,0.618754,False,True
T1113,5.2,19.2,7.025325,False,True
T1115,5.2,19.2,7.025325,False,True
T1116,5.2,6.3,0.618754,False,True
T1120,5.2,19.2,7.025325,False,True
T1122,5.2,6.3,0.618754,False,True
T1123,5.2,19.2,7.025325,False,True
T1124,5.2,19.2,7.025325,False,True
T1125,5.2,19.2,7.025325,False,True
T1126,5.2,6.3,0.618754,False,True
T1128,5.2,6.3,0.618754,False,True
T1134.004,7.2,19.2,6.056126,False,False
T1135,5.2,7.2,0.969199,True,True
T1137.006,7.2,10.1,1.322382,True,False
T1140,5.2,19.2,7.025325,False,True
T1151,5.2,6.3,0.618754,False,True
T1153,5.2,6.3,0.618754,False,True
T1154,5.2,6.3,0.618754,False,True
T1158,5.2,6.3,0.618754,False,True
T1167,5.2,6.3,0.618754,False,True
T1179,5.2,6.3,0.618754,False,True
T1181,5.2,6.3,0.618754,False,True
T1183,5.2,6.3,0.618754,False,True
T1186,5.2,6.3,0.618754,False,True
T1202,5.2,19.2,7.025325,False,True
T1207,5.2,19.2,7.025325,False,True
T1217,5.2,19.2,7.025325,False,True
T1222,5.2,7.2,0.969199,True,True
T1480,5.2,19.2,7.025325,False,True
T1480.001,7.2,19.2,6.056126,False,False
T1480.002,16.1,19.2,1.727584,False,False
T1496,5.2,19.2,7.025325,False,True
T1496.001,16.1,19.2,1.727584,False,False
T1496.002,16.1,19.2,1.727584,False,False
T1496.004,16.1,19.2,1.727584,False,False
T1497,5.2,19.2,7.025325,False,True
T1497.001,7.2,19.2,6.056126,False,False
T1497.002,7.2,19.2,6.056126,False,False
T1497.003,7.2,19.2,6.056126,False,False
T1500,5.2,6.3,0.618754,False,True
T1502,6.3,6.3,0,False,False
