variant,years,at_risk,events,survival,spells,mitigated
default,0,156,0,1,156,13
default,0.5366187543,152,1,0.9934210526,156,13
default,0.6543463381,124,1,0.9854095925,156,13
default,0.9691991786,118,2,0.968707735,156,13
default,1.32238193,111,2,0.9512535416,156,13
default,1.976728268,102,1,0.9419275265,156,13
default,2.009582478,101,1,0.9326015114,156,13
default,2.291581109,99,2,0.9137610768,156,13
default,3.797399042,90,2,0.8934552751,156,13
default,4.301163587,86,1,0.8830662603,156,13
default,7.02532512,29,0,0.8830662603,156,13
default_entrants_only,0,95,0,1,95,8
default_entrants_only,0.5366187543,91,1,0.989010989,95,8
default_entrants_only,0.6543463381,90,1,0.978021978,95,8
default_entrants_only,1.32238193,79,2,0.9532619279,95,8
default_entrants_only,1.976728268,70,1,0.9396439004,95,8
default_entrants_only,2.009582478,69,1,0.9260258729,95,8
default_entrants_only,3.797399042,60,2,0.8951583438,95,8
default_entrants_only,6.406570842,5,0,0.8951583438,95,8
parent_inheritance,0,120,0,1,120,17
parent_inheritance,0.4654346338,117,1,0.9914529915,120,17
parent_inheritance,0.9691991786,85,2,0.9681246858,120,17
parent_inheritance,1.481177276,81,1,0.9561725292,120,17
parent_inheritance,1.820670773,76,1,0.9435913117,120,17
parent_inheritance,2.291581109,74,2,0.9180888438,120,17
parent_inheritance,3.797399042,70,9,0.8000488496,120,17
parent_inheritance,4.301163587,60,1,0.7867147021,120,17
parent_inheritance,7.02532512,29,0,0.7867147021,120,17
