version,step,mitigation,clinical_reachability,catastrophic_k1
19.2,0,,0.2824295365,0.449062963
19.2,1,M1032,0.2824295365,0.449062963
19.2,2,M1047,0.2824295365,0.449062963
19.2,3,M1018,0.2824295365,0.449062963
19.2,4,M1040,0.2259436292,0.3592503704
19.2,5,M1026,0.2259436292,0.3592503704
19.2,6,M1038,0.2259436292,0.3592503704
19.2,7,M1031,0.2259436292,0.3592503704
19.2,8,M1042,0.2259436292,0.3592503704
19.2,9,M1022,0.2259436292,0.3592503704
19.2,10,M1053,0.1807549033,0.2874002963
19.2,11,M1017,0.1807549033,0.2874002963
19.2,12,M1037,0.1807549033,0.2874002963
19.2,13,M1051,0.1807549033,0.2874002963
19.2,14,M1028,0.1807549033,0.2874002963
19.2,15,M1027,0.1807549033,0.2874002963
19.2,16,M1021,0.1807549033,0.2874002963
19.2,17,M1054,0.1807549033,0.2874002963
19.2,18,M1041,0.1807549033,0.2874002963
19.2,19,M1049,0.1807549033,0.2874002963
19.2,20,M1030,0.1807549033,0.2874002963
19.2,21,M1024,0.1807549033,0.2874002963
19.2,22,M1045,0.1807549033,0.2874002963
19.2,23,M1048,0.1807549033,0.2874002963
19.2,24,M1057,0.1807549033,0.2874002963
19.2,25,M1013,0.1807549033,0.2874002963
19.2,26,M1033,0.1807549033,0.2874002963
19.2,27,M1035,0.1807549033,0.2874002963
19.2,28,M1046,0.1446039227,0.2299202371
