version,release_date,candidate_mitigations,steps_to_floor,improving_steps,empty_catastrophic_k1,floor_catastrophic_k1,certified_gain
5.2,2019-07-27,39,31,5,0.449062963,0.1471489517,3.051757812
6.3,2020-03-09,40,31,4,0.449062963,0.1839361896,2.44140625
7.2,2020-07-15,40,29,3,0.449062963,0.2299202371,1.953125
8.2,2021-01-27,40,28,3,0.449062963,0.2299202371,1.953125
9.0,2021-04-29,40,25,3,0.449062963,0.2299202371,1.953125
10.1,2021-11-10,41,26,3,0.449062963,0.2299202371,1.953125
11.3,2022-07-07,41,27,3,0.449062963,0.2299202371,1.953125
12.1,2022-11-08,41,28,3,0.449062963,0.2299202371,1.953125
13.1,2023-05-09,41,26,3,0.449062963,0.2299202371,1.953125
14.1,2023-11-14,41,27,3,0.449062963,0.2299202371,1.953125
15.1,2024-05-02,41,27,3,0.449062963,0.2299202371,1.953125
16.1,2024-11-12,42,27,4,0.449062963,0.1839361896,2.44140625
17.1,2025-05-06,42,27,3,0.449062963,0.2299202371,1.953125
18.1,2025-11-13,42,28,3,0.449062963,0.2299202371,1.953125
19.2,2026-08-05,42,28,3,0.449062963,0.2299202371,1.953125
