version,release_date,e_new,epsilon,k,feasible,cost,repaired_stages,stages,floor_before,floor_after,threshold
5.2,2019-07-27,0.2,0.1,1,True,5,2,credential-access+exfiltration,0.09254651051,0.05922976673,0.06289308176
5.2,2019-07-27,0.2,0.1,2,True,0,0,,0.09254651051,0.09254651051,0.1257861635
5.2,2019-07-27,0.2,0.1,3,True,0,0,,0.09254651051,0.09254651051,0.1886792453
5.2,2019-07-27,0.2,0.1,4,True,0,0,,0.09254651051,0.09254651051,0.2857142857
5.2,2019-07-27,0.2,0.05,1,True,19,5,execution+persistence+privilege-escalation+credential-access+exfiltration,0.09254651051,0.03032564057,0.03144654088
5.2,2019-07-27,0.2,0.05,2,True,5,2,credential-access+exfiltration,0.09254651051,0.05922976673,0.06289308176
5.2,2019-07-27,0.2,0.05,3,True,0,0,,0.09254651051,0.09254651051,0.09433962264
5.2,2019-07-27,0.2,0.05,4,True,0,0,,0.09254651051,0.09254651051,0.1428571429
5.2,2019-07-27,0.2,0.01,1,False,-1,0,,0.09254651051,0.01552672797,0.006289308176
5.2,2019-07-27,0.2,0.01,2,False,-1,0,,0.09254651051,0.01552672797,0.01257861635
5.2,2019-07-27,0.2,0.01,3,True,60,8,execution+persistence+privilege-escalation+defense-evasion+credential-access+discovery+collection+exfiltration,0.09254651051,0.01552672797,0.01886792453
5.2,2019-07-27,0.2,0.01,4,True,27,6,execution+persistence+privilege-escalation+credential-access+collection+exfiltration,0.09254651051,0.02426051245,0.02857142857
6.3,2020-03-09,0.2,0.1,1,True,6,3,credential-access+lateral-movement+exfiltration,0.1156831381,0.05922976673,0.06289308176
6.3,2020-03-09,0.2,0.1,2,True,0,0,,0.1156831381,0.1156831381,0.1257861635
6.3,2020-03-09,0.2,0.1,3,True,0,0,,0.1156831381,0.1156831381,0.1886792453
6.3,2020-03-09,0.2,0.1,4,True,0,0,,0.1156831381,0.1156831381,0.2857142857
6.3,2020-03-09,0.2,0.05,1,True,21,6,execution+persistence+privilege-escalation+credential-access+lateral-movement+exfiltration,0.1156831381,0.03032564057,0.03144654088
6.3,2020-03-09,0.2,0.05,2,True,6,3,credential-access+lateral-movement+exfiltration,0.1156831381,0.05922976673,0.06289308176
6.3,2020-03-09,0.2,0.05,3,True,1,1,lateral-movement,0.1156831381,0.09254651051,0.09433962264
6.3,2020-03-09,0.2,0.05,4,True,0,0,,0.1156831381,0.1156831381,0.1428571429
6.3,2020-03-09,0.2,0.01,1,False,-1,0,,0.1156831381,0.01552672797,0.006289308176
6.3,2020-03-09,0.2,0.01,2,False,-1,0,,0.1156831381,0.01552672797,0.01257861635
6.3,2020-03-09,0.2,0.01,3,True,65,9,execution+persistence+privilege-escalation+defense-evasion+credential-access+discovery+lateral-movement+collection+exfiltration,0.1156831381,0.01552672797,0.01886792453
6.3,2020-03-09,0.2,0.01,4,True,29,7,execution+persistence+privilege-escalation+credential-access+lateral-movement+collection+exfiltration,0.1156831381,0.02426051245,0.02857142857
7.2,2020-07-15,0.2,0.1,1,True,8,4,credential-access+lateral-movement+command-and-control+exfiltration,0.1446039227,0.05922976673,0.06289308176
7.2,2020-07-15,0.2,0.1,2,True,1,1,exfiltration,0.1446039227,0.1156831381,0.1257861635
7.2,2020-07-15,0.2,0.1,3,True,0,0,,0.1446039227,0.1446039227,0.1886792453
7.2,2020-07-15,0.2,0.1,4,True,0,0,,0.1446039227,0.1446039227,0.2857142857
7.2,2020-07-15,0.2,0.05,1,True,33,7,persistence+privilege-escalation+credential-access+lateral-movement+collection+command-and-control+exfiltration,0.1446039227,0.03032564057,0.03144654088
