version,variant,uncovered,gap_stages,clinical_floor,catastrophic_floor_k1,repair_10_k1,repair_05_k1
5.2,default,61,8,0.09254651051,0.1471489517,5,19
5.2,placeholders_included,60,8,0.09254651051,0.1471489517,5,19
5.2,parent_inheritance,61,8,0.09254651051,0.1471489517,5,19
6.3,default,68,9,0.1156831381,0.1839361896,6,21
6.3,placeholders_included,67,9,0.1156831381,0.1839361896,6,21
6.3,parent_inheritance,68,9,0.1156831381,0.1839361896,6,21
7.2,default,84,9,0.1446039227,0.2299202371,8,33
7.2,placeholders_included,82,9,0.1446039227,0.2299202371,8,33
7.2,parent_inheritance,61,8,0.1156831381,0.1839361896,5,24
8.2,default,86,9,0.1446039227,0.2299202371,8,33
8.2,placeholders_included,84,9,0.1446039227,0.2299202371,8,33
8.2,parent_inheritance,64,8,0.1156831381,0.1839361896,5,24
9.0,default,89,9,0.1446039227,0.2299202371,8,34
9.0,placeholders_included,87,9,0.1446039227,0.2299202371,8,34
9.0,parent_inheritance,67,8,0.1156831381,0.1839361896,5,25
10.1,default,91,9,0.1446039227,0.2299202371,8,32
10.1,placeholders_included,89,9,0.1446039227,0.2299202371,8,32
10.1,parent_inheritance,69,8,0.1156831381,0.1839361896,5,24
11.3,default,91,9,0.1446039227,0.2299202371,8,30
11.3,placeholders_included,89,9,0.1446039227,0.2299202371,8,30
11.3,parent_inheritance,71,8,0.1156831381,0.1839361896,5,24
12.1,default,94,9,0.1446039227,0.2299202371,8,31
12.1,placeholders_included,92,9,0.1446039227,0.2299202371,8,31
12.1,parent_inheritance,72,8,0.1156831381,0.1839361896,5,25
13.1,default,95,9,0.1446039227,0.2299202371,8,31
13.1,placeholders_included,93,9,0.1446039227,0.2299202371,8,31
13.1,parent_inheritance,73,8,0.1156831381,0.1839361896,5,25
14.1,default,96,9,0.1446039227,0.2299202371,8,31
14.1,placeholders_included,94,9,0.1446039227,0.2299202371,8,31
14.1,parent_inheritance,74,8,0.1156831381,0.1839361896,5,25
15.1,default,95,9,0.1446039227,0.2299202371,9,31
15.1,placeholders_included,93,9,0.1446039227,0.2299202371,9,31
15.1,parent_inheritance,63,9,0.1446039227,0.2299202371,6,19
16.1,default,102,9,0.1156831381,0.1839361896,5,23
16.1,placeholders_included,99,9,0.1156831381,0.1839361896,5,23
16.1,parent_inheritance,67,9,0.1156831381,0.1839361896,3,11
17.1,default,107,10,0.1446039227,0.2299202371,6,25
17.1,placeholders_included,104,10,0.1446039227,0.2299202371,6,25
17.1,parent_inheritance,69,9,0.1156831381,0.1839361896,3,12
18.1,default,112,10,0.1446039227,0.2299202371,6,26
18.1,placeholders_included,109,10,0.1446039227,0.2299202371,6,26
18.1,parent_inheritance,73,9,0.1156831381,0.1839361896,3,12
19.2,default,114,10,0.1446039227,0.2299202371,6,26
19.2,placeholders_included,111,10,0.1446039227,0.2299202371,6,26
19.2,parent_inheritance,74,9,0.1156831381,0.1839361896,3,12
19.2,defense_evasion_split,114,11,0.1301435304,0.2069282134,6,26
