version,release_date,variant,entities,exposed,exposed_share,kill_chain_uses,uncovered_uses,uncovered_use_share
5.2,2019-07-27,default,10,9,0.9,125,32,0.256
5.2,2019-07-27,parent_inheritance,10,9,0.9,125,32,0.256
6.3,2020-03-09,default,12,12,1,177,47,0.2655367232
6.3,2020-03-09,parent_inheritance,12,12,1,177,47,0.2655367232
7.2,2020-07-15,default,16,16,1,258,65,0.2519379845
7.2,2020-07-15,parent_inheritance,16,14,0.875,258,51,0.1976744186
8.2,2021-01-27,default,17,17,1,295,75,0.2542372881
8.2,2021-01-27,parent_inheritance,17,15,0.8823529412,295,59,0.2
9.0,2021-04-29,default,25,24,0.96,428,114,0.2663551402
9.0,2021-04-29,parent_inheritance,25,22,0.88,428,94,0.2196261682
10.1,2021-11-10,default,40,39,0.975,699,197,0.2818311874
10.1,2021-11-10,parent_inheritance,40,36,0.9,699,166,0.2374821173
11.3,2022-07-07,default,41,40,0.9756097561,722,205,0.283933518
11.3,2022-07-07,parent_inheritance,41,37,0.9024390244,722,173,0.2396121884
12.1,2022-11-08,default,43,42,0.976744186,768,220,0.2864583333
12.1,2022-11-08,parent_inheritance,43,39,0.9069767442,768,186,0.2421875
13.1,2023-05-09,default,51,50,0.9803921569,982,272,0.2769857434
13.1,2023-05-09,parent_inheritance,51,47,0.9215686275,982,229,0.233197556
14.1,2023-11-14,default,52,51,0.9807692308,1022,283,0.2769080235
14.1,2023-11-14,parent_inheritance,52,48,0.9230769231,1022,238,0.2328767123
15.1,2024-05-02,default,57,56,0.9824561404,1147,315,0.2746294682
15.1,2024-05-02,parent_inheritance,57,53,0.9298245614,1147,263,0.2292938099
16.1,2024-11-12,default,65,63,0.9692307692,1284,353,0.2749221184
16.1,2024-11-12,parent_inheritance,65,59,0.9076923077,1284,293,0.2281931464
17.1,2025-05-06,default,75,73,0.9733333333,1534,422,0.2750977836
17.1,2025-05-06,parent_inheritance,75,68,0.9066666667,1534,354,0.2307692308
18.1,2025-11-13,default,82,79,0.9634146341,1783,494,0.2770611329
18.1,2025-11-13,parent_inheritance,82,74,0.9024390244,1783,419,0.2349971957
19.2,2026-08-05,default,85,82,0.9647058824,1906,526,0.2759706191
19.2,2026-08-05,parent_inheritance,85,77,0.9058823529,1906,443,0.2324239244
