subset,removed_reference,remaining_records,absent_service_share,beyond_horizon_share
all_records,https://pubmed.ncbi.nlm.nih.gov/37848947,303,0.2805280528,0.300330033
all_records,https://www.nature.com/articles/s41746-019-0161-6,313,0.2651757188,0.3099041534
all_records,https://academic.oup.com/ajcp/article/157/6/814/6533555,310,0.2677419355,0.3129032258
all_records,https://pubmed.ncbi.nlm.nih.gov/35188562,313,0.268370607,0.3099041534
all_records,https://academic.oup.com/ajcp/article/157/5/653/6533594,311,0.2668810289,0.308681672
all_records,https://www.sciencedirect.com/science/article/pii/S0887217122000750,312,0.2724358974,0.3076923077
all_records,https://accpjournals.onlinelibrary.wiley.com/doi/abs/10.1002/jac5.1423,314,0.2707006369,0.3089171975
all_records,https://www.pharmacytimes.com/view/consequences-of-the-change-healthcare-cyberattack-continue,315,0.2698412698,0.3079365079
all_records,https://www.journalofhospitalinfection.com/article/S0195-6701(21)00212-7/fulltext,315,0.2666666667,0.3047619048
all_records,https://pubmed.ncbi.nlm.nih.gov/36934730,315,0.2698412698,0.3079365079
all_records,https://pubmed.ncbi.nlm.nih.gov/36028420,314,0.2707006369,0.3089171975
all_records,https://doi.org/10.7196/SAMJ.2024.v114i12.2549,314,0.2675159236,0.3089171975
all_records,https://www.sciencedirect.com/science/article/pii/S2213538323000838,299,0.27090301,0.3110367893
all_records,https://pubmed.ncbi.nlm.nih.gov/37318433,313,0.2619808307,0.3099041534
all_records,https://pubmed.ncbi.nlm.nih.gov/34644601,314,0.2707006369,0.3089171975
all_records,https://www.sciencedirect.com/science/article/pii/S2452109422000045,312,0.2724358974,0.3108974359
all_records,https://www.journalofsurgicalresearch.com/article/S0022-4804(18)30477-3/abstract,311,0.270096463,0.3118971061
all_records,https://pubmed.ncbi.nlm.nih.gov/34332657,315,0.2698412698,0.3079365079
all_records,https://pubmed.ncbi.nlm.nih.gov/30253982,315,0.2698412698,0.3079365079
all_records,https://www.cambridge.org/core/journals/disaster-medicine-and-public-health-preparedness/article/learnings-from-a-national-cyberattack-digital-disaster-during-the-sarscov2-pandemic-in-a-pediatric-emergency-medicine-department/1B36FA7C5C1A8C924F7C88E63FCD8467,315,0.2666666667,0.3079365079
all_records,https://pubmed.ncbi.nlm.nih.gov/35197299,303,0.2673267327,0.3168316832
all_records,https://www.bmj.com/content/385/bmj.q1277.full,314,0.2707006369,0.3057324841
all_records,https://ieeexplore.ieee.org/document/10050485,314,0.2675159236,0.3089171975
all_records,https://pubmed.ncbi.nlm.nih.gov/37155166,311,0.2572347267,0.308681672
all_records,https://pubmed.ncbi.nlm.nih.gov/38605720,312,0.2628205128,0.3076923077
all_records,https://pubmed.ncbi.nlm.nih.gov/34159418,314,0.2707006369,0.3089171975
all_records,Removed,132,0.303030303,0.1742424242
all_records,https://pubmed.ncbi.nlm.nih.gov/37737914,313,0.268370607,0.3099041534
all_records,https://journals.lww.com/pathologycasereviews/pages/articleviewer.aspx?year=2022&issue=07000&article=00009&type=Fulltext,314,0.2707006369,0.3089171975
all_records,https://pubmed.ncbi.nlm.nih.gov/36801172,313,0.2651757188,0.3099041534
all_records,https://www.cureus.com/articles/101540-the-effect-of-the-2021-irish-cyber-attack-on-otolaryngology-outpatient-non-attendance-at-a-model-4-hospital-in-the-post-covid-era#!,314,0.2707006369,0.3089171975
all_records,https://www.advancesradonc.org/article/S2452-1094(22)00003-3/fulltext,315,0.2698412698,0.3079365079
all_records,https://pmc.ncbi.nlm.nih.gov/articles/PMC10281450,314,0.2707006369,0.3025477707
all_records,https://pubmed.ncbi.nlm.nih.gov/34782238,312,0.2724358974,0.3044871795
all_records,https://pubmed.ncbi.nlm.nih.gov/38433989,311,0.2636655949,0.3054662379
all_records,https://pubmed.ncbi.nlm.nih.gov/36740900,311,0.2636655949,0.3118971061
exact_rows_deduplicated,https://pubmed.ncbi.nlm.nih.gov/37848947,303,0.2805280528,0.300330033
exact_rows_deduplicated,https://www.nature.com/articles/s41746-019-0161-6,313,0.2651757188,0.3099041534
exact_rows_deduplicated,https://academic.oup.com/ajcp/article/157/6/814/6533555,310,0.2677419355,0.3129032258
