source,records,absent_service_records,beyond_horizon_records
Removed,184,45,74
https://academic.oup.com/ajcp/article/157/5/653/6533594,5,2,1
https://academic.oup.com/ajcp/article/157/6/814/6533555,6,2,0
https://accpjournals.onlinelibrary.wiley.com/doi/abs/10.1002/jac5.1423,2,0,0
https://doi.org/10.7196/SAMJ.2024.v114i12.2549,2,1,0
https://ieeexplore.ieee.org/document/10050485,2,1,0
https://journals.lww.com/pathologycasereviews/pages/articleviewer.aspx?year=2022&issue=07000&article=00009&type=Fulltext,2,0,0
https://pmc.ncbi.nlm.nih.gov/articles/PMC10281450,2,0,2
https://pubmed.ncbi.nlm.nih.gov/30253982,1,0,0
https://pubmed.ncbi.nlm.nih.gov/34159418,2,0,0
https://pubmed.ncbi.nlm.nih.gov/34332657,1,0,0
https://pubmed.ncbi.nlm.nih.gov/34644601,2,0,0
https://pubmed.ncbi.nlm.nih.gov/34782238,4,0,2
https://pubmed.ncbi.nlm.nih.gov/35188562,3,1,0
https://pubmed.ncbi.nlm.nih.gov/35197299,13,4,1
https://pubmed.ncbi.nlm.nih.gov/36028420,2,0,0
https://pubmed.ncbi.nlm.nih.gov/36740900,5,3,0
https://pubmed.ncbi.nlm.nih.gov/36801172,3,2,0
https://pubmed.ncbi.nlm.nih.gov/36934730,1,0,0
https://pubmed.ncbi.nlm.nih.gov/37155166,5,5,1
https://pubmed.ncbi.nlm.nih.gov/37318433,3,3,0
https://pubmed.ncbi.nlm.nih.gov/37737914,3,1,0
https://pubmed.ncbi.nlm.nih.gov/37848947,13,0,6
https://pubmed.ncbi.nlm.nih.gov/38433989,5,3,2
https://pubmed.ncbi.nlm.nih.gov/38605720,4,3,1
https://www.advancesradonc.org/article/S2452-1094(22)00003-3/fulltext,1,0,0
https://www.bmj.com/content/385/bmj.q1277.full,2,0,1
https://www.cambridge.org/core/journals/disaster-medicine-and-public-health-preparedness/article/learnings-from-a-national-cyberattack-digital-disaster-during-the-sarscov2-pandemic-in-a-pediatric-emergency-medicine-department/1B36FA7C5C1A8C924F7C88E63FCD8467,1,1,0
https://www.cureus.com/articles/101540-the-effect-of-the-2021-irish-cyber-attack-on-otolaryngology-outpatient-non-attendance-at-a-model-4-hospital-in-the-post-covid-era#!,2,0,0
https://www.journalofhospitalinfection.com/article/S0195-6701(21)00212-7/fulltext,1,1,1
https://www.journalofsurgicalresearch.com/article/S0022-4804(18)30477-3/abstract,5,1,0
https://www.nature.com/articles/s41746-019-0161-6,3,2,0
https://www.pharmacytimes.com/view/consequences-of-the-change-healthcare-cyberattack-continue,1,0,0
https://www.sciencedirect.com/science/article/pii/S0887217122000750,4,0,1
https://www.sciencedirect.com/science/article/pii/S2213538323000838,17,4,4
https://www.sciencedirect.com/science/article/pii/S2452109422000045,4,0,0
