service,gamma,share_low,share_high
ehr,0,0.1484375,0.1484375
laboratory,0,0.1875,0.1875
pharmacy,0,0.2109375,0.2109375
imaging,0,0.140625,0.140625
ehr,0.5,0.104109589,0.2072727273
laboratory,0.5,0.1333333333,0.2571428571
pharmacy,0.5,0.1512605042,0.2862190813
imaging,0.5,0.09836065574,0.197080292
ehr,1,0.08016877637,0.2585034014
laboratory,1,0.1034482759,0.3157894737
pharmacy,1,0.1179039301,0.3483870968
imaging,1,0.0756302521,0.2465753425
ehr,2,0.0549132948,0.343373494
laboratory,2,0.07142857143,0.4090909091
pharmacy,2,0.08181818182,0.4450549451
imaging,2,0.05172413793,0.3292682927
