degradation_source,epsilon,k,policy,cost_to_certify,certifies
assumed,0.1,1,greedy,2,True
assumed,0.1,1,coverage,3,True
assumed,0.1,1,random,9,True
assumed,0.1,1,optimal,2,True
assumed,0.1,1,empty,-1,False
assumed,0.1,1,all,44,True
assumed,0.1,2,greedy,1,True
assumed,0.1,2,coverage,2,True
assumed,0.1,2,random,4,True
assumed,0.1,2,optimal,1,True
assumed,0.1,2,empty,-1,False
assumed,0.1,2,all,44,True
assumed,0.1,3,greedy,1,True
assumed,0.1,3,coverage,1,True
assumed,0.1,3,random,1,True
assumed,0.1,3,optimal,1,True
assumed,0.1,3,empty,-1,False
assumed,0.1,3,all,44,True
assumed,0.1,4,greedy,0,True
assumed,0.1,4,coverage,0,True
assumed,0.1,4,random,0,True
assumed,0.1,4,optimal,0,True
assumed,0.1,4,empty,0,True
assumed,0.1,4,all,44,True
assumed,0.05,1,greedy,4,True
assumed,0.05,1,coverage,6,True
assumed,0.05,1,random,17,True
assumed,0.05,1,optimal,3,True
assumed,0.05,1,empty,-1,False
assumed,0.05,1,all,44,True
assumed,0.05,2,greedy,2,True
assumed,0.05,2,coverage,3,True
assumed,0.05,2,random,9,True
assumed,0.05,2,optimal,2,True
assumed,0.05,2,empty,-1,False
assumed,0.05,2,all,44,True
assumed,0.05,3,greedy,1,True
assumed,0.05,3,coverage,2,True
assumed,0.05,3,random,9,True
assumed,0.05,3,optimal,1,True
assumed,0.05,3,empty,-1,False
assumed,0.05,3,all,44,True
assumed,0.05,4,greedy,1,True
assumed,0.05,4,coverage,2,True
assumed,0.05,4,random,2,True
assumed,0.05,4,optimal,1,True
assumed,0.05,4,empty,-1,False
assumed,0.05,4,all,44,True
assumed,0.01,1,greedy,7,True
assumed,0.01,1,coverage,10,True
assumed,0.01,1,random,27,True
assumed,0.01,1,optimal,-1,False
assumed,0.01,1,empty,-1,False
assumed,0.01,1,all,44,True
assumed,0.01,2,greedy,6,True
assumed,0.01,2,coverage,9,True
assumed,0.01,2,random,22,True
assumed,0.01,2,optimal,-1,False
assumed,0.01,2,empty,-1,False
assumed,0.01,2,all,44,True
assumed,0.01,3,greedy,5,True
assumed,0.01,3,coverage,7,True
assumed,0.01,3,random,20,True
assumed,0.01,3,optimal,-1,False
assumed,0.01,3,empty,-1,False
assumed,0.01,3,all,44,True
assumed,0.01,4,greedy,4,True
assumed,0.01,4,coverage,7,True
assumed,0.01,4,random,18,True
assumed,0.01,4,optimal,4,True
assumed,0.01,4,empty,-1,False
assumed,0.01,4,all,44,True
cipher_gamma1,0.1,1,greedy,1,True
cipher_gamma1,0.1,1,coverage,3,True
cipher_gamma1,0.1,1,random,9,True
cipher_gamma1,0.1,1,optimal,1,True
cipher_gamma1,0.1,1,empty,-1,False
cipher_gamma1,0.1,1,all,44,True
cipher_gamma1,0.1,2,greedy,1,True
cipher_gamma1,0.1,2,coverage,1,True
cipher_gamma1,0.1,2,random,1,True
cipher_gamma1,0.1,2,optimal,1,True
cipher_gamma1,0.1,2,empty,-1,False
cipher_gamma1,0.1,2,all,44,True
cipher_gamma1,0.1,3,greedy,1,True
cipher_gamma1,0.1,3,coverage,1,True
cipher_gamma1,0.1,3,random,1,True
cipher_gamma1,0.1,3,optimal,1,True
cipher_gamma1,0.1,3,empty,-1,False
cipher_gamma1,0.1,3,all,44,True
cipher_gamma1,0.1,4,greedy,0,True
cipher_gamma1,0.1,4,coverage,0,True
cipher_gamma1,0.1,4,random,0,True
cipher_gamma1,0.1,4,optimal,0,True
cipher_gamma1,0.1,4,empty,0,True
cipher_gamma1,0.1,4,all,44,True
cipher_gamma1,0.05,1,greedy,3,True
cipher_gamma1,0.05,1,coverage,5,True
cipher_gamma1,0.05,1,random,12,True
cipher_gamma1,0.05,1,optimal,3,True
cipher_gamma1,0.05,1,empty,-1,False
cipher_gamma1,0.05,1,all,44,True
cipher_gamma1,0.05,2,greedy,1,True
cipher_gamma1,0.05,2,coverage,3,True
cipher_gamma1,0.05,2,random,9,True
cipher_gamma1,0.05,2,optimal,1,True
cipher_gamma1,0.05,2,empty,-1,False
cipher_gamma1,0.05,2,all,44,True
cipher_gamma1,0.05,3,greedy,1,True
cipher_gamma1,0.05,3,coverage,2,True
cipher_gamma1,0.05,3,random,4,True
cipher_gamma1,0.05,3,optimal,1,True
cipher_gamma1,0.05,3,empty,-1,False
cipher_gamma1,0.05,3,all,44,True
cipher_gamma1,0.05,4,greedy,1,True
cipher_gamma1,0.05,4,coverage,1,True
cipher_gamma1,0.05,4,random,1,True
cipher_gamma1,0.05,4,optimal,1,True
cipher_gamma1,0.05,4,empty,-1,False
cipher_gamma1,0.05,4,all,44,True
cipher_gamma1,0.01,1,greedy,7,True
cipher_gamma1,0.01,1,coverage,10,True
cipher_gamma1,0.01,1,random,24,True
cipher_gamma1,0.01,1,optimal,-1,False
cipher_gamma1,0.01,1,empty,-1,False
cipher_gamma1,0.01,1,all,44,True
cipher_gamma1,0.01,2,greedy,5,True
cipher_gamma1,0.01,2,coverage,8,True
cipher_gamma1,0.01,2,random,21,True
cipher_gamma1,0.01,2,optimal,-1,False
cipher_gamma1,0.01,2,empty,-1,False
cipher_gamma1,0.01,2,all,44,True
cipher_gamma1,0.01,3,greedy,4,True
cipher_gamma1,0.01,3,coverage,7,True
cipher_gamma1,0.01,3,random,18,True
cipher_gamma1,0.01,3,optimal,4,True
cipher_gamma1,0.01,3,empty,-1,False
cipher_gamma1,0.01,3,all,44,True
cipher_gamma1,0.01,4,greedy,3,True
cipher_gamma1,0.01,4,coverage,5,True
cipher_gamma1,0.01,4,random,12,True
cipher_gamma1,0.01,4,optimal,3,True
cipher_gamma1,0.01,4,empty,-1,False
cipher_gamma1,0.01,4,all,44,True
