profile,method,radius,alpha,retained,purchased_retained,family_size,interpretation
resource_constrained,hoeffding,0,0.05,1,0,276048,finite_sample
resource_constrained,hoeffding,0.5,0.05,1,0,276048,finite_sample
resource_constrained,empirical_bernstein,0,0.05,1,0,276048,finite_sample
resource_constrained,empirical_bernstein,0.5,0.05,1,0,276048,finite_sample
resource_constrained,paired_t_approx,0,0.05,6,5,276048,approximate
resource_constrained,paired_t_approx,0.5,0.05,2,1,276048,approximate
intermediate_capacity,hoeffding,0,0.05,1,0,276048,finite_sample
intermediate_capacity,hoeffding,0.5,0.05,1,0,276048,finite_sample
intermediate_capacity,empirical_bernstein,0,0.05,1,0,276048,finite_sample
intermediate_capacity,empirical_bernstein,0.5,0.05,1,0,276048,finite_sample
intermediate_capacity,paired_t_approx,0,0.05,7,6,276048,approximate
intermediate_capacity,paired_t_approx,0.5,0.05,1,0,276048,approximate
high_capacity,hoeffding,0,0.05,1,0,276048,finite_sample
high_capacity,hoeffding,0.5,0.05,1,0,276048,finite_sample
high_capacity,empirical_bernstein,0,0.05,1,0,276048,finite_sample
high_capacity,empirical_bernstein,0.5,0.05,1,0,276048,finite_sample
high_capacity,paired_t_approx,0,0.05,2,1,276048,approximate
high_capacity,paired_t_approx,0.5,0.05,1,0,276048,approximate
