profile,parameter,side,scenarios,frontier,jaccard,removed,added,original_frontier,endpoint_guaranteed,original_endpoint_retained,joint_guaranteed,original_joint_retained,matched_jaccard_q025,matched_jaccard_median,matched_jaccard_q975,matched_fraction_at_most_regime_jaccard
resource_constrained,network_backup_isolation_lapse,low,130,57,0.7536231884,12,5,64,37,34,15,15,0.6184210526,0.7352941176,0.8285714286,0.646
resource_constrained,network_backup_isolation_lapse,high,130,64,0.8028169014,7,7,64,34,32,13,13,0.6184210526,0.7352941176,0.8285714286,0.919
resource_constrained,simulation_base_spread_rate,low,130,61,0.7361111111,11,8,64,48,30,18,13,0.6184210526,0.7352941176,0.8285714286,0.524
resource_constrained,simulation_base_spread_rate,high,130,62,0.5365853659,20,18,64,46,35,23,18,0.6184210526,0.7352941176,0.8285714286,0
resource_constrained,simulation_false_positive_rate,low,130,54,0.7352941176,14,4,64,33,33,17,17,0.6184210526,0.7352941176,0.8285714286,0.51
resource_constrained,simulation_false_positive_rate,high,130,64,0.7534246575,9,9,64,37,30,14,14,0.6184210526,0.7352941176,0.8285714286,0.636
resource_constrained,simulation_identity_breach_multiplier,low,130,64,0.7297297297,10,10,64,40,32,19,18,0.6184210526,0.7352941176,0.8285714286,0.461
resource_constrained,simulation_identity_breach_multiplier,high,130,62,0.7260273973,11,9,64,38,34,14,14,0.6184210526,0.7352941176,0.8285714286,0.438
resource_constrained,simulation_identity_control_coverage,low,130,54,0.6857142857,16,6,64,27,26,12,12,0.6184210526,0.7352941176,0.8285714286,0.192
resource_constrained,simulation_identity_control_coverage,high,130,55,0.7,15,6,64,38,33,16,16,0.6184210526,0.7352941176,0.8285714286,0.262
resource_constrained,simulation_identity_control_effectiveness,low,130,52,0.6338028169,19,7,64,32,29,13,13,0.6184210526,0.7352941176,0.8285714286,0.043
resource_constrained,simulation_identity_control_effectiveness,high,130,65,0.7671232877,8,9,64,35,31,16,16,0.6184210526,0.7352941176,0.8285714286,0.736
resource_constrained,simulation_patch_effectiveness,low,130,68,0.65,12,16,64,39,30,12,12,0.6184210526,0.7352941176,0.8285714286,0.074
resource_constrained,simulation_patch_effectiveness,high,130,45,0.5352112676,26,7,64,38,30,18,12,0.6184210526,0.7352941176,0.8285714286,0
resource_constrained,simulation_patch_effectiveness_vendor,low,130,69,0.7972972973,5,10,64,40,36,10,10,0.6184210526,0.7352941176,0.8285714286,0.901
resource_constrained,simulation_patch_effectiveness_vendor,high,130,53,0.6714285714,17,6,64,28,23,14,13,0.6184210526,0.7352941176,0.8285714286,0.133
resource_constrained,simulation_rapid_isolation_success,low,130,54,0.8153846154,11,1,64,37,33,19,19,0.6184210526,0.7352941176,0.8285714286,0.945
resource_constrained,simulation_rapid_isolation_success,high,130,63,0.7638888889,9,8,64,36,32,14,14,0.6184210526,0.7352941176,0.8285714286,0.71
resource_constrained,simulation_restore_rate_fraction,low,130,57,0.7285714286,13,6,64,34,32,14,13,0.6184210526,0.7352941176,0.8285714286,0.454
resource_constrained,simulation_restore_rate_fraction,high,130,55,0.676056338,16,7,64,39,27,13,13,0.6184210526,0.7352941176,0.8285714286,0.15
intermediate_capacity,network_backup_isolation_lapse,low,130,22,1,0,0,22,20,20,6,6,0.7776515152,0.9130434783,1,1
intermediate_capacity,network_backup_isolation_lapse,high,130,19,0.8636363636,3,0,22,19,19,7,7,0.7776515152,0.9130434783,1,0.291
intermediate_capacity,simulation_base_spread_rate,low,130,19,0.7083333333,5,2,22,18,16,6,6,0.7776515152,0.9130434783,1,0.003
intermediate_capacity,simulation_base_spread_rate,high,130,19,0.8636363636,3,0,22,19,19,9,9,0.7776515152,0.9130434783,1,0.291
intermediate_capacity,simulation_false_positive_rate,low,130,23,0.875,1,2,22,22,20,6,6,0.7776515152,0.9130434783,1,0.368
intermediate_capacity,simulation_false_positive_rate,high,130,18,0.8181818182,4,0,22,17,17,7,7,0.7776515152,0.9130434783,1,0.107
intermediate_capacity,simulation_identity_breach_multiplier,low,130,22,1,0,0,22,21,21,8,8,0.7776515152,0.9130434783,1,1
intermediate_capacity,simulation_identity_breach_multiplier,high,130,22,0.9130434783,1,1,22,20,19,6,6,0.7776515152,0.9130434783,1,0.512
intermediate_capacity,simulation_identity_control_coverage,low,130,26,0.8461538462,0,4,22,23,21,6,6,0.7776515152,0.9130434783,1,0.249
intermediate_capacity,simulation_identity_control_coverage,high,130,18,0.7391304348,5,1,22,18,17,6,6,0.7776515152,0.9130434783,1,0.006
intermediate_capacity,simulation_identity_control_effectiveness,low,130,23,0.875,1,2,22,22,20,7,6,0.7776515152,0.9130434783,1,0.368
intermediate_capacity,simulation_identity_control_effectiveness,high,130,20,0.9090909091,2,0,22,19,19,8,8,0.7776515152,0.9130434783,1,0.495
