profile,parameter,side,portfolio,frontier,endpoint_guaranteed,joint_guaranteed,mean_loss,tail_loss,outage_k4,nonrecovery,cost,burden
resource_constrained,network_backup_isolation_lapse,low,seg-basic|patch+0|det0|iso0|bak-connected|idm0,True,True,False,307.3462821,375.8839744,0.9153846154,0.5769230769,3,2
resource_constrained,network_backup_isolation_lapse,low,seg-basic|patch+0|det0|iso0|bak-connected|idm1,False,False,False,302.1529487,373.9057692,0.9076923077,0.5769230769,7,5
resource_constrained,network_backup_isolation_lapse,low,seg-basic|patch+0|det0|iso0|bak-isolated|idm0,True,True,False,257.5085256,335.074359,0.9153846154,0.3461538462,5,4
resource_constrained,network_backup_isolation_lapse,low,seg-basic|patch+0|det0|iso0|bak-isolated|idm1,False,False,False,252.9075,332.8621795,0.9076923077,0.3461538462,9,7
resource_constrained,network_backup_isolation_lapse,low,seg-basic|patch+0|det0|iso0|bak-periodic|idm0,True,True,False,306.6047436,375.3211538,0.9153846154,0.5769230769,4,3
resource_constrained,network_backup_isolation_lapse,low,seg-basic|patch+0|det0|iso0|bak-periodic|idm1,False,False,False,301.4025641,373.3320513,0.9076923077,0.5769230769,8,6
resource_constrained,network_backup_isolation_lapse,low,seg-basic|patch+0|det0|iso1|bak-connected|idm0,False,False,False,303.5803205,375.8839744,0.9,0.5615384615,8,5
resource_constrained,network_backup_isolation_lapse,low,seg-basic|patch+0|det0|iso1|bak-connected|idm1,False,False,False,296.0049359,373.9057692,0.8846153846,0.5538461538,12,8
resource_constrained,network_backup_isolation_lapse,low,seg-basic|patch+0|det0|iso1|bak-isolated|idm0,False,False,False,254.2523077,337.900641,0.9,0.3461538462,10,7
resource_constrained,network_backup_isolation_lapse,low,seg-basic|patch+0|det0|iso1|bak-isolated|idm1,False,False,False,247.8071154,335.8692308,0.8846153846,0.3461538462,14,10
resource_constrained,network_backup_isolation_lapse,low,seg-basic|patch+0|det0|iso1|bak-periodic|idm0,False,False,False,302.8082051,375.2378205,0.9,0.5615384615,9,6
resource_constrained,network_backup_isolation_lapse,low,seg-basic|patch+0|det0|iso1|bak-periodic|idm1,False,False,False,295.2566667,373.3185897,0.8846153846,0.5538461538,13,9
resource_constrained,network_backup_isolation_lapse,low,seg-basic|patch+0|det1|iso0|bak-connected|idm0,True,True,True,191.5992949,305.2852564,0.8461538462,0.1076923077,6,4
resource_constrained,network_backup_isolation_lapse,low,seg-basic|patch+0|det1|iso0|bak-connected|idm1,True,False,False,190.5380128,307.5666667,0.8384615385,0.1076923077,10,7
resource_constrained,network_backup_isolation_lapse,low,seg-basic|patch+0|det1|iso0|bak-isolated|idm0,True,True,True,143.2653205,232.4346154,0.8461538462,0.08461538462,8,6
resource_constrained,network_backup_isolation_lapse,low,seg-basic|patch+0|det1|iso0|bak-isolated|idm1,False,False,False,142.6701282,236.9538462,0.8384615385,0.08461538462,12,9
resource_constrained,network_backup_isolation_lapse,low,seg-basic|patch+0|det1|iso0|bak-periodic|idm0,True,True,True,190.1205128,303.0564103,0.8461538462,0.1076923077,7,5
resource_constrained,network_backup_isolation_lapse,low,seg-basic|patch+0|det1|iso0|bak-periodic|idm1,False,False,False,189.1230128,305.9692308,0.8384615385,0.1076923077,11,8
resource_constrained,network_backup_isolation_lapse,low,seg-basic|patch+0|det1|iso1|bak-connected|idm0,False,False,False,190.0554487,313.3884615,0.8307692308,0.1230769231,11,7
resource_constrained,network_backup_isolation_lapse,low,seg-basic|patch+0|det1|iso1|bak-connected|idm1,False,False,False,182.2207051,298.7589744,0.8076923077,0.1076923077,15,10
resource_constrained,network_backup_isolation_lapse,low,seg-basic|patch+0|det1|iso1|bak-isolated|idm0,False,False,False,142.6008333,243.4410256,0.8307692308,0.08461538462,13,9
resource_constrained,network_backup_isolation_lapse,low,seg-basic|patch+0|det1|iso1|bak-isolated|idm1,False,False,False,136.3482692,228.0794872,0.8076923077,0.08461538462,17,12
resource_constrained,network_backup_isolation_lapse,low,seg-basic|patch+0|det1|iso1|bak-periodic|idm0,False,False,False,188.4447436,312.2698718,0.8307692308,0.1230769231,12,8
resource_constrained,network_backup_isolation_lapse,low,seg-basic|patch+0|det1|iso1|bak-periodic|idm1,False,False,False,180.6725,296.4647436,0.8076923077,0.1076923077,16,11
resource_constrained,network_backup_isolation_lapse,low,seg-basic|patch+1|det0|iso0|bak-connected|idm0,True,True,False,301.5225,374.9923077,0.8923076923,0.5615384615,5,5
resource_constrained,network_backup_isolation_lapse,low,seg-basic|patch+1|det0|iso0|bak-connected|idm1,False,False,False,296.216859,373.0660256,0.8846153846,0.5692307692,9,8
resource_constrained,network_backup_isolation_lapse,low,seg-basic|patch+1|det0|iso0|bak-isolated|idm0,False,False,False,254.6598718,337.3083333,0.8923076923,0.3769230769,7,7
resource_constrained,network_backup_isolation_lapse,low,seg-basic|patch+1|det0|iso0|bak-isolated|idm1,False,False,False,250.2016026,335.0435898,0.8846153846,0.3769230769,11,10
resource_constrained,network_backup_isolation_lapse,low,seg-basic|patch+1|det0|iso0|bak-periodic|idm0,False,False,False,300.5608974,374.3128205,0.8923076923,0.5615384615,6,6
resource_constrained,network_backup_isolation_lapse,low,seg-basic|patch+1|det0|iso0|bak-periodic|idm1,False,False,False,295.3321795,372.5410256,0.8846153846,0.5692307692,10,9
resource_constrained,network_backup_isolation_lapse,low,seg-basic|patch+1|det0|iso1|bak-connected|idm0,False,False,False,296.2244872,374.9923077,0.8769230769,0.5538461538,10,8
resource_constrained,network_backup_isolation_lapse,low,seg-basic|patch+1|det0|iso1|bak-connected|idm1,False,False,False,287.9746154,373.0660256,0.8615384615,0.5461538462,14,11
resource_constrained,network_backup_isolation_lapse,low,seg-basic|patch+1|det0|iso1|bak-isolated|idm0,False,False,False,250.3804487,337.3038462,0.8769230769,0.3846153846,12,10
resource_constrained,network_backup_isolation_lapse,low,seg-basic|patch+1|det0|iso1|bak-isolated|idm1,False,False,False,243.4498077,335.0391026,0.8615384615,0.3769230769,16,13
resource_constrained,network_backup_isolation_lapse,low,seg-basic|patch+1|det0|iso1|bak-periodic|idm0,False,False,False,295.2528846,374.1820513,0.8769230769,0.5538461538,11,9
resource_constrained,network_backup_isolation_lapse,low,seg-basic|patch+1|det0|iso1|bak-periodic|idm1,False,False,False,287.1625,372.4057692,0.8615384615,0.5461538462,15,12
resource_constrained,network_backup_isolation_lapse,low,seg-basic|patch+1|det1|iso0|bak-connected|idm0,False,False,False,190.6407692,306.9480769,0.8384615385,0.1153846154,8,7
resource_constrained,network_backup_isolation_lapse,low,seg-basic|patch+1|det1|iso0|bak-connected|idm1,False,False,False,187.1167949,309.825641,0.8230769231,0.1153846154,12,10
resource_constrained,network_backup_isolation_lapse,low,seg-basic|patch+1|det1|iso0|bak-isolated|idm0,False,False,False,145.5713462,245.300641,0.8384615385,0.08461538462,10,9
resource_constrained,network_backup_isolation_lapse,low,seg-basic|patch+1|det1|iso0|bak-isolated|idm1,False,False,False,143.1492308,250.6102564,0.8230769231,0.08461538462,14,12
resource_constrained,network_backup_isolation_lapse,low,seg-basic|patch+1|det1|iso0|bak-periodic|idm0,True,False,False,188.2375641,304.1262821,0.8384615385,0.1076923077,9,8
resource_constrained,network_backup_isolation_lapse,low,seg-basic|patch+1|det1|iso0|bak-periodic|idm1,False,False,False,184.4650641,307.4615385,0.8230769231,0.1076923077,13,11
resource_constrained,network_backup_isolation_lapse,low,seg-basic|patch+1|det1|iso1|bak-connected|idm0,False,False,False,185.1232051,309.5923077,0.8153846154,0.1076923077,13,10
resource_constrained,network_backup_isolation_lapse,low,seg-basic|patch+1|det1|iso1|bak-connected|idm1,False,False,False,177.0871795,298.4903846,0.7846153846,0.1076923077,17,13
resource_constrained,network_backup_isolation_lapse,low,seg-basic|patch+1|det1|iso1|bak-isolated|idm0,False,False,False,141.5995513,245.7102564,0.8153846154,0.08461538462,15,12
resource_constrained,network_backup_isolation_lapse,low,seg-basic|patch+1|det1|iso1|bak-isolated|idm1,False,False,False,135.5255128,237.8102564,0.7846153846,0.08461538462,19,15
resource_constrained,network_backup_isolation_lapse,low,seg-basic|patch+1|det1|iso1|bak-periodic|idm0,False,False,False,182.9319872,307.0121795,0.8153846154,0.1153846154,14,11
resource_constrained,network_backup_isolation_lapse,low,seg-basic|patch+1|det1|iso1|bak-periodic|idm1,False,False,False,174.9392308,296.0775641,0.7846153846,0.1076923077,18,14
resource_constrained,network_backup_isolation_lapse,low,seg-basic|patch+2|det0|iso0|bak-connected|idm0,False,False,False,290.5527564,374.5884615,0.8538461538,0.5769230769,7,8
resource_constrained,network_backup_isolation_lapse,low,seg-basic|patch+2|det0|iso0|bak-connected|idm1,False,False,False,282.8052564,372.675641,0.8384615385,0.5692307692,11,11
resource_constrained,network_backup_isolation_lapse,low,seg-basic|patch+2|det0|iso0|bak-isolated|idm0,False,False,False,248.011859,337.2705128,0.8538461538,0.4230769231,9,10
resource_constrained,network_backup_isolation_lapse,low,seg-basic|patch+2|det0|iso0|bak-isolated|idm1,False,False,False,241.1608333,335.0589744,0.8384615385,0.4076923077,13,13
resource_constrained,network_backup_isolation_lapse,low,seg-basic|patch+2|det0|iso0|bak-periodic|idm0,False,False,False,288.0911538,373.3314103,0.8538461538,0.5769230769,8,9
resource_constrained,network_backup_isolation_lapse,low,seg-basic|patch+2|det0|iso0|bak-periodic|idm1,False,False,False,280.714359,370.8326923,0.8384615385,0.5692307692,12,12
resource_constrained,network_backup_isolation_lapse,low,seg-basic|patch+2|det0|iso1|bak-connected|idm0,False,False,False,288.123718,374.9987179,0.8461538462,0.5769230769,12,11
resource_constrained,network_backup_isolation_lapse,low,seg-basic|patch+2|det0|iso1|bak-connected|idm1,False,False,False,278.0914103,372.9012821,0.8230769231,0.5615384615,16,14
resource_constrained,network_backup_isolation_lapse,low,seg-basic|patch+2|det0|iso1|bak-isolated|idm0,False,False,False,246.5262821,338.0589744,0.8461538462,0.4384615385,14,13
resource_constrained,network_backup_isolation_lapse,low,seg-basic|patch+2|det0|iso1|bak-isolated|idm1,False,False,False,237.6225641,336.0801282,0.8230769231,0.4230769231,18,16
resource_constrained,network_backup_isolation_lapse,low,seg-basic|patch+2|det0|iso1|bak-periodic|idm0,False,False,False,285.6039103,373.3846154,0.8461538462,0.5769230769,13,12
resource_constrained,network_backup_isolation_lapse,low,seg-basic|patch+2|det0|iso1|bak-periodic|idm1,False,False,False,275.9877564,370.8314103,0.8230769231,0.5615384615,17,15
resource_constrained,network_backup_isolation_lapse,low,seg-basic|patch+2|det1|iso0|bak-connected|idm0,False,False,False,188.7044231,328.2942308,0.8,0.1076923077,10,10
resource_constrained,network_backup_isolation_lapse,low,seg-basic|patch+2|det1|iso0|bak-connected|idm1,False,False,False,184.0141667,323.5275641,0.7846153846,0.1153846154,14,13
resource_constrained,network_backup_isolation_lapse,low,seg-basic|patch+2|det1|iso0|bak-isolated|idm0,False,False,False,148.6915385,269.1910256,0.8,0.09230769231,12,12
resource_constrained,network_backup_isolation_lapse,low,seg-basic|patch+2|det1|iso0|bak-isolated|idm1,False,False,False,145.5573718,266.599359,0.7846153846,0.1,16,15
resource_constrained,network_backup_isolation_lapse,low,seg-basic|patch+2|det1|iso0|bak-periodic|idm0,False,False,False,185.1712821,319.4596154,0.8,0.1076923077,11,11
resource_constrained,network_backup_isolation_lapse,low,seg-basic|patch+2|det1|iso0|bak-periodic|idm1,False,False,False,180.3078846,312.176282,0.7846153846,0.1153846154,15,14
resource_constrained,network_backup_isolation_lapse,low,seg-basic|patch+2|det1|iso1|bak-connected|idm0,False,False,False,182.8838462,318.4480769,0.7846153846,0.1076923077,15,13
resource_constrained,network_backup_isolation_lapse,low,seg-basic|patch+2|det1|iso1|bak-connected|idm1,False,False,False,174.5628846,316.0865385,0.7538461538,0.1153846154,19,16
resource_constrained,network_backup_isolation_lapse,low,seg-basic|patch+2|det1|iso1|bak-isolated|idm0,False,False,False,144.4337821,260.2897436,0.7846153846,0.08461538462,17,15
resource_constrained,network_backup_isolation_lapse,low,seg-basic|patch+2|det1|iso1|bak-isolated|idm1,False,False,False,139.0949359,258.8846154,0.7538461538,0.09230769231,21,18
