setting_id,treatment,baseline_mean_hours,treatment_mean_hours,relative_reduction,treatment_favored
fine_lhs_000,seg_detect_backup,364.945,272.6508333,0.2528988386,1
fine_lhs_001,seg_detect_backup,192.515,76.23166667,0.6040221974,1
fine_lhs_002,seg_detect_backup,344.4783333,198.2916667,0.4243711506,1
fine_lhs_003,seg_detect_backup,236.1458333,50.52666666,0.7860361712,1
fine_lhs_004,seg_detect_backup,374.7858333,364.1158333,0.02846959261,1
fine_lhs_005,seg_detect_backup,360.4591667,278.7741667,0.2266137403,1
fine_lhs_006,seg_detect_backup,369.495,360.5066667,0.02432599445,1
fine_lhs_007,seg_detect_backup,371.3958333,285.0625,0.2324563863,1
fine_lhs_008,seg_detect_backup,371.43,318.7583333,0.141807788,1
fine_lhs_009,seg_detect_backup,354.2866667,162.6066667,0.5410308037,1
fine_lhs_010,seg_detect_backup,216.955,100.65,0.5360789104,1
fine_lhs_011,seg_detect_backup,136.2025,1.6,0.9882527854,1
fine_lhs_012,seg_detect_backup,335.73,242.0883333,0.2789195683,1
fine_lhs_013,seg_detect_backup,191.4733333,99.87416667,0.4783912468,1
fine_lhs_014,seg_detect_backup,314.0883333,162.1416667,0.4837704892,1
fine_lhs_015,seg_detect_backup,367.715,107.0616667,0.7088460719,1
fine_lhs_016,seg_detect_backup,318.045,227.4,0.2850068387,1
fine_lhs_017,seg_detect_backup,109.0266667,0,1,1
fine_lhs_018,seg_detect_backup,372.9891667,352.0775,0.05606507788,1
fine_lhs_019,seg_detect_backup,374.875,287.0158333,0.2343692342,1
fine_lhs_020,seg_detect_backup,331.1783333,214.2566667,0.3530474518,1
fine_lhs_021,seg_detect_backup,364.6641667,311.5425,0.1456728451,1
fine_lhs_022,seg_detect_backup,280.52,98.97833334,0.6471612244,1
fine_lhs_023,seg_detect_backup,311.845,207.15,0.3357276852,1
fine_lhs_024,seg_detect_backup,378.4058334,320.9975,0.1517110158,1
fine_lhs_025,seg_detect_backup,376.8958333,364.2108333,0.03365651429,1
fine_lhs_026,seg_detect_backup,377.5333333,325.7525,0.1371556596,1
fine_lhs_027,seg_detect_backup,377.3558333,363.585,0.03649296524,1
fine_lhs_028,seg_detect_backup,237.6591667,95.58333333,0.5978133952,1
fine_lhs_029,seg_detect_backup,363.0683333,251.9075,0.3061705556,1
fine_lhs_030,seg_detect_backup,377.7458333,331.9691667,0.1211837766,1
fine_lhs_031,seg_detect_backup,362.7375,248.3825,0.3152555223,1
fine_lhs_032,seg_detect_backup,368.5433333,283.4616667,0.2308593291,1
fine_lhs_033,seg_detect_backup,320.8241667,221.865,0.3084529688,1
fine_lhs_034,seg_detect_backup,378.0441667,374.8816667,0.008365424701,1
fine_lhs_035,seg_detect_backup,326.95,217.32,0.3353112096,1
fine_lhs_036,seg_detect_backup,355.6691667,266.8541667,0.2497123966,1
fine_lhs_037,seg_detect_backup,354.5066667,124.7391667,0.6481330864,1
fine_lhs_038,seg_detect_backup,373.8716667,289.6308333,0.2253201856,1
fine_lhs_039,seg_detect_backup,367.2708333,311.7366667,0.1512076692,1
fine_lhs_040,seg_detect_backup,366.8775,283.3675,0.2276236618,1
fine_lhs_041,seg_detect_backup,375.4083333,285.215,0.2402539457,1
fine_lhs_042,seg_detect_backup,374.9075,284.235,0.2418529904,1
fine_lhs_043,seg_detect_backup,377.6425,372.4733333,0.01368798975,1
fine_lhs_044,seg_detect_backup,356.0108333,207.9091667,0.4160032584,1
fine_lhs_045,seg_detect_backup,330.5608333,272.785,0.174781243,1
fine_lhs_046,seg_detect_backup,337.56,195.8133333,0.4199154718,1
fine_lhs_047,seg_detect_backup,347.5225,196.8991667,0.433420378,1
fine_lhs_048,seg_detect_backup,377.7725,325.2041667,0.1391534146,1
fine_lhs_049,seg_detect_backup,222.1508333,2.5,0.9887463848,1
fine_lhs_050,seg_detect_backup,377.8033333,344.68,0.0876734809,1
fine_lhs_051,seg_detect_backup,376.8541667,285.7858333,0.2416540439,1
fine_lhs_052,seg_detect_backup,26.6625,0,1,1
fine_lhs_053,seg_detect_backup,146.1466667,11.02166667,0.9245848919,1
fine_lhs_054,seg_detect_backup,370.6516667,266.1991667,0.281807717,1
fine_lhs_055,seg_detect_backup,371.8358333,264.5341667,0.28857269,1
fine_lhs_056,seg_detect_backup,332.5491667,223.9316667,0.3266208756,1
fine_lhs_057,seg_detect_backup,376.2516667,362.285,0.03712054435,1
fine_lhs_058,seg_detect_backup,376.34,354.1333333,0.05900692634,1
fine_lhs_059,seg_detect_backup,370.6958333,350.4783333,0.05453932357,1
fine_lhs_060,seg_detect_backup,373.0483333,274.8258333,0.2632969812,1
fine_lhs_061,seg_detect_backup,139.2016667,7.048333334,0.9493660277,1
fine_lhs_062,seg_detect_backup,16.71833333,1.74,0.8959226398,1
fine_lhs_063,seg_detect_backup,365.7466667,323.0983333,0.1166062119,1
fine_lhs_064,seg_detect_backup,356.0025,269.2333333,0.2437319026,1
fine_lhs_065,seg_detect_backup,376.8033333,318.1208333,0.1557377412,1
fine_lhs_066,seg_detect_backup,127.4816667,23.885,0.812639726,1
fine_lhs_067,seg_detect_backup,377.31,353.6925,0.06259441838,1
fine_lhs_068,seg_detect_backup,377.6316667,241.7675,0.3597795912,1
fine_lhs_069,seg_detect_backup,328.6266667,211.8808333,0.355253682,1
fine_lhs_070,seg_detect_backup,360.6941667,315.4275,0.125498749,1
fine_lhs_071,seg_detect_backup,377.5225,369.0941667,0.02232538016,1
fine_lhs_072,seg_detect_backup,276.74,105.4058333,0.6191160174,1
