trial_id,scenario_id,paired,experiment,master_seed,facility,profile,portfolio,entry_point,entry_node,n_nodes,n_edges,segmentation,patch_coverage,realized_patch_fraction,detection_delay,isolation_success,backup_strategy,identity_controls,rapid_isolation,horizon_steps,step_minutes,total_compromised,ever_compromised_fraction,pct_compromised,peak_compromised,zones_reached,lateral_movements,containment_step,backup_compromised,identity_compromised,ehr_downtime_steps,laboratory_downtime_steps,pharmacy_downtime_steps,imaging_downtime_steps,scheduling_downtime_steps,identity_downtime_steps,backup_recovery_downtime_steps,services_disrupted_count,total_service_downtime_steps,weighted_service_hours_lost,time_averaged_weighted_clinical_unavailability,pct_clinical_capacity_lost,catastrophic,defensive_isolation_node_steps,recovery_step,recovered_within_horizon,ehr_available_final,laboratory_available_final,pharmacy_available_final,imaging_available_final,scheduling_available_final,identity_available_final,backup_recovery_available_final,final_service_availability_fraction,disrupted_service_recovery_fraction,pct_services_restored,unrecoverable_nodes,backups_available,steps_simulated
910000000,91000000,1,fine_step_primary,5701001,scale_2,intermediate_posture,baseline_flat,workstation,73,205,1625,flat,0.5,0.4683,36,0.3306,connected,0,0,864,5,189,0.9219512195,0.9219512195,189,10,193,342,1,1,420,481,446,537,668,420,495,7,3467,210.3583333,0.5385688998,0.5385688998,1,840,541,1,1,1,1,1,1,1,1,1,1,1,61,0,864
910000001,91000000,1,fine_step_primary,5701001,scale_2,intermediate_posture,seg_detect_backup,workstation,73,205,1053,basic,0.5,0.4683,18,0.6316,isolated,0,1,864,5,113,0.5512195122,0.5512195122,113,9,112,351,0,1,324,299,332,305,327,290,0,6,1877,122.275,0.3661151961,0.3661151961,1,1224,415,1,1,1,1,1,1,1,1,1,1,1,0,1,490
910000002,91000001,1,fine_step_primary,5701002,scale_2,intermediate_posture,baseline_flat,internet_facing,250,254,2022,flat,0.5,0.5079,36,0.3306,connected,0,0,864,5,227,0.8937007874,0.8937007874,227,10,231,410,1,1,472,520,506,570,698,466,546,7,3778,230.7166667,0.5931372549,0.5931372549,1,825,600,1,1,1,1,1,1,1,1,1,1,1,73,0,864
910000003,91000001,1,fine_step_primary,5701002,scale_2,intermediate_posture,seg_detect_backup,internet_facing,250,254,1325,basic,0.5,0.5079,18,0.6316,isolated,0,1,864,5,1,0.003937007874,0.003937007874,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,8
910000004,91000002,1,fine_step_primary,5701003,scale_2,intermediate_posture,baseline_flat,privileged_system,205,246,1948,flat,0.5,0.4919,36,0.3306,connected,0,0,864,5,221,0.8983739837,0.8983739837,221,10,224,437,1,1,497,550,523,631,752,497,575,7,4025,245.2083333,0.6295615468,0.6295615468,1,880,-1,0,0,0,0,0,0,0,1,0.1428571429,0.1428571429,0.1428571429,68,0,864
910000005,91000002,1,fine_step_primary,5701003,scale_2,intermediate_posture,seg_detect_backup,privileged_system,205,246,1279,basic,0.5,0.4919,18,0.6316,isolated,0,1,864,5,1,0.00406504065,0.00406504065,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,10
910000006,91000003,1,fine_step_primary,5701004,scale_2,intermediate_posture,baseline_flat,medical_device,201,265,2112,flat,0.5,0.4491,36,0.3306,connected,0,0,864,5,234,0.8830188679,0.8830188679,234,10,238,340,1,1,402,483,425,508,622,402,468,7,3310,201.4916667,0.5196418845,0.5196418845,1,1271,542,1,1,1,1,1,1,1,1,1,1,1,73,0,864
910000007,91000003,1,fine_step_primary,5701004,scale_2,intermediate_posture,seg_detect_backup,medical_device,201,265,1398,basic,0.5,0.4491,18,0.6316,isolated,0,1,864,5,11,0.04150943396,0.04150943396,11,1,10,98,0,0,0,24,0,0,0,0,0,1,24,1.6,0.006535947712,0.006535947712,0,2400,542,1,1,1,1,1,1,1,1,1,1,1,0,1,617
910000008,91000004,1,fine_step_primary,5701005,scale_2,intermediate_posture,baseline_flat,vendor_connection,259,260,1998,flat,0.5,0.4808,36,0.3306,connected,0,0,864,5,231,0.8884615385,0.8884615385,231,10,237,444,1,1,496,542,517,588,715,486,567,7,3911,239.175,0.6149577887,0.6149577887,1,1008,611,1,1,1,1,1,1,1,1,1,1,1,65,0,864
910000009,91000004,1,fine_step_primary,5701005,scale_2,intermediate_posture,seg_detect_backup,vendor_connection,259,260,1326,basic,0.5,0.4808,18,0.6316,isolated,0,1,864,5,29,0.1115384615,0.1115384615,29,7,28,109,0,1,52,48,0,0,24,0,0,3,124,8.333333333,0.03077342048,0.03077342048,1,888,116,1,1,1,1,1,1,1,1,1,1,1,0,1,227
910000010,91000005,1,fine_step_primary,5701001,scale_2,intermediate_posture,baseline_flat,workstation,53,203,1591,flat,0.5,0.3941,36,0.3306,connected,0,0,864,5,183,0.9014778325,0.9014778325,183,10,187,286,1,1,327,378,370,436,546,327,402,7,2786,168.4583333,0.4315087146,0.4315087146,1,1248,557,1,1,1,1,1,1,1,1,1,1,1,55,0,860
910000011,91000005,1,fine_step_primary,5701001,scale_2,intermediate_posture,seg_detect_backup,workstation,53,203,1039,basic,0.5,0.3941,18,0.6316,isolated,0,1,864,5,5,0.02463054187,0.02463054187,5,1,4,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,0,1,1,1,1,1,1,1,1,1,1,1,0,1,85
910000012,91000006,1,fine_step_primary,5701002,scale_2,intermediate_posture,baseline_flat,internet_facing,249,259,2026,flat,0.5,0.471,36,0.3306,connected,0,0,864,5,233,0.8996138996,0.8996138996,233,10,240,355,1,1,430,484,475,535,655,430,519,7,3528,214.9666667,0.5511982571,0.5511982571,1,1131,773,1,1,1,1,1,1,1,1,1,1,1,71,0,864
910000013,91000006,1,fine_step_primary,5701002,scale_2,intermediate_posture,seg_detect_backup,internet_facing,249,259,1349,basic,0.5,0.471,18,0.6316,isolated,0,1,864,5,106,0.4092664093,0.4092664093,106,9,108,166,0,1,166,178,174,207,197,163,0,6,1085,69.61666667,0.2076184641,0.2076184641,1,2496,521,1,1,1,1,1,1,1,1,1,1,1,0,1,576
910000014,91000007,1,fine_step_primary,5701003,scale_2,intermediate_posture,baseline_flat,privileged_system,15,241,1897,flat,0.5,0.4564,36,0.3306,connected,0,0,864,5,224,0.9294605809,0.9294605809,224,10,227,378,1,1,495,472,448,527,647,423,497,7,3509,215.2,0.5598788126,0.5598788126,1,1220,-1,0,0,1,1,1,1,1,1,0.8571428571,0.8571428571,0.8571428571,67,0,864
910000015,91000007,1,fine_step_primary,5701003,scale_2,intermediate_posture,seg_detect_backup,privileged_system,15,241,1240,basic,0.5,0.4564,18,0.6316,isolated,0,1,864,5,1,0.004149377593,0.004149377593,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,8
910000016,91000008,1,fine_step_primary,5701004,scale_2,intermediate_posture,baseline_flat,medical_device,188,245,1948,flat,0.5,0.4816,36,0.3306,connected,0,0,864,5,216,0.8816326531,0.8816326531,216,10,220,243,1,1,330,392,359,447,553,309,357,7,2747,166.0916667,0.4355936819,0.4355936819,1,1681,804,1,1,1,1,1,1,1,1,1,1,1,70,0,864
910000017,91000008,1,fine_step_primary,5701004,scale_2,intermediate_posture,seg_detect_backup,medical_device,188,245,1278,basic,0.5,0.4816,18,0.6316,isolated,0,1,864,5,2,0.008163265306,0.008163265306,2,1,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,528,0,1,1,1,1,1,1,1,1,1,1,1,0,1,154
910000018,91000009,1,fine_step_primary,5701005,scale_2,intermediate_posture,baseline_flat,vendor_connection,298,299,2336,flat,0.5,0.5084,36,0.3306,connected,0,0,864,5,264,0.8829431438,0.8829431438,264,10,270,308,1,1,445,451,421,523,613,397,443,7,3293,201.5916667,0.5279139434,0.5279139434,1,1849,841,1,1,1,1,1,1,1,1,1,1,1,79,0,864
910000019,91000009,1,fine_step_primary,5701005,scale_2,intermediate_posture,seg_detect_backup,vendor_connection,298,299,1561,basic,0.5,0.5084,18,0.6316,isolated,0,1,864,5,5,0.01672240803,0.01672240803,5,3,4,42,0,1,72,24,24,48,48,24,0,6,240,15.6,0.04983660131,0.04983660131,0,4321,841,1,1,1,1,1,1,1,1,1,1,1,0,1,864
910000020,91000010,1,fine_step_primary,5701001,scale_2,intermediate_posture,baseline_flat,workstation,0,273,2140,flat,0.5,0.4872,36,0.3306,connected,0,0,864,5,238,0.8717948718,0.8717948718,238,10,246,233,1,1,321,373,351,390,497,316,418,7,2666,161.8583333,0.4113221678,0.4113221678,1,2063,438,1,1,1,1,1,1,1,1,1,1,1,73,0,864
910000021,91000010,1,fine_step_primary,5701001,scale_2,intermediate_posture,seg_detect_backup,workstation,0,273,1412,basic,0.5,0.4872,18,0.6316,isolated,0,1,864,5,16,0.05860805861,0.05860805861,16,5,15,64,0,0,48,110,48,48,72,48,72,7,446,27.33333333,0.07244008715,0.07244008715,1,3407,438,1,1,1,1,1,1,1,1,1,1,1,0,1,864
910000022,91000011,1,fine_step_primary,5701002,scale_2,intermediate_posture,baseline_flat,internet_facing,284,295,2382,flat,0.5,0.4712,36,0.3306,connected,0,0,864,5,262,0.8881355932,0.8881355932,262,10,264,471,1,1,570,631,578,660,781,550,606,7,4376,269,0.7002314815,0.7002314815,1,948,825,1,1,1,1,1,1,1,1,1,1,1,82,0,864
