problem,candidate,x1,x2,x3,x4,objective_1,objective_2,nominal_efficient
RE21,0,2.577193952,2.014013457,1.980892159,2.901935062,2462.401964,0.01441751448,False
RE21,1,2.02081836,2.443324521,1.513690369,1.613195757,2068.10728,0.01518523518,False
RE21,2,2.427022008,2.220573421,1.633643942,1.804269144,2215.363805,0.01474913671,False
RE21,3,1.57598279,2.43016377,2.810552875,1.87917168,2028.875637,0.02490871752,False
RE21,4,1.277448304,2.756037111,2.456116813,1.989452537,2001.834903,0.02445603819,False
RE21,5,2.709535758,1.997844497,2.526391283,1.617678585,2290.318292,0.02270660465,False
RE21,6,1.641765148,2.339347968,2.434007477,2.532708508,2136.941405,0.02054890553,False
RE21,7,2.314707109,1.703386007,2.092702031,2.835750144,2264.14668,0.01878227283,False
RE21,8,1.067803468,1.604461392,1.731204159,2.437233577,1631.528778,0.02822666048,True
RE21,9,1.935132199,2.626727236,2.749192084,1.41903652,2132.424596,0.02490894436,False
RE21,10,2.516782857,2.005293216,1.970276192,1.398429009,2134.314571,0.02199773607,False
RE21,11,2.689585568,1.966552106,2.329688299,2.051122133,2347.549915,0.01942872431,False
RE21,12,1.131029062,1.507943406,2.867008827,1.054969598,1428.561225,0.04553232712,True
RE21,13,2.007617196,2.095521275,2.886235662,2.492047439,2233.937784,0.02168536539,False
RE21,14,1.352754804,2.447760676,1.78409742,2.61588557,2023.750524,0.01813185534,False
RE21,15,2.131497567,1.892680285,1.465807971,2.16867783,2063.806532,0.01425328561,True
RE21,16,2.770973766,2.658180025,1.885186352,2.009495893,2536.73971,0.01280745391,False
RE21,17,2.914246927,2.81230903,2.919498598,1.331869473,2569.244586,0.02224857781,False
RE21,18,1.053416698,2.610718686,1.418732906,2.711408612,1940.292306,0.01725969083,True
RE21,19,2.518185249,2.642412042,2.486528471,1.089636633,2287.963017,0.02562592554,False
RE21,20,1.564758897,2.265443783,2.465453013,1.661496135,1913.002272,0.02583171524,False
RE21,21,2.998469865,2.926860109,2.706202909,1.521140508,2660.467915,0.01903014419,False
