profile,portfolio,outage_lower,outage_upper,guaranteed,possible,observed_k4,possible_dominator,necessary_dominator
resource_constrained,seg-basic|patch+0|det0|iso0|bak-connected|idm0,0.9375,0.9425,True,True,True,,
resource_constrained,seg-basic|patch+0|det0|iso0|bak-connected|idm1,0.9325,0.94,False,False,False,seg-basic|patch+0|det0|iso0|bak-isolated|idm0,seg-basic|patch+0|det1|iso0|bak-connected|idm0
resource_constrained,seg-basic|patch+0|det0|iso0|bak-isolated|idm0,0.9375,0.9425,True,True,True,,
resource_constrained,seg-basic|patch+0|det0|iso0|bak-isolated|idm1,0.9325,0.94,False,False,False,seg-basic|patch+0|det1|iso0|bak-connected|idm0,seg-basic|patch+0|det1|iso0|bak-connected|idm0
resource_constrained,seg-basic|patch+0|det0|iso0|bak-periodic|idm0,0.9375,0.9425,True,True,True,,
resource_constrained,seg-basic|patch+0|det0|iso0|bak-periodic|idm1,0.9325,0.94,False,False,False,seg-basic|patch+0|det0|iso0|bak-isolated|idm0,seg-basic|patch+0|det1|iso0|bak-connected|idm0
resource_constrained,seg-basic|patch+0|det0|iso1|bak-connected|idm0,0.9225,0.9325,False,False,False,seg-basic|patch+0|det1|iso0|bak-connected|idm0,seg-basic|patch+0|det1|iso0|bak-connected|idm0
resource_constrained,seg-basic|patch+0|det0|iso1|bak-connected|idm1,0.915,0.93,False,False,False,seg-basic|patch+0|det0|iso1|bak-isolated|idm0,seg-basic|patch+0|det1|iso0|bak-connected|idm0
resource_constrained,seg-basic|patch+0|det0|iso1|bak-isolated|idm0,0.9225,0.9325,False,False,False,seg-basic|patch+0|det1|iso0|bak-connected|idm0,seg-basic|patch+0|det1|iso0|bak-connected|idm0
resource_constrained,seg-basic|patch+0|det0|iso1|bak-isolated|idm1,0.915,0.93,False,False,False,seg-basic|patch+0|det1|iso0|bak-connected|idm0,seg-basic|patch+0|det1|iso0|bak-connected|idm0
resource_constrained,seg-basic|patch+0|det0|iso1|bak-periodic|idm0,0.9225,0.9325,False,False,False,seg-basic|patch+0|det1|iso0|bak-connected|idm0,seg-basic|patch+0|det1|iso0|bak-connected|idm0
resource_constrained,seg-basic|patch+0|det0|iso1|bak-periodic|idm1,0.915,0.93,False,False,False,seg-basic|patch+0|det0|iso1|bak-isolated|idm0,seg-basic|patch+0|det1|iso0|bak-connected|idm0
resource_constrained,seg-basic|patch+0|det1|iso0|bak-connected|idm0,0.8825,0.9,True,True,True,,
resource_constrained,seg-basic|patch+0|det1|iso0|bak-connected|idm1,0.87,0.89,False,False,False,seg-basic|patch+0|det1|iso0|bak-isolated|idm0,seg-least_privilege|patch+0|det1|iso0|bak-connected|idm0
resource_constrained,seg-basic|patch+0|det1|iso0|bak-isolated|idm0,0.8825,0.9,True,True,True,,
resource_constrained,seg-basic|patch+0|det1|iso0|bak-isolated|idm1,0.87,0.89,True,True,True,,
resource_constrained,seg-basic|patch+0|det1|iso0|bak-periodic|idm0,0.8825,0.9,True,True,True,,
resource_constrained,seg-basic|patch+0|det1|iso0|bak-periodic|idm1,0.87,0.89,False,False,False,seg-basic|patch+0|det1|iso0|bak-isolated|idm0,seg-least_privilege|patch+0|det1|iso0|bak-connected|idm0
resource_constrained,seg-basic|patch+0|det1|iso1|bak-connected|idm0,0.8625,0.8825,False,False,False,seg-basic|patch+0|det1|iso0|bak-isolated|idm0,seg-least_privilege|patch+0|det1|iso0|bak-connected|idm0
resource_constrained,seg-basic|patch+0|det1|iso1|bak-connected|idm1,0.845,0.87,False,False,False,seg-basic|patch+0|det1|iso0|bak-isolated|idm1,seg-least_privilege|patch+0|det1|iso0|bak-connected|idm0
resource_constrained,seg-basic|patch+0|det1|iso1|bak-isolated|idm0,0.8625,0.8825,False,True,True,seg-basic|patch+0|det1|iso0|bak-isolated|idm1,
resource_constrained,seg-basic|patch+0|det1|iso1|bak-isolated|idm1,0.845,0.87,False,False,False,seg-least_privilege|patch+0|det1|iso1|bak-isolated|idm0,seg-least_privilege|patch+0|det1|iso1|bak-isolated|idm0
resource_constrained,seg-basic|patch+0|det1|iso1|bak-periodic|idm0,0.8625,0.8825,False,False,False,seg-basic|patch+0|det1|iso0|bak-isolated|idm0,seg-least_privilege|patch+0|det1|iso0|bak-connected|idm0
resource_constrained,seg-basic|patch+0|det1|iso1|bak-periodic|idm1,0.845,0.87,False,False,False,seg-basic|patch+0|det1|iso0|bak-isolated|idm1,seg-least_privilege|patch+0|det1|iso0|bak-connected|idm0
resource_constrained,seg-basic|patch+1|det0|iso0|bak-connected|idm0,0.92,0.93,False,True,False,seg-least_privilege|patch+0|det0|iso0|bak-connected|idm0,
resource_constrained,seg-basic|patch+1|det0|iso0|bak-connected|idm1,0.9175,0.9275,False,False,False,seg-basic|patch+0|det1|iso0|bak-connected|idm0,seg-basic|patch+0|det1|iso0|bak-connected|idm0
resource_constrained,seg-basic|patch+1|det0|iso0|bak-isolated|idm0,0.92,0.93,False,False,False,seg-basic|patch+0|det1|iso0|bak-connected|idm0,seg-basic|patch+0|det1|iso0|bak-connected|idm0
resource_constrained,seg-basic|patch+1|det0|iso0|bak-isolated|idm1,0.9175,0.9275,False,False,False,seg-basic|patch+0|det1|iso0|bak-connected|idm0,seg-basic|patch+0|det1|iso0|bak-connected|idm0
resource_constrained,seg-basic|patch+1|det0|iso0|bak-periodic|idm0,0.92,0.93,False,False,False,seg-basic|patch+0|det1|iso0|bak-connected|idm0,seg-basic|patch+0|det1|iso0|bak-connected|idm0
resource_constrained,seg-basic|patch+1|det0|iso0|bak-periodic|idm1,0.9175,0.9275,False,False,False,seg-basic|patch+0|det0|iso1|bak-isolated|idm0,seg-basic|patch+0|det1|iso0|bak-connected|idm0
resource_constrained,seg-basic|patch+1|det0|iso1|bak-connected|idm0,0.9075,0.92,False,False,False,seg-basic|patch+0|det1|iso0|bak-connected|idm0,seg-basic|patch+0|det1|iso0|bak-connected|idm0
resource_constrained,seg-basic|patch+1|det0|iso1|bak-connected|idm1,0.9025,0.9175,False,False,False,seg-basic|patch+0|det0|iso1|bak-isolated|idm1,seg-basic|patch+0|det1|iso0|bak-connected|idm0
resource_constrained,seg-basic|patch+1|det0|iso1|bak-isolated|idm0,0.9075,0.92,False,False,False,seg-basic|patch+0|det1|iso0|bak-connected|idm0,seg-basic|patch+0|det1|iso0|bak-connected|idm0
resource_constrained,seg-basic|patch+1|det0|iso1|bak-isolated|idm1,0.9025,0.9175,False,False,False,seg-basic|patch+0|det1|iso0|bak-connected|idm0,seg-basic|patch+0|det1|iso0|bak-connected|idm0
resource_constrained,seg-basic|patch+1|det0|iso1|bak-periodic|idm0,0.9075,0.92,False,False,False,seg-basic|patch+0|det1|iso0|bak-connected|idm0,seg-basic|patch+0|det1|iso0|bak-connected|idm0
resource_constrained,seg-basic|patch+1|det0|iso1|bak-periodic|idm1,0.9025,0.9175,False,False,False,seg-basic|patch+0|det0|iso1|bak-isolated|idm1,seg-basic|patch+0|det1|iso0|bak-connected|idm0
resource_constrained,seg-basic|patch+1|det1|iso0|bak-connected|idm0,0.8625,0.8825,False,False,False,seg-basic|patch+0|det1|iso0|bak-isolated|idm0,seg-least_privilege|patch+0|det1|iso0|bak-connected|idm0
