profile,baseline,portfolio,n_scenarios,mean_hours_saved,paired_se,independent_se,family_size,approximate_df,pointwise_lower,pointwise_upper,simultaneous_lower,simultaneous_upper,interval_status
resource_constrained,seg-flat|patch+0|det0|iso0|bak-connected|idm0,seg-basic|patch+0|det0|iso0|bak-connected|idm0,400,8.10289583,2.86623046,5.516277409,397,275.3768443,2.460388792,13.74540287,-3.045633446,19.25142511,"stratified paired t, Satterthwaite df, Bonferroni"
resource_constrained,seg-flat|patch+0|det0|iso0|bak-connected|idm0,seg-basic|patch+0|det0|iso0|bak-connected|idm1,400,11.88916667,3.028015188,5.600730714,397,252.1210959,5.925739654,17.85259368,0.09567958148,23.68265375,"stratified paired t, Satterthwaite df, Bonferroni"
resource_constrained,seg-flat|patch+0|det0|iso0|bak-connected|idm0,seg-basic|patch+0|det0|iso0|bak-isolated|idm0,400,55.837,2.84511284,5.250103649,397,314.3991097,50.23913227,61.43486772,44.79037691,66.88362309,"stratified paired t, Satterthwaite df, Bonferroni"
resource_constrained,seg-flat|patch+0|det0|iso0|bak-connected|idm0,seg-basic|patch+0|det0|iso0|bak-isolated|idm1,400,59.1069375,2.974404393,5.317241506,397,300.0878529,53.25360508,64.96026992,47.55137103,70.66250396,"stratified paired t, Satterthwaite df, Bonferroni"
resource_constrained,seg-flat|patch+0|det0|iso0|bak-connected|idm0,seg-basic|patch+0|det0|iso0|bak-periodic|idm0,400,8.853854164,2.87174978,5.516690743,397,279.5258756,3.200852074,14.50685625,-2.313753775,20.0214621,"stratified paired t, Satterthwaite df, Bonferroni"
resource_constrained,seg-flat|patch+0|det0|iso0|bak-connected|idm0,seg-basic|patch+0|det0|iso0|bak-periodic|idm1,400,12.68452083,3.032934679,5.600749538,397,255.2087111,6.711753801,18.65728786,0.8741252602,24.4949164,"stratified paired t, Satterthwaite df, Bonferroni"
resource_constrained,seg-flat|patch+0|det0|iso0|bak-connected|idm0,seg-basic|patch+0|det0|iso1|bak-connected|idm0,400,12.13922916,3.448747221,5.760963576,397,348.8521284,5.356276387,18.92218194,-1.234450103,25.51290843,"stratified paired t, Satterthwaite df, Bonferroni"
resource_constrained,seg-flat|patch+0|det0|iso0|bak-connected|idm0,seg-basic|patch+0|det0|iso1|bak-connected|idm1,400,16.93960416,3.655897695,5.88260716,397,333.4709339,9.7480757,24.13113263,2.755202808,31.12400552,"stratified paired t, Satterthwaite df, Bonferroni"
resource_constrained,seg-flat|patch+0|det0|iso0|bak-connected|idm0,seg-basic|patch+0|det0|iso1|bak-isolated|idm0,400,59.09735416,3.310949079,5.43584717,397,364.9094493,52.58641843,65.6082899,46.26444417,71.93026416,"stratified paired t, Satterthwaite df, Bonferroni"
resource_constrained,seg-flat|patch+0|det0|iso0|bak-connected|idm0,seg-basic|patch+0|det0|iso1|bak-isolated|idm1,400,63.15260416,3.467609269,5.528106918,397,356.742681,56.33307884,69.97212949,49.70915641,76.59605192,"stratified paired t, Satterthwaite df, Bonferroni"
