draw,cost_basic_segmentation,cost_least_privilege_segmentation,cost_patch_level_upgrade,cost_detection_improvement,cost_rapid_isolation,cost_periodic_backups,cost_protected_backups,cost_identity_controls,burden_basic_segmentation,burden_least_privilege_segmentation,burden_patch_level_upgrade,burden_detection_improvement,burden_rapid_isolation,burden_periodic_backups,burden_protected_backups,burden_identity_controls
0,3.059829172,3.103258376,2.605702151,3.710097989,5.684480523,0.8890593166,1.620462572,3.965007317,1.781975105,3.362241515,4.318368244,2.573932091,2.05034431,0.8104944671,1.934375824,2.856031603
1,3.753696097,4.81670104,2.177667551,2.851012911,6.51571943,0.7516065123,1.826154776,2.155895711,2.120662095,2.821699532,4.403855926,1.85842099,4.228277498,0.94972378,2.814240621,1.536136216
2,2.928002991,4.014345728,1.435794972,1.856790745,6.765048868,0.8643491713,1.520634666,5.727272437,2.843619433,5.650366499,3.792968211,1.602607152,4.308564779,1.16242445,2.723477561,3.289893819
3,4.413924347,6.524850416,1.983988265,1.918827933,5.000144756,0.9200033093,1.420091966,2.730316771,1.910202718,4.058743019,1.524020652,1.99228032,3.162230213,0.6162253677,2.110830582,3.449666171
4,3.727768678,4.966342705,1.781078033,3.702849421,2.591213125,0.5041992816,2.624988484,2.239778589,2.286949374,2.790240848,1.823586568,1.810103737,3.30153598,0.7777787565,2.867542927,3.020831313
5,4.368982484,6.346520913,1.167625567,3.910870836,5.977772766,0.889173443,1.284394155,5.774113372,1.839983572,5.800297742,2.693489798,2.06885683,2.619078839,0.5902072471,1.275224324,2.808870826
6,2.372105143,3.485130865,1.711617197,2.238366544,6.961360051,1.466574232,2.091821776,2.167262314,1.741428685,4.528160711,2.750623278,1.347968828,2.445471293,0.6477559751,1.738821962,4.490563929
7,2.138711898,4.305622273,2.818322247,4.219079342,7.013971968,0.507645419,1.980433145,3.582746018,2.560766143,3.696633579,3.394699964,1.700263766,2.203060437,0.8179298007,2.253272625,2.974496974
8,4.306806219,6.72833363,2.947216962,2.255322041,3.681220592,1.417591831,2.970918287,4.231192657,2.426680056,4.825569875,2.446337793,1.825057574,2.55715372,1.414159106,2.765496397,4.335675385
9,1.739828078,4.98715604,1.581563008,1.777161247,6.61600649,1.432373046,2.858967801,3.469850134,1.562859552,2.694876044,2.714474461,1.253931275,1.657496146,1.022264624,1.472971939,2.610447343
