profile,draw,frontier_size,added,removed,jaccard,affordable_candidates,best_affordable_mean_hours_lost
resource_constrained,0,75,15,4,0.7594936709,16,207.5997292
intermediate_capacity,0,26,5,1,0.7777777778,52,24.33625
high_capacity,0,10,1,0,0.9,15,13.08197917
resource_constrained,1,72,11,3,0.8133333333,17,156.9935625
intermediate_capacity,1,20,3,5,0.68,56,21.05622917
high_capacity,1,9,3,3,0.5,16,13.06720833
resource_constrained,2,66,3,1,0.9402985075,24,155.6040833
intermediate_capacity,2,23,1,0,0.9565217391,53,24.33625
high_capacity,2,9,0,0,1,15,13.08197917
resource_constrained,3,63,10,11,0.7162162162,19,156.9935625
intermediate_capacity,3,23,3,2,0.8,67,21.05622917
high_capacity,3,10,1,0,0.9,16,13.06720833
resource_constrained,4,83,21,2,0.7294117647,23,207.5997292
intermediate_capacity,4,17,2,7,0.625,74,21.58458333
high_capacity,4,11,2,0,0.8181818182,16,13.06720833
resource_constrained,5,107,43,0,0.5981308411,15,207.5997292
intermediate_capacity,5,37,15,0,0.5945945946,46,24.33625
high_capacity,5,9,0,0,1,14,13.11922917
resource_constrained,6,76,13,1,0.8181818182,25,156.9935625
intermediate_capacity,6,30,8,0,0.7333333333,59,19.73402083
high_capacity,6,12,3,0,0.75,16,13.06720833
resource_constrained,7,77,16,3,0.7625,16,207.5997292
intermediate_capacity,7,24,4,2,0.7692307692,35,25.49491667
high_capacity,7,12,3,0,0.75,15,13.08197917
resource_constrained,8,62,5,7,0.8260869565,10,207.5997292
intermediate_capacity,8,22,2,2,0.8333333333,48,25.49491667
high_capacity,8,7,0,2,0.7777777778,16,13.06720833
resource_constrained,9,82,20,2,0.7380952381,26,156.9935625
intermediate_capacity,9,31,9,0,0.7096774194,52,24.33625
high_capacity,9,10,1,0,0.9,16,13.06720833
resource_constrained,10,83,23,4,0.6896551724,16,156.9935625
intermediate_capacity,10,30,10,2,0.625,32,33.0049375
high_capacity,10,13,4,0,0.6923076923,15,13.08197917
resource_constrained,11,105,41,0,0.6095238095,13,207.5997292
intermediate_capacity,11,35,13,0,0.6285714286,42,24.33625
high_capacity,11,9,0,0,1,14,13.11922917
resource_constrained,12,81,20,3,0.7261904762,13,207.5997292
intermediate_capacity,12,28,6,0,0.7857142857,33,27.79154167
high_capacity,12,10,1,0,0.9,14,13.11922917
resource_constrained,13,65,8,7,0.7916666667,22,156.9935625
intermediate_capacity,13,25,4,1,0.8076923077,76,21.05622917
high_capacity,13,9,0,0,1,16,13.06720833
resource_constrained,14,74,13,3,0.7922077922,19,156.9935625
intermediate_capacity,14,27,5,0,0.8148148148,56,24.33625
high_capacity,14,8,0,1,0.8888888889,16,13.06720833
resource_constrained,15,83,19,0,0.7710843373,13,207.5997292
intermediate_capacity,15,30,8,0,0.7333333333,37,27.79154167
high_capacity,15,11,2,0,0.8181818182,16,13.06720833
resource_constrained,16,84,22,2,0.7209302326,24,205.5636667
intermediate_capacity,16,33,11,0,0.6666666667,66,22.29260417
high_capacity,16,11,3,1,0.6666666667,16,13.06720833
resource_constrained,17,72,10,2,0.8378378378,19,156.9935625
intermediate_capacity,17,27,5,0,0.8148148148,47,26.9125
high_capacity,17,8,0,1,0.8888888889,16,13.06720833
resource_constrained,18,79,17,2,0.7654320988,17,207.5997292
intermediate_capacity,18,30,8,0,0.7333333333,39,27.79154167
