profile,k,candidate_mean_probability,frontier_size,added_vs_k4,removed_vs_k4,jaccard_vs_k4
resource_constrained,1,0.8731597222,63,3,4,0.8955223881
resource_constrained,2,0.8454861111,66,4,2,0.9117647059
resource_constrained,3,0.8366145833,63,1,2,0.9538461538
resource_constrained,4,0.8344791667,64,0,0,1
intermediate_capacity,1,0.57390625,22,0,0,1
intermediate_capacity,2,0.4789583333,22,0,0,1
intermediate_capacity,3,0.4575520833,22,0,0,1
intermediate_capacity,4,0.4479166667,22,0,0,1
high_capacity,1,0.16,9,0,0,1
high_capacity,2,0.0359375,9,0,0,1
high_capacity,3,0.0215625,9,0,0,1
high_capacity,4,0.0165625,9,0,0,1
