profile,metric,n_boot,mean,median,p025,p975,minimum,maximum,positive_share
all_profiles,full_frontier,1000,94.825,95,83,106.025,74,117,1
all_profiles,restricted_frontier,1000,56.391,57,52.975,60,48,61,1
all_profiles,omitted_efficient,1000,38.965,39,29,49,22,57,1
all_profiles,restricted_artifacts,1000,0.531,0,0,2,0,4,0.427
high_capacity,full_frontier,1000,8.851,9,6,13,5,15,1
high_capacity,restricted_frontier,1000,4,4,4,4,4,4,1
high_capacity,omitted_efficient,1000,4.984,5,3,9,2,11,1
high_capacity,restricted_artifacts,1000,0.133,0,0,1,0,1,0.133
intermediate_capacity,full_frontier,1000,22.156,22,20,25,18,26,1
intermediate_capacity,restricted_frontier,1000,17.657,17,16,19,15,19,1
intermediate_capacity,omitted_efficient,1000,4.708,5,3,7,2,8,1
intermediate_capacity,restricted_artifacts,1000,0.209,0,0,1,0,2,0.206
resource_constrained,full_frontier,1000,63.818,64,52,75,46,85,1
resource_constrained,restricted_frontier,1000,34.734,35,31,37,28,39,1
resource_constrained,omitted_efficient,1000,29.273,29,19,39,13,48,1
resource_constrained,restricted_artifacts,1000,0.189,0,0,1,0,2,0.174
