stage,profile,qualifying_services,trials,share
discovery,resource_constrained,0,906,0.1048611111
discovery,resource_constrained,1,24,0.002777777778
discovery,resource_constrained,2,42,0.004861111111
discovery,resource_constrained,3,0,0
discovery,resource_constrained,4,7668,0.8875
discovery,intermediate_capacity,0,1262,0.4381944444
discovery,intermediate_capacity,1,224,0.07777777778
discovery,intermediate_capacity,2,24,0.008333333333
discovery,intermediate_capacity,3,12,0.004166666667
discovery,intermediate_capacity,4,1358,0.4715277778
discovery,high_capacity,0,430,0.8958333333
discovery,high_capacity,1,46,0.09583333333
discovery,high_capacity,2,0,0
discovery,high_capacity,3,0,0
discovery,high_capacity,4,4,0.008333333333
confirmation,resource_constrained,0,14612,0.1268402778
confirmation,resource_constrained,1,3188,0.02767361111
confirmation,resource_constrained,2,1022,0.008871527778
confirmation,resource_constrained,3,246,0.002135416667
confirmation,resource_constrained,4,96132,0.8344791667
confirmation,intermediate_capacity,0,16362,0.42609375
confirmation,intermediate_capacity,1,3646,0.09494791667
confirmation,intermediate_capacity,2,822,0.02140625
confirmation,intermediate_capacity,3,370,0.009635416667
confirmation,intermediate_capacity,4,17200,0.4479166667
confirmation,high_capacity,0,5376,0.84
confirmation,high_capacity,1,794,0.1240625
confirmation,high_capacity,2,92,0.014375
confirmation,high_capacity,3,32,0.005
confirmation,high_capacity,4,106,0.0165625
