contrast,entry_point,n_scenarios,ref_mean_hours,diff_hours,diff_hours_lo,diff_hours_hi,share_worse
method,internet_facing,300,180.73091666666664,-87.51705555555556,-95.26540625,-79.36932777777778,0.02666666666666667
method,medical_device,300,166.35644444444443,-83.26797222222223,-91.62879097222222,-74.86669861111113,0.023333333333333334
method,privileged_system,300,179.72180555555553,-89.26733333333333,-97.32532083333332,-81.58822083333335,0.016666666666666666
method,vendor_connection,300,180.3863611111111,-91.31972222222221,-98.72376041666666,-84.03888819444444,0.03666666666666667
method,workstation,300,152.3643888888889,-90.20944444444444,-100.58503541666666,-80.55573194444445,0.013333333333333334
method_vs_prior_art,internet_facing,300,170.9307222222222,-77.7168611111111,-85.47465763888889,-70.32024166666667,0.03
method_vs_prior_art,medical_device,300,161.99333333333334,-78.9048611111111,-88.26650972222222,-70.12540277777778,0.03
method_vs_prior_art,privileged_system,300,169.32155555555553,-78.86708333333333,-86.71249166666666,-71.11382569444446,0.016666666666666666
method_vs_prior_art,vendor_connection,300,168.13199999999998,-79.06536111111112,-85.85311805555556,-71.74320555555556,0.04
method_vs_prior_art,workstation,300,143.6836111111111,-81.52866666666667,-91.61383194444444,-72.52090069444445,0.016666666666666666
disconnection_alone,internet_facing,300,180.73091666666664,-57.387444444444434,-64.25323958333333,-50.05109583333335,0.43666666666666665
disconnection_alone,medical_device,300,166.35644444444443,-39.984,-46.756224305555556,-33.351115972222225,0.5066666666666667
disconnection_alone,privileged_system,300,179.72180555555553,-58.307805555555554,-64.92769166666666,-51.685988888888886,0.39666666666666667
disconnection_alone,vendor_connection,300,180.3863611111111,-51.97294444444444,-58.38708749999999,-45.60998124999999,0.4266666666666667
disconnection_alone,workstation,300,152.3643888888889,-54.89830555555555,-63.180136805555556,-46.472765972222234,0.5266666666666666
