contrast,reference,treatment,profile,n_scenarios,question,ref_mean_weighted_service_hours_lost,trt_mean_weighted_service_hours_lost,diff_weighted_service_hours_lost,diff_weighted_service_hours_lost_lo,diff_weighted_service_hours_lost_hi,ref_mean_sustained_clinical_outage_k4,trt_mean_sustained_clinical_outage_k4,diff_sustained_clinical_outage_k4,diff_sustained_clinical_outage_k4_lo,diff_sustained_clinical_outage_k4_hi,ref_mean_sustained_clinical_outage_k1,trt_mean_sustained_clinical_outage_k1,diff_sustained_clinical_outage_k1,diff_sustained_clinical_outage_k1_lo,diff_sustained_clinical_outage_k1_hi,ref_mean_ever_compromised_fraction,trt_mean_ever_compromised_fraction,diff_ever_compromised_fraction,diff_ever_compromised_fraction_lo,diff_ever_compromised_fraction_hi,share_worse,share_better
method,none,dcci3,pooled,1500,Does dependency-closed islanding reduce harm at all?,171.91198333333332,83.59567777777778,-88.31630555555556,-92.10621861111112,-84.60187083333332,0.6026666666666667,0.3273333333333333,-0.2753333333333333,-0.294,-0.258,0.6726666666666666,0.49066666666666664,-0.182,-0.19933333333333333,-0.16466666666666666,0.5110618106968812,0.1853557895417488,-0.3257060211551323,-0.3363982907202894,-0.3148761253936683,0.023333333333333334,0.65
method,none,dcci3,high_capacity,500,Does dependency-closed islanding reduce harm at all?,15.772633333333333,14.580933333333332,-1.1917,-1.5799479166666666,-0.8427195833333336,0.056,0.002,-0.054,-0.074,-0.036,0.232,0.188,-0.044,-0.064,-0.026,0.014252164809952677,0.008292796835083386,-0.005959367974869293,-0.007402882558021303,-0.004603207680769741,0.046,0.186
method,none,dcci3,intermediate_capacity,500,Does dependency-closed islanding reduce harm at all?,177.26833333333332,21.269883333333333,-155.99845,-164.39157791666668,-147.65161083333336,0.786,0.14,-0.646,-0.688,-0.604,0.816,0.378,-0.438,-0.482,-0.398,0.5747202750314259,0.04210027012138409,-0.5326200049100419,-0.5580206489876227,-0.5050565655115756,0.01,0.81
method,none,dcci3,resource_constrained,500,Does dependency-closed islanding reduce harm at all?,322.69498333333325,214.93621666666667,-107.75876666666666,-115.81493458333334,-100.12998708333332,0.966,0.84,-0.126,-0.156,-0.098,0.97,0.906,-0.064,-0.086,-0.044,0.9442129922492647,0.5056743016687789,-0.43853869058048595,-0.4566707479279688,-0.4210243060886283,0.014,0.954
prior_art,none,zone,pooled,1500,How much does detection-triggered segmentation (prior art) help?,171.91198333333332,162.81224444444447,-9.099738888888886,-11.494387638888886,-6.889164305555555,0.6026666666666667,0.5873333333333334,-0.015333333333333332,-0.021333333333333333,-0.009333333333333334,0.6726666666666666,0.664,-0.008666666666666666,-0.013333333333333334,-0.004666666666666667,0.5110618106968812,0.4391739159839231,-0.07188789471295805,-0.07714601332698909,-0.06686260121184698,0.15333333333333332,0.39666666666666667
prior_art,none,zone,high_capacity,500,How much does detection-triggered segmentation (prior art) help?,15.772633333333333,15.772633333333333,0.0,0.0,0.0,0.056,0.056,0.0,0.0,0.0,0.232,0.232,0.0,0.0,0.0,0.014252164809952677,0.014252164809952677,0.0,0.0,0.0,0.0,0.0
prior_art,none,zone,intermediate_capacity,500,How much does detection-triggered segmentation (prior art) help?,177.26833333333332,149.14578333333333,-28.122549999999997,-33.88835791666666,-22.699452083333334,0.786,0.748,-0.038,-0.056,-0.022,0.816,0.798,-0.018,-0.03,-0.008,0.5747202750314259,0.42934690931682096,-0.14537336571460494,-0.1594767674473504,-0.13213912931854413,0.21,0.576
prior_art,none,zone,resource_constrained,500,How much does detection-triggered segmentation (prior art) help?,322.69498333333325,323.51831666666664,0.8233333333333358,-3.3572045833333326,4.63552958333333,0.966,0.958,-0.008,-0.016,-0.002,0.97,0.962,-0.008,-0.016,-0.002,0.9442129922492647,0.8739226738249957,-0.0702903184242692,-0.0794833880905805,-0.06209541925896019,0.25,0.614
method_vs_prior_art,zone,dcci3,pooled,1500,Does the method beat the closest prior art?,162.81224444444447,83.59567777777778,-79.21656666666667,-82.9620011111111,-75.40320625,0.5873333333333334,0.3273333333333333,-0.26,-0.278,-0.242,0.664,0.49066666666666664,-0.17333333333333334,-0.19066666666666668,-0.156,0.4391739159839231,0.1853557895417488,-0.25381812644217433,-0.2637464813352244,-0.24370333914598882,0.02666666666666667,0.6413333333333333
method_vs_prior_art,zone,dcci3,high_capacity,500,Does the method beat the closest prior art?,15.772633333333333,14.580933333333332,-1.1917,-1.5568425000000001,-0.8628570833333333,0.056,0.002,-0.054,-0.074,-0.036,0.232,0.188,-0.044,-0.064,-0.026,0.014252164809952677,0.008292796835083386,-0.005959367974869293,-0.0074188577223706035,-0.004662177374790171,0.046,0.186
