profile,price_region,radius,draw,guaranteed,original_retained
resource_constrained,monotone,0,0,47,38
resource_constrained,monotone,0.1,0,46,37
resource_constrained,monotone,0.25,0,31,27
resource_constrained,monotone,0.5,0,14,14
resource_constrained,monotone,0.75,0,10,10
resource_constrained,positive_gaps,0,0,47,38
resource_constrained,positive_gaps,0.1,0,46,37
resource_constrained,positive_gaps,0.25,0,32,28
resource_constrained,positive_gaps,0.5,0,16,16
resource_constrained,positive_gaps,0.75,0,10,10
resource_constrained,monotone,0,1,44,35
resource_constrained,monotone,0.1,1,42,35
resource_constrained,monotone,0.25,1,27,25
resource_constrained,monotone,0.5,1,14,14
resource_constrained,monotone,0.75,1,12,12
resource_constrained,positive_gaps,0,1,44,35
resource_constrained,positive_gaps,0.1,1,43,35
resource_constrained,positive_gaps,0.25,1,28,26
resource_constrained,positive_gaps,0.5,1,15,14
resource_constrained,positive_gaps,0.75,1,13,12
resource_constrained,monotone,0,2,35,31
resource_constrained,monotone,0.1,2,33,30
resource_constrained,monotone,0.25,2,30,29
resource_constrained,monotone,0.5,2,15,14
resource_constrained,monotone,0.75,2,13,12
resource_constrained,positive_gaps,0,2,35,31
resource_constrained,positive_gaps,0.1,2,34,30
resource_constrained,positive_gaps,0.25,2,30,29
resource_constrained,positive_gaps,0.5,2,16,15
resource_constrained,positive_gaps,0.75,2,13,12
resource_constrained,monotone,0,3,45,38
resource_constrained,monotone,0.1,3,45,38
resource_constrained,monotone,0.25,3,31,28
resource_constrained,monotone,0.5,3,13,13
resource_constrained,monotone,0.75,3,12,12
resource_constrained,positive_gaps,0,3,45,38
resource_constrained,positive_gaps,0.1,3,45,38
resource_constrained,positive_gaps,0.25,3,33,30
resource_constrained,positive_gaps,0.5,3,16,15
resource_constrained,positive_gaps,0.75,3,13,12
resource_constrained,monotone,0,4,42,32
resource_constrained,monotone,0.1,4,41,31
resource_constrained,monotone,0.25,4,30,25
resource_constrained,monotone,0.5,4,13,12
resource_constrained,monotone,0.75,4,12,11
resource_constrained,positive_gaps,0,4,42,32
resource_constrained,positive_gaps,0.1,4,41,31
resource_constrained,positive_gaps,0.25,4,32,27
resource_constrained,positive_gaps,0.5,4,16,13
resource_constrained,positive_gaps,0.75,4,14,11
resource_constrained,monotone,0,5,47,41
resource_constrained,monotone,0.1,5,46,40
resource_constrained,monotone,0.25,5,35,33
resource_constrained,monotone,0.5,5,18,18
resource_constrained,monotone,0.75,5,11,11
resource_constrained,positive_gaps,0,5,47,41
resource_constrained,positive_gaps,0.1,5,46,40
resource_constrained,positive_gaps,0.25,5,37,35
resource_constrained,positive_gaps,0.5,5,18,18
resource_constrained,positive_gaps,0.75,5,11,11
resource_constrained,monotone,0,6,42,36
resource_constrained,monotone,0.1,6,40,34
resource_constrained,monotone,0.25,6,28,26
resource_constrained,monotone,0.5,6,13,13
resource_constrained,monotone,0.75,6,10,10
resource_constrained,positive_gaps,0,6,42,36
resource_constrained,positive_gaps,0.1,6,40,34
