profile,radius,draws,original_candidates_at_least_95pct,original_candidates_every_draw,guaranteed_q025,guaranteed_median,guaranteed_q975,original_retained_q025,original_retained_median,original_retained_q975
resource_constrained,0,1000,20,15,32,40,49,29.975,36,41
resource_constrained,0.1,1000,20,15,31,39,48,29,35,40
resource_constrained,0.25,1000,15,10,24,30,37,23,28,33
resource_constrained,0.5,1000,5,4,11,15,20,11,14,19
resource_constrained,0.75,1000,5,3,9,12,17,9,12,16
intermediate_capacity,0,1000,17,13,18,21,23,18,20,21
intermediate_capacity,0.1,1000,16,12,16,19,22,16,19,20
intermediate_capacity,0.25,1000,9,6,13,15,17,13,15,17
intermediate_capacity,0.5,1000,1,1,1,1,2,1,1,2
intermediate_capacity,0.75,1000,1,1,1,1,2,1,1,2
high_capacity,0,1000,6,4,6,9,12,6,9,9
high_capacity,0.1,1000,6,4,6,9,12,6,9,9
high_capacity,0.25,1000,4,2,4,7,9,4,7,8
high_capacity,0.5,1000,2,1,4,5,7,4,5,6
high_capacity,0.75,1000,2,1,4,5,7,4,5,6
