profile,budget,cost_scale,criterion,portfolio,description,cost,mean_hours_lost,hours_lost_ci_lo,hours_lost_ci_hi,n_tied_within_ci,n_feasible_candidates,catastrophic_prob,hours_preserved_per_point,has_basic_segmentation,has_least_privilege,has_patch_upgrade,has_detection_improvement,has_rapid_isolation,has_protected_backups,has_identity_controls
resource_constrained,5,0.5,min_expected_disruption,seg-least_privilege|patch+0|det1|iso0|bak-isolated|idm0,segmentation=least_privilege; faster detection; backups=isolated,5,105.0558333,82.62596528,128.6571528,10,63,0.7333333333,39.86272222,0,1,0,1,0,1,0
resource_constrained,5,0.5,min_catastrophic_prob,seg-least_privilege|patch+1|det1|iso0|bak-connected|idm0,segmentation=least_privilege; patch+1 levels; faster detection; backups=connected,5,107.4544444,71.98915972,141.8321806,12,63,0.7,39.383,0,1,1,1,0,0,0
resource_constrained,5,0.5,max_hours_preserved_per_point,seg-flat|patch+0|det1|iso0|bak-connected|idm0,segmentation=flat; faster detection; backups=connected,1.5,185.5977778,161.1853542,205.9927986,19,63,0.9,79.18111111,0,0,0,1,0,0,0
resource_constrained,5,0.5,best_balanced,seg-least_privilege|patch+1|det1|iso0|bak-connected|idm0,segmentation=least_privilege; patch+1 levels; faster detection; backups=connected,5,107.4544444,71.98915972,141.8321806,12,63,0.7,39.383,0,1,1,1,0,0,0
resource_constrained,10,0.5,min_expected_disruption,seg-least_privilege|patch+3|det1|iso0|bak-isolated|idm1,segmentation=least_privilege; patch+3 levels; faster detection; backups=isolated; identity controls,10,38.33361111,18.28040972,61.99002778,16,182,0.3333333333,26.60358333,0,1,1,1,0,1,1
resource_constrained,10,0.5,min_catastrophic_prob,seg-least_privilege|patch+3|det1|iso1|bak-connected|idm0,segmentation=least_privilege; patch+3 levels; faster detection; rapid isolation; backups=connected,9.5,41.82861111,18.58921528,70.20434028,19,182,0.3,27.63587719,0,1,1,1,1,0,0
resource_constrained,10,0.5,max_hours_preserved_per_point,seg-flat|patch+0|det1|iso0|bak-connected|idm0,segmentation=flat; faster detection; backups=connected,1.5,185.5977778,161.1853542,205.9927986,73,182,0.9,79.18111111,0,0,0,1,0,0,0
resource_constrained,10,0.5,best_balanced,seg-least_privilege|patch+3|det1|iso1|bak-connected|idm0,segmentation=least_privilege; patch+3 levels; faster detection; rapid isolation; backups=connected,9.5,41.82861111,18.58921528,70.20434028,19,182,0.3,27.63587719,0,1,1,1,1,0,0
resource_constrained,15,0.5,min_expected_disruption,seg-least_privilege|patch+3|det1|iso1|bak-isolated|idm1,segmentation=least_privilege; patch+3 levels; faster detection; rapid isolation; backups=isolated; identity controls,12.5,28.51666667,11.18545833,49.151375,16,192,0.3,22.06822222,0,1,1,1,1,1,1
resource_constrained,15,0.5,min_catastrophic_prob,seg-least_privilege|patch+3|det1|iso1|bak-isolated|idm1,segmentation=least_privilege; patch+3 levels; faster detection; rapid isolation; backups=isolated; identity controls,12.5,28.51666667,11.18545833,49.151375,16,192,0.3,22.06822222,0,1,1,1,1,1,1
resource_constrained,15,0.5,max_hours_preserved_per_point,seg-flat|patch+0|det1|iso0|bak-connected|idm0,segmentation=flat; faster detection; backups=connected,1.5,185.5977778,161.1853542,205.9927986,74,192,0.9,79.18111111,0,0,0,1,0,0,0
resource_constrained,15,0.5,best_balanced,seg-least_privilege|patch+3|det1|iso1|bak-isolated|idm1,segmentation=least_privilege; patch+3 levels; faster detection; rapid isolation; backups=isolated; identity controls,12.5,28.51666667,11.18545833,49.151375,16,192,0.3,22.06822222,0,1,1,1,1,1,1
