profile,portfolio,n_scenarios,mean_hours_lost,tail_hours_lost_cvar90,catastrophic_probability,nonrecovery_probability,implementation_cost_points,operational_burden_points,mean_defensive_isolation_hours_per_node
high_capacity,seg-basic|patch+0|det0|iso0|bak-connected|idm0,30,2.99,17.42222222,0.06666666667,0,3,2,0.3538921834
high_capacity,seg-basic|patch+0|det0|iso0|bak-connected|idm1,30,2.99,17.42222222,0.06666666667,0,7,5,0.3538921834
high_capacity,seg-basic|patch+0|det0|iso0|bak-isolated|idm0,30,2.99,17.42222222,0.06666666667,0,5,4,0.3538921834
high_capacity,seg-basic|patch+0|det0|iso0|bak-isolated|idm1,30,2.99,17.42222222,0.06666666667,0,9,7,0.3538921834
high_capacity,seg-basic|patch+0|det0|iso1|bak-connected|idm0,30,2.99,17.42222222,0.06666666667,0,8,5,0.3400537996
high_capacity,seg-basic|patch+0|det0|iso1|bak-connected|idm1,30,2.99,17.42222222,0.06666666667,0,12,8,0.3400537996
high_capacity,seg-basic|patch+0|det0|iso1|bak-isolated|idm0,30,2.99,17.42222222,0.06666666667,0,10,7,0.3400537996
high_capacity,seg-basic|patch+0|det0|iso1|bak-isolated|idm1,30,2.99,17.42222222,0.06666666667,0,14,10,0.3400537996
high_capacity,seg-basic|patch+0|det1|iso0|bak-connected|idm0,30,2.796666667,17.42222222,0.06666666667,0,6,4,0.2935852589
high_capacity,seg-basic|patch+0|det1|iso0|bak-connected|idm1,30,2.796666667,17.42222222,0.06666666667,0,10,7,0.2935852589
high_capacity,seg-basic|patch+0|det1|iso0|bak-isolated|idm0,30,2.796666667,17.42222222,0.06666666667,0,8,6,0.2935852589
high_capacity,seg-basic|patch+0|det1|iso0|bak-isolated|idm1,30,2.796666667,17.42222222,0.06666666667,0,12,9,0.2935852589
high_capacity,seg-basic|patch+0|det1|iso1|bak-connected|idm0,30,2.796666667,17.42222222,0.06666666667,0,11,7,0.2855044508
high_capacity,seg-basic|patch+0|det1|iso1|bak-connected|idm1,30,2.796666667,17.42222222,0.06666666667,0,15,10,0.2855044508
high_capacity,seg-basic|patch+0|det1|iso1|bak-isolated|idm0,30,2.796666667,17.42222222,0.06666666667,0,13,9,0.2855044508
high_capacity,seg-basic|patch+0|det1|iso1|bak-isolated|idm1,30,2.796666667,17.42222222,0.06666666667,0,17,12,0.2855044508
high_capacity,seg-basic|patch+1|det0|iso0|bak-connected|idm0,30,2.99,17.42222222,0.06666666667,0,5,5,0.3538921834
