trial_id,scenario_id,paired,experiment,master_seed,facility,profile,portfolio,entry_point,entry_node,n_nodes,n_edges,segmentation,patch_coverage,realized_patch_fraction,detection_delay,isolation_success,backup_strategy,identity_controls,rapid_isolation,horizon_steps,step_minutes,total_compromised,ever_compromised_fraction,pct_compromised,peak_compromised,zones_reached,lateral_movements,containment_step,backup_compromised,identity_compromised,ehr_downtime_steps,laboratory_downtime_steps,pharmacy_downtime_steps,imaging_downtime_steps,scheduling_downtime_steps,identity_downtime_steps,backup_recovery_downtime_steps,services_disrupted_count,total_service_downtime_steps,weighted_service_hours_lost,time_averaged_weighted_clinical_unavailability,pct_clinical_capacity_lost,catastrophic,defensive_isolation_node_steps,recovery_step,recovered_within_horizon,ehr_available_final,laboratory_available_final,pharmacy_available_final,imaging_available_final,scheduling_available_final,identity_available_final,backup_recovery_available_final,final_service_availability_fraction,disrupted_service_recovery_fraction,pct_services_restored,unrecoverable_nodes,backups_available,steps_simulated
10000000,10000000,1,optimization,5726001,regional_hospital,resource_constrained,seg-flat|patch+0|det0|iso0|bak-connected|idm0,workstation,19,201,1470,flat,0.25,0.204,72,0.5,connected,0,0,864,5,2,0.009950248756,0.009950248756,2,2,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,1,1,1,1,1,1,1,1,1,1,1,0,1,59
10000001,10000000,1,optimization,5726001,regional_hospital,resource_constrained,seg-flat|patch+0|det0|iso0|bak-connected|idm1,workstation,19,201,1470,flat,0.25,0.204,72,0.5,connected,1,0,864,5,2,0.009950248756,0.009950248756,2,2,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,1,1,1,1,1,1,1,1,1,1,1,0,1,59
10000002,10000000,1,optimization,5726001,regional_hospital,resource_constrained,seg-flat|patch+0|det0|iso0|bak-isolated|idm0,workstation,19,201,1402,flat,0.25,0.204,72,0.5,isolated,0,0,864,5,2,0.009950248756,0.009950248756,2,2,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,1,1,1,1,1,1,1,1,1,1,1,0,1,59
10000003,10000000,1,optimization,5726001,regional_hospital,resource_constrained,seg-flat|patch+0|det0|iso0|bak-isolated|idm1,workstation,19,201,1402,flat,0.25,0.204,72,0.5,isolated,1,0,864,5,2,0.009950248756,0.009950248756,2,2,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,1,1,1,1,1,1,1,1,1,1,1,0,1,59
10000004,10000000,1,optimization,5726001,regional_hospital,resource_constrained,seg-flat|patch+0|det0|iso1|bak-connected|idm0,workstation,19,201,1470,flat,0.25,0.204,72,0.6316,connected,0,1,864,5,2,0.009950248756,0.009950248756,2,2,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,1,1,1,1,1,1,1,1,1,1,1,0,1,59
10000005,10000000,1,optimization,5726001,regional_hospital,resource_constrained,seg-flat|patch+0|det0|iso1|bak-connected|idm1,workstation,19,201,1470,flat,0.25,0.204,72,0.6316,connected,1,1,864,5,2,0.009950248756,0.009950248756,2,2,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,1,1,1,1,1,1,1,1,1,1,1,0,1,59
10000006,10000000,1,optimization,5726001,regional_hospital,resource_constrained,seg-flat|patch+0|det0|iso1|bak-isolated|idm0,workstation,19,201,1402,flat,0.25,0.204,72,0.6316,isolated,0,1,864,5,2,0.009950248756,0.009950248756,2,2,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,1,1,1,1,1,1,1,1,1,1,1,0,1,59
10000007,10000000,1,optimization,5726001,regional_hospital,resource_constrained,seg-flat|patch+0|det0|iso1|bak-isolated|idm1,workstation,19,201,1402,flat,0.25,0.204,72,0.6316,isolated,1,1,864,5,2,0.009950248756,0.009950248756,2,2,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,1,1,1,1,1,1,1,1,1,1,1,0,1,59
10000008,10000000,1,optimization,5726001,regional_hospital,resource_constrained,seg-flat|patch+0|det1|iso0|bak-connected|idm0,workstation,19,201,1470,flat,0.25,0.204,36,0.5,connected,0,0,864,5,2,0.009950248756,0.009950248756,2,2,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,1,1,1,1,1,1,1,1,1,1,1,0,1,59
10000009,10000000,1,optimization,5726001,regional_hospital,resource_constrained,seg-flat|patch+0|det1|iso0|bak-connected|idm1,workstation,19,201,1470,flat,0.25,0.204,36,0.5,connected,1,0,864,5,2,0.009950248756,0.009950248756,2,2,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,1,1,1,1,1,1,1,1,1,1,1,0,1,59
