profile,objective,parameter,first_order_effect,rank_stability_spearman,scenarios
high_capacity,mean_hours_lost,network_backup_isolation_lapse,0.024970211900002724,0.8204011297932118,400
high_capacity,mean_hours_lost,simulation_base_spread_rate,0.011332533383678295,0.9615426698328752,400
high_capacity,mean_hours_lost,simulation_false_positive_rate,0.5506959184742778,0.9195634561524656,400
high_capacity,mean_hours_lost,simulation_identity_breach_multiplier,0.034728208426931945,0.9504827503730364,400
high_capacity,mean_hours_lost,simulation_identity_control_coverage,0.030663732943027756,0.9031803428894637,400
high_capacity,mean_hours_lost,simulation_identity_control_effectiveness,0.025846833975433713,0.9072174787252876,400
high_capacity,mean_hours_lost,simulation_patch_effectiveness,0.03891930263174308,0.938751778672501,400
high_capacity,mean_hours_lost,simulation_patch_effectiveness_vendor,0.011888779406081386,0.9631821933219774,400
high_capacity,mean_hours_lost,simulation_rapid_isolation_success,0.009873967010834787,0.748159868818906,400
high_capacity,mean_hours_lost,simulation_restore_rate_fraction,0.049154601416081335,0.8693786126385268,400
high_capacity,nonrecovery_probability,network_backup_isolation_lapse,0.011053677932405567,,400
high_capacity,nonrecovery_probability,simulation_base_spread_rate,0.026958250497017902,,400
high_capacity,nonrecovery_probability,simulation_false_positive_rate,0.11793240556660041,,400
high_capacity,nonrecovery_probability,simulation_identity_breach_multiplier,0.010417495029821073,1.0,400
high_capacity,nonrecovery_probability,simulation_identity_control_coverage,0.013598409542743538,,400
high_capacity,nonrecovery_probability,simulation_identity_control_effectiveness,0.009145129224652089,,400
high_capacity,nonrecovery_probability,simulation_patch_effectiveness,0.010417495029821072,1.0,400
high_capacity,nonrecovery_probability,simulation_patch_effectiveness_vendor,0.012962226640159046,,400
high_capacity,nonrecovery_probability,simulation_rapid_isolation_success,0.009145129224652089,,400
high_capacity,nonrecovery_probability,simulation_restore_rate_fraction,0.018051689860834993,,400
high_capacity,sustained_outage_probability,network_backup_isolation_lapse,0.015506335018939747,0.789133905850242,400
high_capacity,sustained_outage_probability,simulation_base_spread_rate,0.015207777425313956,0.9217710503460785,400
high_capacity,sustained_outage_probability,simulation_false_positive_rate,0.009535183146423843,0.8536873759136485,400
high_capacity,sustained_outage_probability,simulation_identity_breach_multiplier,0.016700565393442935,0.9047522748893613,400
high_capacity,sustained_outage_probability,simulation_identity_control_coverage,0.015804892612565544,0.9367088607594939,400
high_capacity,sustained_outage_probability,simulation_identity_control_effectiveness,0.014909219831688157,0.813733471206735,400
high_capacity,sustained_outage_probability,simulation_patch_effectiveness,0.02894142673210054,0.8272020798988445,400
high_capacity,sustained_outage_probability,simulation_patch_effectiveness_vendor,0.01013229833367543,0.719707893561544,400
high_capacity,sustained_outage_probability,simulation_rapid_isolation_success,0.012520759082681798,0.640056896475198,400
high_capacity,sustained_outage_probability,simulation_restore_rate_fraction,0.011027971114552818,0.6057352616559943,400
intermediate_capacity,mean_hours_lost,network_backup_isolation_lapse,0.02542809146703943,0.9965002712967987,400
intermediate_capacity,mean_hours_lost,simulation_base_spread_rate,0.170743548261222,0.9852039000992409,400
intermediate_capacity,mean_hours_lost,simulation_false_positive_rate,0.011007434786283066,0.9974498100922409,400
intermediate_capacity,mean_hours_lost,simulation_identity_breach_multiplier,0.010528314686129848,0.9948046663049377,400
intermediate_capacity,mean_hours_lost,simulation_identity_control_coverage,0.01117832189633291,0.9947911014650026,400
intermediate_capacity,mean_hours_lost,simulation_identity_control_effectiveness,0.03044641599709968,0.9939093868692349,400
intermediate_capacity,mean_hours_lost,simulation_patch_effectiveness,0.12174037103826235,0.969706013065781,400
intermediate_capacity,mean_hours_lost,simulation_patch_effectiveness_vendor,0.025493904657221917,0.9932311448724905,400
intermediate_capacity,mean_hours_lost,simulation_rapid_isolation_success,0.018227796292142155,0.9969343461747151,400
intermediate_capacity,mean_hours_lost,simulation_restore_rate_fraction,0.01734018343778162,0.9959576776994031,400
intermediate_capacity,nonrecovery_probability,network_backup_isolation_lapse,0.010182556488552284,0.8683053472396188,400
intermediate_capacity,nonrecovery_probability,simulation_base_spread_rate,0.013817220243431913,0.8470132232948058,400
intermediate_capacity,nonrecovery_probability,simulation_false_positive_rate,0.11040589427561738,0.8580911020567595,400
intermediate_capacity,nonrecovery_probability,simulation_identity_breach_multiplier,0.020873745425622103,0.902833895566139,400
intermediate_capacity,nonrecovery_probability,simulation_identity_control_coverage,0.013123973054341346,0.9188175809818726,400
intermediate_capacity,nonrecovery_probability,simulation_identity_control_effectiveness,0.04867479966928425,0.9177329247850243,400
intermediate_capacity,nonrecovery_probability,simulation_patch_effectiveness,0.02569047378170667,0.6310955830889305,400
intermediate_capacity,nonrecovery_probability,simulation_patch_effectiveness_vendor,0.05447083735971616,0.8825385719771282,400
intermediate_capacity,nonrecovery_probability,simulation_rapid_isolation_success,0.012036099647306306,0.8631560445422308,400
intermediate_capacity,nonrecovery_probability,simulation_restore_rate_fraction,0.02384321003589731,0.9329377060379007,400
intermediate_capacity,sustained_outage_probability,network_backup_isolation_lapse,0.009120991169510756,0.9923423682695262,400
intermediate_capacity,sustained_outage_probability,simulation_base_spread_rate,0.1466434521633737,0.9735777328776368,400
intermediate_capacity,sustained_outage_probability,simulation_false_positive_rate,0.030846303314800212,0.9961450813427527,400
intermediate_capacity,sustained_outage_probability,simulation_identity_breach_multiplier,0.007491102175878717,0.9935641727366487,400
intermediate_capacity,sustained_outage_probability,simulation_identity_control_coverage,0.013936012620481357,0.9905227722844081,400
intermediate_capacity,sustained_outage_probability,simulation_identity_control_effectiveness,0.02917678293156853,0.984657995855451,400
intermediate_capacity,sustained_outage_probability,simulation_patch_effectiveness,0.06862925412185693,0.9542899219153438,400
intermediate_capacity,sustained_outage_probability,simulation_patch_effectiveness_vendor,0.02759152734758267,0.9787118496795917,400
intermediate_capacity,sustained_outage_probability,simulation_rapid_isolation_success,0.022178572115662088,0.9964975189854132,400
intermediate_capacity,sustained_outage_probability,simulation_restore_rate_fraction,0.012416937609419202,0.994515353951982,400
resource_constrained,mean_hours_lost,network_backup_isolation_lapse,0.015559526212527375,0.9957450699074466,400
resource_constrained,mean_hours_lost,simulation_base_spread_rate,0.06466122789494634,0.9283775203051092,400
resource_constrained,mean_hours_lost,simulation_false_positive_rate,0.004727045556673725,0.9931574494934273,400
resource_constrained,mean_hours_lost,simulation_identity_breach_multiplier,0.017352530788973863,0.9934754389560704,400
resource_constrained,mean_hours_lost,simulation_identity_control_coverage,0.013740714881919339,0.9905562655478262,400
resource_constrained,mean_hours_lost,simulation_identity_control_effectiveness,0.01481818524360371,0.9874029956315382,400
resource_constrained,mean_hours_lost,simulation_patch_effectiveness,0.04399412664906358,0.9392469326324504,400
resource_constrained,mean_hours_lost,simulation_patch_effectiveness_vendor,0.033188267944010266,0.9938004613610151,400
resource_constrained,mean_hours_lost,simulation_rapid_isolation_success,0.007986280397519339,0.9909792467919738,400
resource_constrained,mean_hours_lost,simulation_restore_rate_fraction,0.040641704771559886,0.9897203501199621,400
resource_constrained,nonrecovery_probability,network_backup_isolation_lapse,0.021661945792951966,0.960333104768893,400
