profile,portfolio,n_scenarios,mean_hours_lost_se,tail_hours_lost_cvar90_se,sustained_outage_probability_se,nonrecovery_probability_se,monte_carlo_bootstrap_samples
high_capacity,seg-least_privilege|patch+0|det0|iso0|bak-isolated|idm0,800,0.2077076733,0.7970373226,0.003292688396,0.001249218506,400
high_capacity,seg-least_privilege|patch+0|det0|iso0|bak-isolated|idm1,800,0.2077076733,0.8466481592,0.003292688396,0.001249218506,400
high_capacity,seg-least_privilege|patch+0|det0|iso1|bak-isolated|idm0,800,0.2067492264,0.8580966313,0.002786336641,0.001249218506,400
high_capacity,seg-least_privilege|patch+0|det0|iso1|bak-isolated|idm1,800,0.2067492264,0.836518572,0.002786336641,0.001249218506,400
high_capacity,seg-least_privilege|patch+0|det1|iso0|bak-isolated|idm0,800,0.1940196763,0.7885149939,0.001249218506,0.001249218506,400
high_capacity,seg-least_privilege|patch+0|det1|iso0|bak-isolated|idm1,800,0.1940196763,0.7991407153,0.001249218506,0.001249218506,400
high_capacity,seg-least_privilege|patch+0|det1|iso1|bak-isolated|idm0,800,0.1921855883,0.7648952424,0,0.001249218506,400
high_capacity,seg-least_privilege|patch+0|det1|iso1|bak-isolated|idm1,800,0.1921855883,0.8336549931,0,0.001249218506,400
high_capacity,seg-least_privilege|patch+1|det0|iso0|bak-isolated|idm0,800,0.2035140262,0.8349509151,0.002786336641,0.001249218506,400
high_capacity,seg-least_privilege|patch+1|det0|iso0|bak-isolated|idm1,800,0.2035140262,0.8570997434,0.002786336641,0.001249218506,400
high_capacity,seg-least_privilege|patch+1|det0|iso1|bak-isolated|idm0,800,0.2020544297,0.8310276269,0.002493742168,0.001249218506,400
high_capacity,seg-least_privilege|patch+1|det0|iso1|bak-isolated|idm1,800,0.2020544297,0.8459825521,0.002493742168,0.001249218506,400
high_capacity,seg-least_privilege|patch+1|det1|iso0|bak-isolated|idm0,800,0.1930884061,0.8118043055,0.001249218506,0.001249218506,400
high_capacity,seg-least_privilege|patch+1|det1|iso0|bak-isolated|idm1,800,0.1930884061,0.7785970148,0.001249218506,0.001249218506,400
high_capacity,seg-least_privilege|patch+1|det1|iso1|bak-isolated|idm0,800,0.1913355302,0.8274399876,0,0.001249218506,400
high_capacity,seg-least_privilege|patch+1|det1|iso1|bak-isolated|idm1,800,0.1913355302,0.8068062598,0,0.001249218506,400
intermediate_capacity,seg-basic|patch+0|det0|iso0|bak-isolated|idm0,250,5.231540987,8.446108574,0.02875663402,0.009679669416,400
intermediate_capacity,seg-basic|patch+0|det0|iso0|bak-isolated|idm1,250,5.167415795,8.636054005,0.02909185453,0.009679669416,400
intermediate_capacity,seg-basic|patch+0|det0|iso0|bak-periodic|idm0,250,6.694227821,8.306459377,0.02875663402,0.01454152674,400
intermediate_capacity,seg-basic|patch+0|det0|iso0|bak-periodic|idm1,250,6.618499505,8.670628543,0.02909185453,0.01501998668,400
intermediate_capacity,seg-basic|patch+0|det0|iso1|bak-isolated|idm0,250,5.35945064,9.10924255,0.02950254226,0.009679669416,400
intermediate_capacity,seg-basic|patch+0|det0|iso1|bak-isolated|idm1,250,5.312361808,9.213323248,0.02978429116,0.008854377448,400
intermediate_capacity,seg-basic|patch+0|det0|iso1|bak-periodic|idm0,250,6.836399561,8.936985501,0.02950254226,0.01404222205,400
intermediate_capacity,seg-basic|patch+0|det0|iso1|bak-periodic|idm1,250,6.793523772,9.220413143,0.02978429116,0.01501998668,400
intermediate_capacity,seg-basic|patch+0|det1|iso0|bak-isolated|idm0,250,2.745461227,4.327053833,0.03093114935,0.007935741931,400
intermediate_capacity,seg-basic|patch+0|det1|iso0|bak-isolated|idm1,250,2.627919929,5.325034867,0.02969282742,0.007935741931,400
intermediate_capacity,seg-basic|patch+0|det1|iso0|bak-periodic|idm0,250,3.594960728,5.052522848,0.03093114935,0.007935741931,400
intermediate_capacity,seg-basic|patch+0|det1|iso0|bak-periodic|idm1,250,3.406663302,6.200084502,0.02969282742,0.007935741931,400
intermediate_capacity,seg-basic|patch+0|det1|iso1|bak-isolated|idm0,250,2.645787367,6.393476732,0.02978429116,0.007935741931,400
intermediate_capacity,seg-basic|patch+0|det1|iso1|bak-isolated|idm1,250,2.490271786,7.107216515,0.02787859394,0.007935741931,400
intermediate_capacity,seg-basic|patch+0|det1|iso1|bak-periodic|idm0,250,3.377609071,7.107679896,0.02978429116,0.007935741931,400
intermediate_capacity,seg-basic|patch+0|det1|iso1|bak-periodic|idm1,250,3.153304899,7.366879456,0.02787859394,0.007935741931,400
intermediate_capacity,seg-basic|patch+1|det0|iso0|bak-isolated|idm0,250,5.639692564,9.657743472,0.0315579467,0.01043379126,400
intermediate_capacity,seg-basic|patch+1|det0|iso0|bak-isolated|idm1,250,5.560864984,8.45980684,0.03159746825,0.0117820202,400
intermediate_capacity,seg-basic|patch+1|det0|iso0|bak-periodic|idm0,250,6.865139768,9.138285049,0.0315579467,0.01454152674,400
intermediate_capacity,seg-basic|patch+1|det0|iso0|bak-periodic|idm1,250,6.740924813,8.306610788,0.03159746825,0.01547953488,400
intermediate_capacity,seg-basic|patch+1|det0|iso1|bak-isolated|idm0,250,5.821585635,9.157693732,0.03162176466,0.01113121736,400
intermediate_capacity,seg-basic|patch+1|det0|iso1|bak-isolated|idm1,250,5.588323724,8.840089681,0.03145129568,0.01297135305,400
intermediate_capacity,seg-basic|patch+1|det0|iso1|bak-periodic|idm0,250,7.023486093,8.884993873,0.03162176466,0.01454152674,400
intermediate_capacity,seg-basic|patch+1|det0|iso1|bak-periodic|idm1,250,6.687192785,8.302772072,0.03145129568,0.01501998668,400
intermediate_capacity,seg-basic|patch+1|det1|iso0|bak-isolated|idm0,250,1.902355974,10.86644957,0.02408518217,0.005634181396,400
intermediate_capacity,seg-basic|patch+1|det1|iso0|bak-isolated|idm1,250,1.849311109,11.78562156,0.02084456764,0.005634181396,400
intermediate_capacity,seg-basic|patch+1|det1|iso0|bak-periodic|idm0,250,2.19271591,10.85565494,0.02408518217,0.005634181396,400
intermediate_capacity,seg-basic|patch+1|det1|iso0|bak-periodic|idm1,250,2.090050094,12.0526592,0.02084456764,0.005634181396,400
intermediate_capacity,seg-basic|patch+1|det1|iso1|bak-isolated|idm0,250,1.671879061,10.34705982,0.02245849505,0.005634181396,400
intermediate_capacity,seg-basic|patch+1|det1|iso1|bak-isolated|idm1,250,1.645883947,12.76158161,0.01827960612,0.005634181396,400
intermediate_capacity,seg-basic|patch+1|det1|iso1|bak-periodic|idm0,250,1.862856213,12.67730029,0.02245849505,0.005634181396,400
intermediate_capacity,seg-basic|patch+1|det1|iso1|bak-periodic|idm1,250,1.819351243,14.02338394,0.01827960612,0.005634181396,400
intermediate_capacity,seg-basic|patch+2|det0|iso0|bak-isolated|idm0,250,5.212501931,9.77765083,0.03035786554,0.01043379126,400
intermediate_capacity,seg-basic|patch+2|det0|iso0|bak-isolated|idm1,250,4.923840529,10.29677379,0.02863955307,0.01113121736,400
intermediate_capacity,seg-basic|patch+2|det0|iso0|bak-periodic|idm0,250,5.932414744,10.43935876,0.030430511,0.01404222205,400
intermediate_capacity,seg-basic|patch+2|det0|iso0|bak-periodic|idm1,250,5.574012514,12.21323686,0.02863955307,0.01404222205,400
intermediate_capacity,seg-basic|patch+2|det0|iso1|bak-isolated|idm0,250,5.041407333,9.940890082,0.03004423406,0.01113121736,400
intermediate_capacity,seg-basic|patch+2|det0|iso1|bak-isolated|idm1,250,4.698667254,14.11137345,0.02745876909,0.0117820202,400
intermediate_capacity,seg-basic|patch+2|det0|iso1|bak-periodic|idm0,250,5.779420118,12.22696117,0.03004423406,0.01351976331,400
intermediate_capacity,seg-basic|patch+2|det0|iso1|bak-periodic|idm1,250,5.345996638,14.80144948,0.02745876909,0.01404222205,400
intermediate_capacity,seg-basic|patch+2|det1|iso0|bak-isolated|idm0,250,0.8925074749,6.020652528,0.01675995227,0.005634181396,400
intermediate_capacity,seg-basic|patch+2|det1|iso0|bak-isolated|idm1,250,0.7991857185,5.195492359,0.01404222205,0.005634181396,400
intermediate_capacity,seg-basic|patch+2|det1|iso0|bak-periodic|idm0,250,0.9106371893,6.155174862,0.01675995227,0.005634181396,400
intermediate_capacity,seg-basic|patch+2|det1|iso0|bak-periodic|idm1,250,0.8173680514,5.614940818,0.01404222205,0.005634181396,400
intermediate_capacity,seg-basic|patch+2|det1|iso1|bak-isolated|idm0,250,0.8011525892,4.767886631,0.01634821091,0.005634181396,400
intermediate_capacity,seg-basic|patch+2|det1|iso1|bak-isolated|idm1,250,0.7385565853,5.128667481,0.01351976331,0.005634181396,400
intermediate_capacity,seg-basic|patch+2|det1|iso1|bak-periodic|idm0,250,0.8132977537,5.289881354,0.01634821091,0.005634181396,400
intermediate_capacity,seg-basic|patch+2|det1|iso1|bak-periodic|idm1,250,0.7491283139,4.791022644,0.01351976331,0.005634181396,400
intermediate_capacity,seg-least_privilege|patch+0|det0|iso0|bak-isolated|idm0,250,4.557136178,8.435242549,0.03142381263,0.008854377448,400
intermediate_capacity,seg-least_privilege|patch+0|det0|iso0|bak-isolated|idm1,250,3.994567781,6.897871861,0.02969282742,0.007935741931,400
intermediate_capacity,seg-least_privilege|patch+0|det0|iso0|bak-periodic|idm0,250,5.521846002,8.072738274,0.03142381263,0.009679669416,400
intermediate_capacity,seg-least_privilege|patch+0|det0|iso0|bak-periodic|idm1,250,4.860163135,6.750949115,0.02978429116,0.007935741931,400
intermediate_capacity,seg-least_privilege|patch+0|det0|iso1|bak-isolated|idm0,250,4.410807824,7.771775596,0.03112915033,0.007935741931,400
intermediate_capacity,seg-least_privilege|patch+0|det0|iso1|bak-isolated|idm1,250,3.833192219,7.311740874,0.02898275349,0.007935741931,400
intermediate_capacity,seg-least_privilege|patch+0|det0|iso1|bak-periodic|idm0,250,5.300305252,9.123282725,0.03112915033,0.009679669416,400
intermediate_capacity,seg-least_privilege|patch+0|det0|iso1|bak-periodic|idm1,250,4.577527977,7.708855842,0.02909185453,0.008854377448,400
intermediate_capacity,seg-least_privilege|patch+0|det1|iso0|bak-isolated|idm0,250,1.16735651,7.621616857,0.01897366596,0.006886508549,400
intermediate_capacity,seg-least_privilege|patch+0|det1|iso0|bak-isolated|idm1,250,0.851640783,5.024571705,0.01547953488,0.005634181396,400
intermediate_capacity,seg-least_privilege|patch+0|det1|iso0|bak-periodic|idm0,250,1.320763563,8.465927784,0.01897366596,0.006886508549,400
intermediate_capacity,seg-least_privilege|patch+0|det1|iso0|bak-periodic|idm1,250,0.9288752023,6.390860339,0.01547953488,0.005634181396,400
intermediate_capacity,seg-least_privilege|patch+0|det1|iso1|bak-isolated|idm0,250,1.022371605,6.580415685,0.01827960612,0.006886508549,400
intermediate_capacity,seg-least_privilege|patch+0|det1|iso1|bak-isolated|idm1,250,0.6823896296,3.598031407,0.01454152674,0.005634181396,400
intermediate_capacity,seg-least_privilege|patch+0|det1|iso1|bak-periodic|idm0,250,1.120233494,7.344134598,0.01827960612,0.006886508549,400
intermediate_capacity,seg-least_privilege|patch+0|det1|iso1|bak-periodic|idm1,250,0.697908542,3.831240778,0.01454152674,0.005634181396,400
intermediate_capacity,seg-least_privilege|patch+1|det0|iso0|bak-isolated|idm0,250,3.00432206,14.97284166,0.02386763499,0.005634181396,400
intermediate_capacity,seg-least_privilege|patch+1|det0|iso0|bak-isolated|idm1,250,2.718868745,15.74397097,0.02112969474,0.006886508549,400
intermediate_capacity,seg-least_privilege|patch+1|det0|iso0|bak-periodic|idm0,250,3.265765836,18.02249297,0.02386763499,0.006886508549,400
intermediate_capacity,seg-least_privilege|patch+1|det0|iso0|bak-periodic|idm1,250,3.001223397,17.43626412,0.02112969474,0.007935741931,400
intermediate_capacity,seg-least_privilege|patch+1|det0|iso1|bak-isolated|idm0,250,2.946546192,15.15771184,0.0236453801,0.006886508549,400
intermediate_capacity,seg-least_privilege|patch+1|det0|iso1|bak-isolated|idm1,250,2.637555555,15.53294499,0.02055237213,0.006886508549,400
intermediate_capacity,seg-least_privilege|patch+1|det0|iso1|bak-periodic|idm0,250,3.194177465,17.48254276,0.0236453801,0.007935741931,400
intermediate_capacity,seg-least_privilege|patch+1|det0|iso1|bak-periodic|idm1,250,2.905253495,18.25868261,0.02055237213,0.007935741931,400
intermediate_capacity,seg-least_privilege|patch+1|det1|iso0|bak-isolated|idm0,250,0.5887770324,3.302857883,0.01297135305,0.005634181396,400
intermediate_capacity,seg-least_privilege|patch+1|det1|iso0|bak-isolated|idm1,250,0.565173639,2.955872586,0.0117820202,0.005634181396,400
intermediate_capacity,seg-least_privilege|patch+1|det1|iso0|bak-periodic|idm0,250,0.6038508325,3.376391622,0.01297135305,0.005634181396,400
intermediate_capacity,seg-least_privilege|patch+1|det1|iso0|bak-periodic|idm1,250,0.5786556045,2.974789149,0.0117820202,0.005634181396,400
intermediate_capacity,seg-least_privilege|patch+1|det1|iso1|bak-isolated|idm0,250,0.5740220133,2.858356072,0.01297135305,0.005634181396,400
intermediate_capacity,seg-least_privilege|patch+1|det1|iso1|bak-isolated|idm1,250,0.5505644267,2.89631734,0.0117820202,0.005634181396,400
intermediate_capacity,seg-least_privilege|patch+1|det1|iso1|bak-periodic|idm0,250,0.5889612622,3.234218578,0.01297135305,0.005634181396,400
intermediate_capacity,seg-least_privilege|patch+1|det1|iso1|bak-periodic|idm1,250,0.5646019688,3.09506031,0.0117820202,0.005634181396,400
intermediate_capacity,seg-least_privilege|patch+2|det0|iso0|bak-isolated|idm0,250,1.775301934,12.23137056,0.01897366596,0.006886508549,400
intermediate_capacity,seg-least_privilege|patch+2|det0|iso0|bak-isolated|idm1,250,1.377067574,10.15985113,0.01634821091,0.006886508549,400
intermediate_capacity,seg-least_privilege|patch+2|det0|iso0|bak-periodic|idm0,250,1.838882162,11.23127766,0.01897366596,0.006886508549,400
intermediate_capacity,seg-least_privilege|patch+2|det0|iso0|bak-periodic|idm1,250,1.401632384,10.32581166,0.01634821091,0.006886508549,400
intermediate_capacity,seg-least_privilege|patch+2|det0|iso1|bak-isolated|idm0,250,1.75911615,11.48710358,0.01897366596,0.006886508549,400
intermediate_capacity,seg-least_privilege|patch+2|det0|iso1|bak-isolated|idm1,250,1.333089893,9.732775213,0.01634821091,0.006886508549,400
intermediate_capacity,seg-least_privilege|patch+2|det0|iso1|bak-periodic|idm0,250,1.821516573,11.58044616,0.01897366596,0.006886508549,400
intermediate_capacity,seg-least_privilege|patch+2|det0|iso1|bak-periodic|idm1,250,1.357399623,10.20484182,0.01634821091,0.006886508549,400
intermediate_capacity,seg-least_privilege|patch+2|det1|iso0|bak-isolated|idm0,250,0.4973025255,2.453651394,0.01113121736,0.005634181396,400
intermediate_capacity,seg-least_privilege|patch+2|det1|iso0|bak-isolated|idm1,250,0.4854366142,2.474718441,0.009679669416,0.003991991984,400
intermediate_capacity,seg-least_privilege|patch+2|det1|iso0|bak-periodic|idm0,250,0.4973025255,2.61444104,0.01113121736,0.005634181396,400
intermediate_capacity,seg-least_privilege|patch+2|det1|iso0|bak-periodic|idm1,250,0.4854366142,2.474451828,0.009679669416,0.003991991984,400
intermediate_capacity,seg-least_privilege|patch+2|det1|iso1|bak-isolated|idm0,250,0.4930323303,2.552167392,0.01113121736,0.005634181396,400
intermediate_capacity,seg-least_privilege|patch+2|det1|iso1|bak-isolated|idm1,250,0.4805576923,2.389213866,0.009679669416,0.003991991984,400
intermediate_capacity,seg-least_privilege|patch+2|det1|iso1|bak-periodic|idm0,250,0.4930323303,2.589017837,0.01113121736,0.005634181396,400
intermediate_capacity,seg-least_privilege|patch+2|det1|iso1|bak-periodic|idm1,250,0.4805576923,2.618170302,0.009679669416,0.003991991984,400
resource_constrained,seg-basic|patch+0|det0|iso0|bak-connected|idm0,350,4.869781683,0.910166519,0.01376605874,0.02665227989,400
resource_constrained,seg-basic|patch+0|det0|iso0|bak-connected|idm1,350,5.080244695,0.9730196484,0.01450123147,0.02659972161,400
