profile,portfolio,n_scenarios,mean_hours_lost,tail_hours_lost_cvar90,sustained_outage_probability,sustained_outage_probability_k1,sustained_outage_probability_k2,sustained_outage_probability_k3,sustained_outage_probability_k4,nonrecovery_probability,implementation_cost_points,operational_burden_points,mean_defensive_isolation_hours_per_node,pareto_efficient
high_capacity,seg-least_privilege|patch+0|det0|iso0|bak-isolated|idm0,800,3.80115625,17.70552209,0.00875,0.04,0.00875,0.00875,0.00875,0.00125,0,0,0.3907871247,1
high_capacity,seg-least_privilege|patch+0|det0|iso0|bak-isolated|idm1,800,3.80115625,17.70552209,0.00875,0.04,0.00875,0.00875,0.00875,0.00125,4,3,0.3907871247,0
high_capacity,seg-least_privilege|patch+0|det0|iso1|bak-isolated|idm0,800,3.707666667,17.75699588,0.00625,0.03625,0.00625,0.00625,0.00625,0.00125,5,3,0.3829254125,0
high_capacity,seg-least_privilege|patch+0|det0|iso1|bak-isolated|idm1,800,3.707666667,17.75699588,0.00625,0.03625,0.00625,0.00625,0.00625,0.00125,9,6,0.3829254125,0
high_capacity,seg-least_privilege|patch+0|det1|iso0|bak-isolated|idm0,800,3.376270833,16.57947154,0.00125,0.02625,0.00125,0.00125,0.00125,0.00125,3,2,0.3659222845,1
high_capacity,seg-least_privilege|patch+0|det1|iso0|bak-isolated|idm1,800,3.376270833,16.57947154,0.00125,0.02625,0.00125,0.00125,0.00125,0.00125,7,5,0.3659222845,0
high_capacity,seg-least_privilege|patch+0|det1|iso1|bak-isolated|idm0,800,3.263260417,16.5475,0,0.025,0,0,0,0.00125,8,5,0.3518525367,1
high_capacity,seg-least_privilege|patch+0|det1|iso1|bak-isolated|idm1,800,3.263260417,16.5475,0,0.025,0,0,0,0.00125,12,8,0.3518525367,0
high_capacity,seg-least_privilege|patch+1|det0|iso0|bak-isolated|idm0,800,3.664666667,17.53625,0.00625,0.035,0.00625,0.00625,0.00625,0.00125,2,3,0.3840384242,1
high_capacity,seg-least_privilege|patch+1|det0|iso0|bak-isolated|idm1,800,3.664666667,17.53625,0.00625,0.035,0.00625,0.00625,0.00625,0.00125,6,6,0.3840384242,0
high_capacity,seg-least_privilege|patch+1|det0|iso1|bak-isolated|idm0,800,3.56209375,17.28699187,0.005,0.03375,0.005,0.005,0.005,0.00125,7,6,0.3761596577,0
high_capacity,seg-least_privilege|patch+1|det0|iso1|bak-isolated|idm1,800,3.56209375,17.28699187,0.005,0.03375,0.005,0.005,0.005,0.00125,11,9,0.3761596577,0
high_capacity,seg-least_privilege|patch+1|det1|iso0|bak-isolated|idm0,800,3.32596875,16.6284375,0.00125,0.02625,0.00125,0.00125,0.00125,0.00125,5,5,0.3621588941,1
high_capacity,seg-least_privilege|patch+1|det1|iso0|bak-isolated|idm1,800,3.32596875,16.6284375,0.00125,0.02625,0.00125,0.00125,0.00125,0.00125,9,8,0.3621588941,0
high_capacity,seg-least_privilege|patch+1|det1|iso1|bak-isolated|idm0,800,3.214916667,16.40751029,0,0.025,0,0,0,0.00125,10,8,0.3487774641,1
high_capacity,seg-least_privilege|patch+1|det1|iso1|bak-isolated|idm1,800,3.214916667,16.40751029,0,0.025,0,0,0,0.00125,14,11,0.3487774641,0
intermediate_capacity,seg-basic|patch+0|det0|iso0|bak-isolated|idm0,250,119.5385,245.2443333,0.708,0.724,0.712,0.708,0.708,0.024,1,1,0.5350999674,1
intermediate_capacity,seg-basic|patch+0|det0|iso0|bak-isolated|idm1,250,115.6890333,239.5383333,0.696,0.712,0.7,0.696,0.696,0.024,5,4,0.5350148197,0
intermediate_capacity,seg-basic|patch+0|det0|iso0|bak-periodic|idm0,250,156.2753333,303.4623333,0.708,0.724,0.712,0.708,0.708,0.056,0,0,0.5141862136,1
intermediate_capacity,seg-basic|patch+0|det0|iso0|bak-periodic|idm1,250,151.6175667,297.1893333,0.696,0.712,0.7,0.696,0.696,0.06,4,3,0.5166173466,0
intermediate_capacity,seg-basic|patch+0|det0|iso1|bak-isolated|idm0,250,113.9267333,248.5073333,0.68,0.696,0.684,0.68,0.68,0.024,6,4,0.5341706009,0
intermediate_capacity,seg-basic|patch+0|det0|iso1|bak-isolated|idm1,250,110.5297,243.323,0.668,0.684,0.672,0.668,0.668,0.02,10,7,0.5278859979,0
intermediate_capacity,seg-basic|patch+0|det0|iso1|bak-periodic|idm0,250,148.4613333,305.979,0.68,0.696,0.684,0.68,0.68,0.052,5,3,0.5157558941,0
intermediate_capacity,seg-basic|patch+0|det0|iso1|bak-periodic|idm1,250,144.5106333,300.5783333,0.668,0.684,0.672,0.668,0.668,0.06,9,6,0.5167287174,0
intermediate_capacity,seg-basic|patch+0|det1|iso0|bak-isolated|idm0,250,36.6145,119.003,0.396,0.452,0.424,0.408,0.396,0.016,4,3,0.5107016122,1
intermediate_capacity,seg-basic|patch+0|det1|iso0|bak-isolated|idm1,250,31.70303333,118.589,0.328,0.412,0.376,0.348,0.328,0.016,8,6,0.5118148828,0
intermediate_capacity,seg-basic|patch+0|det1|iso0|bak-periodic|idm0,250,47.06546667,153.512,0.396,0.452,0.424,0.408,0.396,0.016,3,2,0.5579758848,1
intermediate_capacity,seg-basic|patch+0|det1|iso0|bak-periodic|idm1,250,40.5112,150.4236667,0.328,0.412,0.376,0.348,0.328,0.016,7,5,0.5478760775,0
intermediate_capacity,seg-basic|patch+0|det1|iso1|bak-isolated|idm0,250,31.169,120.107,0.332,0.408,0.364,0.344,0.332,0.016,9,6,0.4971103993,0
intermediate_capacity,seg-basic|patch+0|det1|iso1|bak-isolated|idm1,250,26.87206667,118.2173333,0.264,0.376,0.328,0.3,0.264,0.016,13,9,0.4948027995,0
intermediate_capacity,seg-basic|patch+0|det1|iso1|bak-periodic|idm0,250,39.1268,151.4053333,0.332,0.408,0.364,0.344,0.332,0.016,8,5,0.5354348464,0
intermediate_capacity,seg-basic|patch+0|det1|iso1|bak-periodic|idm1,250,33.6784,147.0836667,0.264,0.376,0.328,0.3,0.264,0.016,12,8,0.5235661705,0
intermediate_capacity,seg-basic|patch+1|det0|iso0|bak-isolated|idm0,250,91.11706667,246.1346667,0.532,0.572,0.552,0.536,0.532,0.028,3,4,0.590907858,0
intermediate_capacity,seg-basic|patch+1|det0|iso0|bak-isolated|idm1,250,84.75536667,243.13,0.48,0.552,0.528,0.504,0.48,0.036,7,7,0.5855702981,0
intermediate_capacity,seg-basic|patch+1|det0|iso0|bak-periodic|idm0,250,111.6172333,292.1003333,0.532,0.572,0.552,0.54,0.532,0.056,2,3,0.5932342303,0
intermediate_capacity,seg-basic|patch+1|det0|iso0|bak-periodic|idm1,250,103.8553333,285.3046667,0.48,0.552,0.528,0.508,0.48,0.064,6,6,0.5944006645,0
intermediate_capacity,seg-basic|patch+1|det0|iso1|bak-isolated|idm0,250,88.12026667,252.643,0.496,0.544,0.524,0.5,0.496,0.032,8,7,0.5835069247,0
intermediate_capacity,seg-basic|patch+1|det0|iso1|bak-isolated|idm1,250,80.97043333,242.9526667,0.448,0.528,0.5,0.468,0.448,0.044,12,10,0.581652752,0
intermediate_capacity,seg-basic|patch+1|det0|iso1|bak-periodic|idm0,250,106.7917667,297.4586667,0.496,0.544,0.524,0.504,0.496,0.056,7,6,0.5822437349,0
intermediate_capacity,seg-basic|patch+1|det0|iso1|bak-periodic|idm1,250,97.8775,283.3286667,0.448,0.528,0.5,0.472,0.448,0.06,11,9,0.5861247815,0
intermediate_capacity,seg-basic|patch+1|det1|iso0|bak-isolated|idm0,250,16.32383333,92.664,0.176,0.268,0.2,0.184,0.176,0.008,6,6,0.4905585621,1
intermediate_capacity,seg-basic|patch+1|det1|iso0|bak-isolated|idm1,250,14.4756,89.08733333,0.124,0.228,0.152,0.132,0.124,0.008,10,9,0.4910811487,0
intermediate_capacity,seg-basic|patch+1|det1|iso0|bak-periodic|idm0,250,18.37343333,107.9766667,0.176,0.268,0.2,0.184,0.176,0.008,5,5,0.5060733596,1
intermediate_capacity,seg-basic|patch+1|det1|iso0|bak-periodic|idm1,250,16.05053333,101.8556667,0.124,0.228,0.152,0.132,0.124,0.008,9,8,0.4994578466,0
intermediate_capacity,seg-basic|patch+1|det1|iso1|bak-isolated|idm0,250,13.27393333,78.17466667,0.148,0.236,0.164,0.152,0.148,0.008,11,9,0.472648771,0
intermediate_capacity,seg-basic|patch+1|det1|iso1|bak-isolated|idm1,250,11.74253333,74.772,0.092,0.192,0.112,0.096,0.092,0.008,15,12,0.4740742451,0
intermediate_capacity,seg-basic|patch+1|det1|iso1|bak-periodic|idm0,250,14.5761,89.45533333,0.148,0.236,0.164,0.152,0.148,0.008,10,8,0.4870319111,0
intermediate_capacity,seg-basic|patch+1|det1|iso1|bak-periodic|idm1,250,12.8136,85.06333333,0.092,0.192,0.112,0.096,0.092,0.008,14,11,0.4801515053,0
intermediate_capacity,seg-basic|patch+2|det0|iso0|bak-isolated|idm0,250,61.2598,228.1796667,0.36,0.432,0.388,0.364,0.36,0.028,5,7,0.5776426648,0
intermediate_capacity,seg-basic|patch+2|det0|iso0|bak-isolated|idm1,250,52.4591,223.0363333,0.288,0.4,0.34,0.308,0.288,0.032,9,10,0.5693709098,0
intermediate_capacity,seg-basic|patch+2|det0|iso0|bak-periodic|idm0,250,69.43743333,257.8663333,0.364,0.432,0.388,0.368,0.364,0.052,4,6,0.5842343945,0
intermediate_capacity,seg-basic|patch+2|det0|iso0|bak-periodic|idm1,250,59.30253333,250.6156667,0.288,0.4,0.34,0.312,0.288,0.052,8,9,0.5760131031,0
intermediate_capacity,seg-basic|patch+2|det0|iso1|bak-isolated|idm0,250,57.4404,225.85,0.344,0.42,0.376,0.352,0.344,0.032,10,10,0.5693012151,0
intermediate_capacity,seg-basic|patch+2|det0|iso1|bak-isolated|idm1,250,47.23983333,221.7426667,0.252,0.388,0.324,0.28,0.252,0.036,14,13,0.5590843146,0
intermediate_capacity,seg-basic|patch+2|det0|iso1|bak-periodic|idm0,250,65.38863333,255.8473333,0.344,0.42,0.376,0.356,0.344,0.048,9,9,0.577040357,0
intermediate_capacity,seg-basic|patch+2|det0|iso1|bak-periodic|idm1,250,53.71413333,249.2893333,0.252,0.388,0.324,0.284,0.252,0.052,13,12,0.5707049875,0
intermediate_capacity,seg-basic|patch+2|det1|iso0|bak-isolated|idm0,250,7.983366667,40.693,0.076,0.164,0.096,0.076,0.076,0.008,8,9,0.4679733397,0
intermediate_capacity,seg-basic|patch+2|det1|iso0|bak-isolated|idm1,250,6.965966667,35.21366667,0.052,0.136,0.068,0.052,0.052,0.008,12,12,0.4676890638,0
intermediate_capacity,seg-basic|patch+2|det1|iso0|bak-periodic|idm0,250,8.1397,41.47866667,0.076,0.164,0.096,0.076,0.076,0.008,7,8,0.4773966852,0
intermediate_capacity,seg-basic|patch+2|det1|iso0|bak-periodic|idm1,250,7.0627,35.898,0.052,0.136,0.068,0.052,0.052,0.008,11,11,0.4740153078,0
intermediate_capacity,seg-basic|patch+2|det1|iso1|bak-isolated|idm0,250,7.299566667,36.19433333,0.072,0.152,0.088,0.072,0.072,0.008,13,12,0.4546567687,0
intermediate_capacity,seg-basic|patch+2|det1|iso1|bak-isolated|idm1,250,6.434133333,32.11766667,0.048,0.124,0.064,0.048,0.048,0.008,17,15,0.4542924928,0
intermediate_capacity,seg-basic|patch+2|det1|iso1|bak-periodic|idm0,250,7.4315,36.09551282,0.072,0.152,0.088,0.072,0.072,0.008,12,11,0.4616578642,0
intermediate_capacity,seg-basic|patch+2|det1|iso1|bak-periodic|idm1,250,6.506666667,32.58933333,0.048,0.124,0.064,0.048,0.048,0.008,16,14,0.4581964868,0
