profile,portfolio,pareto_inclusion_probability,n_bootstrap_samples
high_capacity,seg-least_privilege|patch+0|det0|iso0|bak-isolated|idm0,1,1000
high_capacity,seg-least_privilege|patch+0|det0|iso0|bak-isolated|idm1,0.077,1000
high_capacity,seg-least_privilege|patch+0|det0|iso1|bak-isolated|idm0,0.015,1000
high_capacity,seg-least_privilege|patch+0|det0|iso1|bak-isolated|idm1,0.167,1000
high_capacity,seg-least_privilege|patch+0|det1|iso0|bak-isolated|idm0,1,1000
high_capacity,seg-least_privilege|patch+0|det1|iso0|bak-isolated|idm1,1,1000
high_capacity,seg-least_privilege|patch+0|det1|iso1|bak-isolated|idm0,0.987,1000
high_capacity,seg-least_privilege|patch+0|det1|iso1|bak-isolated|idm1,0.991,1000
high_capacity,seg-least_privilege|patch+1|det0|iso0|bak-isolated|idm0,1,1000
high_capacity,seg-least_privilege|patch+1|det0|iso0|bak-isolated|idm1,0.113,1000
high_capacity,seg-least_privilege|patch+1|det0|iso1|bak-isolated|idm0,0.01,1000
high_capacity,seg-least_privilege|patch+1|det0|iso1|bak-isolated|idm1,0.161,1000
high_capacity,seg-least_privilege|patch+1|det1|iso0|bak-isolated|idm0,0.623,1000
high_capacity,seg-least_privilege|patch+1|det1|iso0|bak-isolated|idm1,0.204,1000
high_capacity,seg-least_privilege|patch+1|det1|iso1|bak-isolated|idm0,0.613,1000
high_capacity,seg-least_privilege|patch+1|det1|iso1|bak-isolated|idm1,0.845,1000
intermediate_capacity,seg-basic|patch+0|det0|iso0|bak-isolated|idm0,1,1000
intermediate_capacity,seg-basic|patch+0|det0|iso0|bak-isolated|idm1,0,1000
intermediate_capacity,seg-basic|patch+0|det0|iso0|bak-periodic|idm0,1,1000
intermediate_capacity,seg-basic|patch+0|det0|iso0|bak-periodic|idm1,0,1000
intermediate_capacity,seg-basic|patch+0|det0|iso1|bak-isolated|idm0,0,1000
intermediate_capacity,seg-basic|patch+0|det0|iso1|bak-isolated|idm1,0,1000
intermediate_capacity,seg-basic|patch+0|det0|iso1|bak-periodic|idm0,0,1000
intermediate_capacity,seg-basic|patch+0|det0|iso1|bak-periodic|idm1,0,1000
intermediate_capacity,seg-basic|patch+0|det1|iso0|bak-isolated|idm0,1,1000
intermediate_capacity,seg-basic|patch+0|det1|iso0|bak-isolated|idm1,0,1000
intermediate_capacity,seg-basic|patch+0|det1|iso0|bak-periodic|idm0,1,1000
intermediate_capacity,seg-basic|patch+0|det1|iso0|bak-periodic|idm1,0,1000
intermediate_capacity,seg-basic|patch+0|det1|iso1|bak-isolated|idm0,0,1000
intermediate_capacity,seg-basic|patch+0|det1|iso1|bak-isolated|idm1,0,1000
intermediate_capacity,seg-basic|patch+0|det1|iso1|bak-periodic|idm0,0,1000
intermediate_capacity,seg-basic|patch+0|det1|iso1|bak-periodic|idm1,0,1000
intermediate_capacity,seg-basic|patch+1|det0|iso0|bak-isolated|idm0,0,1000
intermediate_capacity,seg-basic|patch+1|det0|iso0|bak-isolated|idm1,0,1000
intermediate_capacity,seg-basic|patch+1|det0|iso0|bak-periodic|idm0,0.004,1000
intermediate_capacity,seg-basic|patch+1|det0|iso0|bak-periodic|idm1,0,1000
intermediate_capacity,seg-basic|patch+1|det0|iso1|bak-isolated|idm0,0,1000
intermediate_capacity,seg-basic|patch+1|det0|iso1|bak-isolated|idm1,0,1000
intermediate_capacity,seg-basic|patch+1|det0|iso1|bak-periodic|idm0,0,1000
intermediate_capacity,seg-basic|patch+1|det0|iso1|bak-periodic|idm1,0,1000
intermediate_capacity,seg-basic|patch+1|det1|iso0|bak-isolated|idm0,0,1000
intermediate_capacity,seg-basic|patch+1|det1|iso0|bak-isolated|idm1,0,1000
intermediate_capacity,seg-basic|patch+1|det1|iso0|bak-periodic|idm0,0,1000
intermediate_capacity,seg-basic|patch+1|det1|iso0|bak-periodic|idm1,0,1000
intermediate_capacity,seg-basic|patch+1|det1|iso1|bak-isolated|idm0,0,1000
intermediate_capacity,seg-basic|patch+1|det1|iso1|bak-isolated|idm1,0,1000
intermediate_capacity,seg-basic|patch+1|det1|iso1|bak-periodic|idm0,0,1000
intermediate_capacity,seg-basic|patch+1|det1|iso1|bak-periodic|idm1,0,1000
intermediate_capacity,seg-basic|patch+2|det0|iso0|bak-isolated|idm0,0,1000
intermediate_capacity,seg-basic|patch+2|det0|iso0|bak-isolated|idm1,0,1000
intermediate_capacity,seg-basic|patch+2|det0|iso0|bak-periodic|idm0,0,1000
intermediate_capacity,seg-basic|patch+2|det0|iso0|bak-periodic|idm1,0,1000
intermediate_capacity,seg-basic|patch+2|det0|iso1|bak-isolated|idm0,0,1000
intermediate_capacity,seg-basic|patch+2|det0|iso1|bak-isolated|idm1,0,1000
intermediate_capacity,seg-basic|patch+2|det0|iso1|bak-periodic|idm0,0,1000
intermediate_capacity,seg-basic|patch+2|det0|iso1|bak-periodic|idm1,0,1000
intermediate_capacity,seg-basic|patch+2|det1|iso0|bak-isolated|idm0,0,1000
intermediate_capacity,seg-basic|patch+2|det1|iso0|bak-isolated|idm1,0,1000
intermediate_capacity,seg-basic|patch+2|det1|iso0|bak-periodic|idm0,0,1000
intermediate_capacity,seg-basic|patch+2|det1|iso0|bak-periodic|idm1,0,1000
intermediate_capacity,seg-basic|patch+2|det1|iso1|bak-isolated|idm0,0,1000
intermediate_capacity,seg-basic|patch+2|det1|iso1|bak-isolated|idm1,0,1000
intermediate_capacity,seg-basic|patch+2|det1|iso1|bak-periodic|idm0,0,1000
intermediate_capacity,seg-basic|patch+2|det1|iso1|bak-periodic|idm1,0,1000
intermediate_capacity,seg-least_privilege|patch+0|det0|iso0|bak-isolated|idm0,0.002,1000
intermediate_capacity,seg-least_privilege|patch+0|det0|iso0|bak-isolated|idm1,0,1000
intermediate_capacity,seg-least_privilege|patch+0|det0|iso0|bak-periodic|idm0,1,1000
intermediate_capacity,seg-least_privilege|patch+0|det0|iso0|bak-periodic|idm1,0,1000
intermediate_capacity,seg-least_privilege|patch+0|det0|iso1|bak-isolated|idm0,0,1000
intermediate_capacity,seg-least_privilege|patch+0|det0|iso1|bak-isolated|idm1,0,1000
intermediate_capacity,seg-least_privilege|patch+0|det0|iso1|bak-periodic|idm0,0,1000
intermediate_capacity,seg-least_privilege|patch+0|det0|iso1|bak-periodic|idm1,0,1000
intermediate_capacity,seg-least_privilege|patch+0|det1|iso0|bak-isolated|idm0,1,1000
intermediate_capacity,seg-least_privilege|patch+0|det1|iso0|bak-isolated|idm1,1,1000
intermediate_capacity,seg-least_privilege|patch+0|det1|iso0|bak-periodic|idm0,1,1000
intermediate_capacity,seg-least_privilege|patch+0|det1|iso0|bak-periodic|idm1,1,1000
intermediate_capacity,seg-least_privilege|patch+0|det1|iso1|bak-isolated|idm0,0,1000
intermediate_capacity,seg-least_privilege|patch+0|det1|iso1|bak-isolated|idm1,0.342,1000
intermediate_capacity,seg-least_privilege|patch+0|det1|iso1|bak-periodic|idm0,0,1000
intermediate_capacity,seg-least_privilege|patch+0|det1|iso1|bak-periodic|idm1,0.308,1000
intermediate_capacity,seg-least_privilege|patch+1|det0|iso0|bak-isolated|idm0,0,1000
intermediate_capacity,seg-least_privilege|patch+1|det0|iso0|bak-isolated|idm1,0,1000
intermediate_capacity,seg-least_privilege|patch+1|det0|iso0|bak-periodic|idm0,0.881,1000
intermediate_capacity,seg-least_privilege|patch+1|det0|iso0|bak-periodic|idm1,0,1000
intermediate_capacity,seg-least_privilege|patch+1|det0|iso1|bak-isolated|idm0,0,1000
intermediate_capacity,seg-least_privilege|patch+1|det0|iso1|bak-isolated|idm1,0,1000
intermediate_capacity,seg-least_privilege|patch+1|det0|iso1|bak-periodic|idm0,0,1000
intermediate_capacity,seg-least_privilege|patch+1|det0|iso1|bak-periodic|idm1,0,1000
intermediate_capacity,seg-least_privilege|patch+1|det1|iso0|bak-isolated|idm0,1,1000
intermediate_capacity,seg-least_privilege|patch+1|det1|iso0|bak-isolated|idm1,1,1000
intermediate_capacity,seg-least_privilege|patch+1|det1|iso0|bak-periodic|idm0,1,1000
intermediate_capacity,seg-least_privilege|patch+1|det1|iso0|bak-periodic|idm1,1,1000
intermediate_capacity,seg-least_privilege|patch+1|det1|iso1|bak-isolated|idm0,0,1000
intermediate_capacity,seg-least_privilege|patch+1|det1|iso1|bak-isolated|idm1,0.943,1000
intermediate_capacity,seg-least_privilege|patch+1|det1|iso1|bak-periodic|idm0,0,1000
intermediate_capacity,seg-least_privilege|patch+1|det1|iso1|bak-periodic|idm1,0.954,1000
intermediate_capacity,seg-least_privilege|patch+2|det0|iso0|bak-isolated|idm0,0,1000
intermediate_capacity,seg-least_privilege|patch+2|det0|iso0|bak-isolated|idm1,0,1000
intermediate_capacity,seg-least_privilege|patch+2|det0|iso0|bak-periodic|idm0,0,1000
intermediate_capacity,seg-least_privilege|patch+2|det0|iso0|bak-periodic|idm1,0,1000
intermediate_capacity,seg-least_privilege|patch+2|det0|iso1|bak-isolated|idm0,0,1000
intermediate_capacity,seg-least_privilege|patch+2|det0|iso1|bak-isolated|idm1,0,1000
intermediate_capacity,seg-least_privilege|patch+2|det0|iso1|bak-periodic|idm0,0,1000
intermediate_capacity,seg-least_privilege|patch+2|det0|iso1|bak-periodic|idm1,0,1000
intermediate_capacity,seg-least_privilege|patch+2|det1|iso0|bak-isolated|idm0,0.79,1000
intermediate_capacity,seg-least_privilege|patch+2|det1|iso0|bak-isolated|idm1,1,1000
intermediate_capacity,seg-least_privilege|patch+2|det1|iso0|bak-periodic|idm0,0.833,1000
intermediate_capacity,seg-least_privilege|patch+2|det1|iso0|bak-periodic|idm1,0.993,1000
intermediate_capacity,seg-least_privilege|patch+2|det1|iso1|bak-isolated|idm0,0.047,1000
intermediate_capacity,seg-least_privilege|patch+2|det1|iso1|bak-isolated|idm1,0.999,1000
intermediate_capacity,seg-least_privilege|patch+2|det1|iso1|bak-periodic|idm0,0.049,1000
intermediate_capacity,seg-least_privilege|patch+2|det1|iso1|bak-periodic|idm1,0.999,1000
resource_constrained,seg-basic|patch+0|det0|iso0|bak-connected|idm0,0.703,1000
resource_constrained,seg-basic|patch+0|det0|iso0|bak-connected|idm1,0,1000
resource_constrained,seg-basic|patch+0|det0|iso0|bak-isolated|idm0,0.703,1000
resource_constrained,seg-basic|patch+0|det0|iso0|bak-isolated|idm1,0,1000
resource_constrained,seg-basic|patch+0|det0|iso0|bak-periodic|idm0,0.703,1000
resource_constrained,seg-basic|patch+0|det0|iso0|bak-periodic|idm1,0,1000
resource_constrained,seg-basic|patch+0|det0|iso1|bak-connected|idm0,0,1000
resource_constrained,seg-basic|patch+0|det0|iso1|bak-connected|idm1,0,1000
resource_constrained,seg-basic|patch+0|det0|iso1|bak-isolated|idm0,0,1000
resource_constrained,seg-basic|patch+0|det0|iso1|bak-isolated|idm1,0,1000
resource_constrained,seg-basic|patch+0|det0|iso1|bak-periodic|idm0,0,1000
resource_constrained,seg-basic|patch+0|det0|iso1|bak-periodic|idm1,0,1000
resource_constrained,seg-basic|patch+0|det1|iso0|bak-connected|idm0,1,1000
resource_constrained,seg-basic|patch+0|det1|iso0|bak-connected|idm1,0.071,1000
resource_constrained,seg-basic|patch+0|det1|iso0|bak-isolated|idm0,1,1000
resource_constrained,seg-basic|patch+0|det1|iso0|bak-isolated|idm1,0.799,1000
resource_constrained,seg-basic|patch+0|det1|iso0|bak-periodic|idm0,1,1000
resource_constrained,seg-basic|patch+0|det1|iso0|bak-periodic|idm1,0,1000
resource_constrained,seg-basic|patch+0|det1|iso1|bak-connected|idm0,0.108,1000
resource_constrained,seg-basic|patch+0|det1|iso1|bak-connected|idm1,0,1000
resource_constrained,seg-basic|patch+0|det1|iso1|bak-isolated|idm0,0.651,1000
resource_constrained,seg-basic|patch+0|det1|iso1|bak-isolated|idm1,0.409,1000
resource_constrained,seg-basic|patch+0|det1|iso1|bak-periodic|idm0,0,1000
resource_constrained,seg-basic|patch+0|det1|iso1|bak-periodic|idm1,0,1000
resource_constrained,seg-basic|patch+1|det0|iso0|bak-connected|idm0,0.212,1000
resource_constrained,seg-basic|patch+1|det0|iso0|bak-connected|idm1,0,1000
resource_constrained,seg-basic|patch+1|det0|iso0|bak-isolated|idm0,0,1000
resource_constrained,seg-basic|patch+1|det0|iso0|bak-isolated|idm1,0,1000
resource_constrained,seg-basic|patch+1|det0|iso0|bak-periodic|idm0,0,1000
resource_constrained,seg-basic|patch+1|det0|iso0|bak-periodic|idm1,0,1000
resource_constrained,seg-basic|patch+1|det0|iso1|bak-connected|idm0,0,1000
resource_constrained,seg-basic|patch+1|det0|iso1|bak-connected|idm1,0,1000
resource_constrained,seg-basic|patch+1|det0|iso1|bak-isolated|idm0,0,1000
resource_constrained,seg-basic|patch+1|det0|iso1|bak-isolated|idm1,0,1000
resource_constrained,seg-basic|patch+1|det0|iso1|bak-periodic|idm0,0,1000
resource_constrained,seg-basic|patch+1|det0|iso1|bak-periodic|idm1,0,1000
resource_constrained,seg-basic|patch+1|det1|iso0|bak-connected|idm0,0.032,1000
resource_constrained,seg-basic|patch+1|det1|iso0|bak-connected|idm1,0,1000
resource_constrained,seg-basic|patch+1|det1|iso0|bak-isolated|idm0,0.045,1000
resource_constrained,seg-basic|patch+1|det1|iso0|bak-isolated|idm1,0.018,1000
