profile,preference_scenario,portfolio,budget_points,within_budget,augmented_chebyshev_score,mean_hours_lost,tail_hours_lost_cvar90,sustained_outage_probability,nonrecovery_probability,implementation_cost_points,operational_burden_points,weight_mean_hours_lost,weight_tail_hours_lost_cvar90,weight_sustained_outage_probability,weight_nonrecovery_probability,weight_implementation_cost_points,weight_operational_burden_points
high_capacity,balanced,seg-least_privilege|patch+0|det1|iso0|bak-isolated|idm0,15,1,0.0371475315,13.4853125,38.14354167,0.005,0.085,3,2,0.1666666667,0.1666666667,0.1666666667,0.1666666667,0.1666666667,0.1666666667
high_capacity,continuity_first,seg-least_privilege|patch+0|det1|iso1|bak-isolated|idm0,15,1,0.02924630012,13.12322917,37.48083333,0,0.085,8,5,0.3,0.25,0.2,0.15,0.05,0.05
high_capacity,tail_risk_averse,seg-least_privilege|patch+0|det1|iso1|bak-isolated|idm0,15,1,0.02921924393,13.12322917,37.48083333,0,0.085,8,5,0.1,0.35,0.3,0.15,0.05,0.05
high_capacity,resource_constrained,seg-least_privilege|patch+0|det1|iso0|bak-isolated|idm0,15,1,0.06595402482,13.4853125,38.14354167,0.005,0.085,3,2,0.15,0.1,0.1,0.1,0.3,0.25
intermediate_capacity,balanced,seg-least_privilege|patch+0|det1|iso0|bak-periodic|idm0,10,1,0.08550142988,34.79958333,116.4025,0.3075,0.085,5,4,0.1666666667,0.1666666667,0.1666666667,0.1666666667,0.1666666667,0.1666666667
intermediate_capacity,continuity_first,seg-least_privilege|patch+1|det1|iso0|bak-periodic|idm0,10,1,0.03614207783,27.79154167,96.11354166,0.2475,0.085,7,7,0.3,0.25,0.2,0.15,0.05,0.05
intermediate_capacity,tail_risk_averse,seg-least_privilege|patch+1|det1|iso0|bak-periodic|idm0,10,1,0.0403107103,27.79154167,96.11354166,0.2475,0.085,7,7,0.1,0.35,0.3,0.15,0.05,0.05
intermediate_capacity,resource_constrained,seg-basic|patch+0|det1|iso0|bak-periodic|idm0,10,1,0.09293504584,76.397625,188.5695833,0.56,0.085,3,2,0.15,0.1,0.1,0.1,0.3,0.25
resource_constrained,balanced,seg-flat|patch+0|det1|iso0|bak-connected|idm0,5,1,0.1082602704,207.6623542,313.619375,0.945,0.155,3,2,0.1666666667,0.1666666667,0.1666666667,0.1666666667,0.1666666667,0.1666666667
resource_constrained,continuity_first,seg-flat|patch+1|det1|iso0|bak-connected|idm0,5,1,0.1207938849,205.5636667,310.980625,0.9325,0.1525,5,5,0.3,0.25,0.2,0.15,0.05,0.05
resource_constrained,tail_risk_averse,seg-flat|patch+1|det1|iso0|bak-connected|idm0,5,1,0.1678285628,205.5636667,310.980625,0.9325,0.1525,5,5,0.1,0.35,0.3,0.15,0.05,0.05
resource_constrained,resource_constrained,seg-flat|patch+0|det0|iso0|bak-isolated|idm0,5,1,0.1252763714,270.4593125,351.7816667,0.9675,0.3025,2,2,0.15,0.1,0.1,0.1,0.3,0.25
