trial_id,scenario_id,paired,experiment,master_seed,facility,profile,portfolio,entry_point,entry_node,n_nodes,n_edges,segmentation,patch_coverage,realized_patch_fraction,detection_delay,isolation_success,backup_strategy,identity_controls,rapid_isolation,backup_isolation_lapsed,param_simulation_base_spread_rate,param_simulation_false_positive_rate,param_simulation_identity_breach_multiplier,param_simulation_identity_control_coverage,param_simulation_identity_control_effectiveness,param_simulation_patch_effectiveness,param_simulation_patch_effectiveness_vendor,param_simulation_rapid_isolation_success,param_simulation_restore_rate_fraction,param_network_backup_isolation_lapse,horizon_steps,step_minutes,total_compromised,ever_compromised_fraction,pct_compromised,peak_compromised,zones_reached,lateral_movements,containment_step,backup_compromised,backup_residual_failed,identity_compromised,ehr_downtime_steps,laboratory_downtime_steps,pharmacy_downtime_steps,imaging_downtime_steps,scheduling_downtime_steps,identity_downtime_steps,backup_recovery_downtime_steps,services_disrupted_count,total_service_downtime_steps,weighted_service_hours_lost,time_averaged_weighted_clinical_unavailability,pct_clinical_capacity_lost,ehr_max_outage_streak_steps,laboratory_max_outage_streak_steps,pharmacy_max_outage_streak_steps,imaging_max_outage_streak_steps,scheduling_max_outage_streak_steps,identity_max_outage_streak_steps,backup_recovery_max_outage_streak_steps,sustained_clinical_outage_k1,sustained_clinical_outage_k2,sustained_clinical_outage_k3,sustained_clinical_outage_k4,sustained_outage_min_services,sustained_outage_service_steps,catastrophic,defensive_isolation_node_steps,recovery_step,recovered_within_horizon,ehr_available_final,laboratory_available_final,pharmacy_available_final,imaging_available_final,scheduling_available_final,identity_available_final,backup_recovery_available_final,final_service_availability_fraction,disrupted_service_recovery_fraction,pct_services_restored,unrecoverable_nodes,backups_available,steps_simulated
10000000,10000000,1,optimization,5726001,regional_hospital,resource_constrained,seg-flat|patch+0|det0|iso0|bak-connected|idm0,workstation,19,201,1470,flat,0.25,0.204,72,0.5,connected,0,0,0,0.1198923,0.00147286,1.27516298,0.77956998,0.89703594,0.6784178,0.14308647,0.42276392,0.00793356,0.09085575,864,5,197,0.9800995025,0.9800995025,197,10,198,586,1,0,1,613,658,635,704,809,613,672,7,4704,290.1833333,0.750170207,0.750170207,613,658,635,704,809,613,672,1,1,1,1,4,24,1,672,745,1,1,1,1,1,1,1,1,1,1,1,56,0,864
10000001,10000000,1,optimization,5726001,regional_hospital,resource_constrained,seg-flat|patch+0|det0|iso0|bak-connected|idm1,workstation,19,201,1470,flat,0.25,0.204,72,0.5,connected,1,0,0,0.1198923,0.00147286,1.27516298,0.77956998,0.89703594,0.6784178,0.14308647,0.42276392,0.00793356,0.09085575,864,5,198,0.9850746269,0.9850746269,198,10,199,586,1,0,1,613,658,635,704,809,613,672,7,4704,290.1833333,0.750170207,0.750170207,613,658,635,704,809,613,672,1,1,1,1,4,24,1,648,745,1,1,1,1,1,1,1,1,1,1,1,56,0,864
10000002,10000000,1,optimization,5726001,regional_hospital,resource_constrained,seg-flat|patch+0|det0|iso0|bak-periodic|idm0,workstation,19,201,1470,flat,0.25,0.204,72,0.5,periodic,0,0,0,0.1198923,0.00147286,1.27516298,0.77956998,0.89703594,0.6784178,0.14308647,0.42276392,0.00793356,0.09085575,864,5,197,0.9800995025,0.9800995025,197,10,198,586,1,0,1,613,658,635,704,809,613,672,7,4704,290.1833333,0.750170207,0.750170207,613,658,635,704,809,613,672,1,1,1,1,4,24,1,672,745,1,1,1,1,1,1,1,1,1,1,1,56,0,864
10000003,10000000,1,optimization,5726001,regional_hospital,resource_constrained,seg-flat|patch+0|det0|iso0|bak-periodic|idm1,workstation,19,201,1470,flat,0.25,0.204,72,0.5,periodic,1,0,0,0.1198923,0.00147286,1.27516298,0.77956998,0.89703594,0.6784178,0.14308647,0.42276392,0.00793356,0.09085575,864,5,198,0.9850746269,0.9850746269,198,10,199,586,1,0,1,613,658,635,704,809,613,672,7,4704,290.1833333,0.750170207,0.750170207,613,658,635,704,809,613,672,1,1,1,1,4,24,1,648,745,1,1,1,1,1,1,1,1,1,1,1,56,0,864
10000004,10000000,1,optimization,5726001,regional_hospital,resource_constrained,seg-flat|patch+0|det0|iso0|bak-isolated|idm0,workstation,19,201,1402,flat,0.25,0.204,72,0.5,isolated,0,0,0,0.1198923,0.00147286,1.27516298,0.77956998,0.89703594,0.6784178,0.14308647,0.42276392,0.00793356,0.09085575,864,5,189,0.9402985075,0.9402985075,189,9,190,586,0,0,1,566,601,579,584,630,566,0,6,3526,228.175,0.6728962418,0.6728962418,566,577,579,584,630,566,0,1,1,1,1,4,24,1,1643,693,1,1,1,1,1,1,1,1,1,1,1,0,1,864
10000005,10000000,1,optimization,5726001,regional_hospital,resource_constrained,seg-flat|patch+0|det0|iso0|bak-isolated|idm1,workstation,19,201,1402,flat,0.25,0.204,72,0.5,isolated,1,0,0,0.1198923,0.00147286,1.27516298,0.77956998,0.89703594,0.6784178,0.14308647,0.42276392,0.00793356,0.09085575,864,5,190,0.9452736318,0.9452736318,190,9,191,586,0,0,1,566,601,579,584,630,566,0,6,3526,228.175,0.6728962418,0.6728962418,566,577,579,584,630,566,0,1,1,1,1,4,24,1,1619,693,1,1,1,1,1,1,1,1,1,1,1,0,1,864
10000006,10000000,1,optimization,5726001,regional_hospital,resource_constrained,seg-flat|patch+0|det0|iso1|bak-connected|idm0,workstation,19,201,1470,flat,0.25,0.204,72,0.5,connected,0,1,0,0.1198923,0.00147286,1.27516298,0.77956998,0.89703594,0.6784178,0.14308647,0.42276392,0.00793356,0.09085575,864,5,197,0.9800995025,0.9800995025,197,10,199,586,1,0,1,613,658,635,704,809,613,672,7,4704,290.1833333,0.750170207,0.750170207,613,658,635,704,809,613,672,1,1,1,1,4,24,1,672,745,1,1,1,1,1,1,1,1,1,1,1,56,0,864
10000007,10000000,1,optimization,5726001,regional_hospital,resource_constrained,seg-flat|patch+0|det0|iso1|bak-connected|idm1,workstation,19,201,1470,flat,0.25,0.204,72,0.5,connected,1,1,0,0.1198923,0.00147286,1.27516298,0.77956998,0.89703594,0.6784178,0.14308647,0.42276392,0.00793356,0.09085575,864,5,198,0.9850746269,0.9850746269,198,10,200,586,1,0,1,613,658,635,704,809,613,672,7,4704,290.1833333,0.750170207,0.750170207,613,658,635,704,809,613,672,1,1,1,1,4,24,1,648,745,1,1,1,1,1,1,1,1,1,1,1,56,0,864
10000008,10000000,1,optimization,5726001,regional_hospital,resource_constrained,seg-flat|patch+0|det0|iso1|bak-periodic|idm0,workstation,19,201,1470,flat,0.25,0.204,72,0.5,periodic,0,1,0,0.1198923,0.00147286,1.27516298,0.77956998,0.89703594,0.6784178,0.14308647,0.42276392,0.00793356,0.09085575,864,5,197,0.9800995025,0.9800995025,197,10,199,586,1,0,1,613,658,635,704,809,613,672,7,4704,290.1833333,0.750170207,0.750170207,613,658,635,704,809,613,672,1,1,1,1,4,24,1,672,745,1,1,1,1,1,1,1,1,1,1,1,56,0,864
10000009,10000000,1,optimization,5726001,regional_hospital,resource_constrained,seg-flat|patch+0|det0|iso1|bak-periodic|idm1,workstation,19,201,1470,flat,0.25,0.204,72,0.5,periodic,1,1,0,0.1198923,0.00147286,1.27516298,0.77956998,0.89703594,0.6784178,0.14308647,0.42276392,0.00793356,0.09085575,864,5,198,0.9850746269,0.9850746269,198,10,200,586,1,0,1,613,658,635,704,809,613,672,7,4704,290.1833333,0.750170207,0.750170207,613,658,635,704,809,613,672,1,1,1,1,4,24,1,648,745,1,1,1,1,1,1,1,1,1,1,1,56,0,864
