profile,portfolio,n_scenarios,mean_hours_lost_se,tail_hours_lost_cvar90_se,sustained_outage_probability_se,nonrecovery_probability_se,monte_carlo_bootstrap_samples
high_capacity,seg-least_privilege|patch+0|det0|iso0|bak-isolated|idm0,30,1.018519635,4.362812817,0,0,400
high_capacity,seg-least_privilege|patch+0|det0|iso0|bak-isolated|idm1,30,1.018519635,4.685375944,0,0,400
high_capacity,seg-least_privilege|patch+0|det0|iso1|bak-isolated|idm0,30,1.018519635,4.254309702,0,0,400
high_capacity,seg-least_privilege|patch+0|det0|iso1|bak-isolated|idm1,30,1.018519635,4.175171282,0,0,400
high_capacity,seg-least_privilege|patch+0|det1|iso0|bak-isolated|idm0,30,1.027017343,4.584954437,0,0,400
high_capacity,seg-least_privilege|patch+0|det1|iso0|bak-isolated|idm1,30,1.027017343,4.476851347,0,0,400
high_capacity,seg-least_privilege|patch+0|det1|iso1|bak-isolated|idm0,30,1.027017343,4.16465813,0,0,400
high_capacity,seg-least_privilege|patch+0|det1|iso1|bak-isolated|idm1,30,1.027017343,4.504015299,0,0,400
high_capacity,seg-least_privilege|patch+1|det0|iso0|bak-isolated|idm0,30,1.018519635,3.935948522,0,0,400
high_capacity,seg-least_privilege|patch+1|det0|iso0|bak-isolated|idm1,30,1.018519635,4.265232118,0,0,400
high_capacity,seg-least_privilege|patch+1|det0|iso1|bak-isolated|idm0,30,1.018519635,4.520013546,0,0,400
high_capacity,seg-least_privilege|patch+1|det0|iso1|bak-isolated|idm1,30,1.018519635,4.441040346,0,0,400
high_capacity,seg-least_privilege|patch+1|det1|iso0|bak-isolated|idm0,30,1.027017343,4.628120586,0,0,400
high_capacity,seg-least_privilege|patch+1|det1|iso0|bak-isolated|idm1,30,1.027017343,4.38674863,0,0,400
high_capacity,seg-least_privilege|patch+1|det1|iso1|bak-isolated|idm0,30,1.027017343,4.719183005,0,0,400
high_capacity,seg-least_privilege|patch+1|det1|iso1|bak-isolated|idm1,30,1.027017343,4.472637888,0,0,400
intermediate_capacity,seg-basic|patch+0|det0|iso0|bak-isolated|idm0,30,13.39392108,13.8154791,0.08073734278,0.03277306934,400
intermediate_capacity,seg-basic|patch+0|det0|iso0|bak-isolated|idm1,30,13.28996148,12.86694256,0.08073734278,0.03277306934,400
intermediate_capacity,seg-basic|patch+0|det0|iso0|bak-periodic|idm0,30,17.2772633,11.0936247,0.08073734278,0.03277306934,400
intermediate_capacity,seg-basic|patch+0|det0|iso0|bak-periodic|idm1,30,17.17816183,7.203180189,0.08073734278,0.03277306934,400
intermediate_capacity,seg-basic|patch+0|det0|iso1|bak-isolated|idm0,30,14.19600433,15.62322686,0.08606629658,0.03277306934,400
intermediate_capacity,seg-basic|patch+0|det0|iso1|bak-isolated|idm1,30,14.12019725,14.07856973,0.08606629658,0.03277306934,400
intermediate_capacity,seg-basic|patch+0|det0|iso1|bak-periodic|idm0,30,18.42527024,11.95687613,0.08606629658,0.03277306934,400
intermediate_capacity,seg-basic|patch+0|det0|iso1|bak-periodic|idm1,30,18.35135347,8.660114018,0.08606629658,0.03277306934,400
intermediate_capacity,seg-basic|patch+0|det1|iso0|bak-isolated|idm0,30,8.226466706,11.10946859,0.09047201327,0.03277306934,400
intermediate_capacity,seg-basic|patch+0|det1|iso0|bak-isolated|idm1,30,8.328465281,12.90095315,0.09108400681,0.03277306934,400
intermediate_capacity,seg-basic|patch+0|det1|iso0|bak-periodic|idm0,30,11.06251385,8.28034717,0.09047201327,0.03277306934,400
intermediate_capacity,seg-basic|patch+0|det1|iso0|bak-periodic|idm1,30,11.06445245,9.014742649,0.09108400681,0.03277306934,400
intermediate_capacity,seg-basic|patch+0|det1|iso1|bak-isolated|idm0,30,8.362964851,16.81004822,0.09108400681,0.03277306934,400
intermediate_capacity,seg-basic|patch+0|det1|iso1|bak-isolated|idm1,30,8.200845785,19.10668382,0.09108400681,0.03277306934,400
intermediate_capacity,seg-basic|patch+0|det1|iso1|bak-periodic|idm0,30,10.99687276,12.64709567,0.09108400681,0.03277306934,400
intermediate_capacity,seg-basic|patch+0|det1|iso1|bak-periodic|idm1,30,10.694319,16.25436466,0.09108400681,0.03277306934,400
intermediate_capacity,seg-basic|patch+1|det0|iso0|bak-isolated|idm0,30,16.71111196,19.76632975,0.09047201327,0.0455420034,400
intermediate_capacity,seg-basic|patch+1|det0|iso0|bak-isolated|idm1,30,18.11732759,11.1770475,0.09108400681,0.06206328908,400
intermediate_capacity,seg-basic|patch+1|det0|iso0|bak-periodic|idm0,30,19.94323599,18.52658947,0.09047201327,0.05477225575,400
intermediate_capacity,seg-basic|patch+1|det0|iso0|bak-periodic|idm1,30,21.52426487,13.90669847,0.09108400681,0.06206328908,400
intermediate_capacity,seg-basic|patch+1|det0|iso1|bak-isolated|idm0,30,15.76892652,30.15300713,0.0894427191,0.0455420034,400
intermediate_capacity,seg-basic|patch+1|det0|iso1|bak-isolated|idm1,30,16.39177472,24.44132936,0.08073734278,0.0455420034,400
