profile,portfolio,n_scenarios,mean_hours_lost,tail_hours_lost_cvar90,sustained_outage_probability,sustained_outage_probability_k1,sustained_outage_probability_k2,sustained_outage_probability_k3,sustained_outage_probability_k4,nonrecovery_probability,implementation_cost_points,operational_burden_points,mean_defensive_isolation_hours_per_node
high_capacity,seg-least_privilege|patch+0|det0|iso0|bak-isolated|idm0,30,2.99,17.42222222,0,0.06666666667,0,0,0,0,0,0,0.3538921834
high_capacity,seg-least_privilege|patch+0|det0|iso0|bak-isolated|idm1,30,2.99,17.42222222,0,0.06666666667,0,0,0,0,4,3,0.3538921834
high_capacity,seg-least_privilege|patch+0|det0|iso1|bak-isolated|idm0,30,2.99,17.42222222,0,0.06666666667,0,0,0,0,5,3,0.3400537996
high_capacity,seg-least_privilege|patch+0|det0|iso1|bak-isolated|idm1,30,2.99,17.42222222,0,0.06666666667,0,0,0,0,9,6,0.3400537996
high_capacity,seg-least_privilege|patch+0|det1|iso0|bak-isolated|idm0,30,2.796666667,17.42222222,0,0.06666666667,0,0,0,0,3,2,0.2935852589
high_capacity,seg-least_privilege|patch+0|det1|iso0|bak-isolated|idm1,30,2.796666667,17.42222222,0,0.06666666667,0,0,0,0,7,5,0.2935852589
high_capacity,seg-least_privilege|patch+0|det1|iso1|bak-isolated|idm0,30,2.796666667,17.42222222,0,0.06666666667,0,0,0,0,8,5,0.2855044508
high_capacity,seg-least_privilege|patch+0|det1|iso1|bak-isolated|idm1,30,2.796666667,17.42222222,0,0.06666666667,0,0,0,0,12,8,0.2855044508
high_capacity,seg-least_privilege|patch+1|det0|iso0|bak-isolated|idm0,30,2.99,17.42222222,0,0.06666666667,0,0,0,0,2,3,0.3538921834
high_capacity,seg-least_privilege|patch+1|det0|iso0|bak-isolated|idm1,30,2.99,17.42222222,0,0.06666666667,0,0,0,0,6,6,0.3538921834
high_capacity,seg-least_privilege|patch+1|det0|iso1|bak-isolated|idm0,30,2.99,17.42222222,0,0.06666666667,0,0,0,0,7,6,0.3400537996
high_capacity,seg-least_privilege|patch+1|det0|iso1|bak-isolated|idm1,30,2.99,17.42222222,0,0.06666666667,0,0,0,0,11,9,0.3400537996
high_capacity,seg-least_privilege|patch+1|det1|iso0|bak-isolated|idm0,30,2.796666667,17.42222222,0,0.06666666667,0,0,0,0,5,5,0.2935852589
high_capacity,seg-least_privilege|patch+1|det1|iso0|bak-isolated|idm1,30,2.796666667,17.42222222,0,0.06666666667,0,0,0,0,9,8,0.2935852589
high_capacity,seg-least_privilege|patch+1|det1|iso1|bak-isolated|idm0,30,2.796666667,17.42222222,0,0.06666666667,0,0,0,0,10,8,0.2855044508
high_capacity,seg-least_privilege|patch+1|det1|iso1|bak-isolated|idm1,30,2.796666667,17.42222222,0,0.06666666667,0,0,0,0,14,11,0.2855044508
intermediate_capacity,seg-basic|patch+0|det0|iso0|bak-isolated|idm0,30,115.5247222,211.5638889,0.7333333333,0.7333333333,0.7333333333,0.7333333333,0.7333333333,0.03333333333,1,1,0.5708710496
intermediate_capacity,seg-basic|patch+0|det0|iso0|bak-isolated|idm1,30,115.715,206.05,0.7333333333,0.7333333333,0.7333333333,0.7333333333,0.7333333333,0.03333333333,5,4,0.5733881907
intermediate_capacity,seg-basic|patch+0|det0|iso0|bak-periodic|idm0,30,151.9436111,258.1861111,0.7333333333,0.7333333333,0.7333333333,0.7333333333,0.7333333333,0.03333333333,0,0,0.545997701
intermediate_capacity,seg-basic|patch+0|det0|iso0|bak-periodic|idm1,30,151.98,249.975,0.7333333333,0.7333333333,0.7333333333,0.7333333333,0.7333333333,0.03333333333,4,3,0.5411432976
intermediate_capacity,seg-basic|patch+0|det0|iso1|bak-isolated|idm0,30,105.7461111,204.9555556,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.03333333333,6,4,0.5256209657
intermediate_capacity,seg-basic|patch+0|det0|iso1|bak-isolated|idm1,30,104.8552778,199.5166667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.03333333333,10,7,0.537401732
intermediate_capacity,seg-basic|patch+0|det0|iso1|bak-periodic|idm0,30,138.8980556,252.3638889,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.03333333333,5,3,0.5209942499
intermediate_capacity,seg-basic|patch+0|det0|iso1|bak-periodic|idm1,30,138,244.7222222,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.03333333333,9,6,0.5094919165
intermediate_capacity,seg-basic|patch+0|det1|iso0|bak-isolated|idm0,30,52.83944444,117.7388889,0.5666666667,0.6,0.5666666667,0.5666666667,0.5666666667,0.03333333333,4,3,0.5787519461
intermediate_capacity,seg-basic|patch+0|det1|iso0|bak-isolated|idm1,30,49.14527778,126.0083334,0.5333333333,0.6,0.5666666667,0.5333333333,0.5333333333,0.03333333333,8,6,0.5837226941
intermediate_capacity,seg-basic|patch+0|det1|iso0|bak-periodic|idm0,30,70.80444444,153.1666667,0.5666666667,0.6,0.5666666667,0.5666666667,0.5666666667,0.03333333333,3,2,0.6150956888
intermediate_capacity,seg-basic|patch+0|det1|iso0|bak-periodic|idm1,30,64.32027777,160.0027778,0.5333333333,0.6,0.5666666667,0.5333333333,0.5333333333,0.03333333333,7,5,0.6249674266
intermediate_capacity,seg-basic|patch+0|det1|iso1|bak-isolated|idm0,30,44.64694444,118.6027778,0.4666666667,0.5333333333,0.5,0.4666666667,0.4666666667,0.03333333333,9,6,0.5508085442
intermediate_capacity,seg-basic|patch+0|det1|iso1|bak-isolated|idm1,30,41.73527778,125.3805555,0.4666666667,0.5333333333,0.5,0.4666666667,0.4666666667,0.03333333333,13,9,0.5494656276
intermediate_capacity,seg-basic|patch+0|det1|iso1|bak-periodic|idm0,30,58.05916666,143.5138889,0.4666666667,0.5333333333,0.5,0.4666666667,0.4666666667,0.03333333333,8,5,0.5581763906
intermediate_capacity,seg-basic|patch+0|det1|iso1|bak-periodic|idm1,30,53.76444444,154.825,0.4666666667,0.5333333333,0.5,0.4666666667,0.4666666667,0.03333333333,12,8,0.5605624157
intermediate_capacity,seg-basic|patch+1|det0|iso0|bak-isolated|idm0,30,94.25166667,256.3055555,0.5666666667,0.6,0.5666666667,0.5666666667,0.5666666667,0.06666666667,3,4,0.6914153621
intermediate_capacity,seg-basic|patch+1|det0|iso0|bak-isolated|idm1,30,94.17361111,259.3,0.4666666667,0.6,0.5333333333,0.5333333333,0.4666666667,0.1333333333,7,7,0.6947799519
