profile,portfolio,n_scenarios,mean_hours_lost,tail_hours_lost_cvar90,sustained_outage_probability,sustained_outage_probability_k1,sustained_outage_probability_k2,sustained_outage_probability_k3,sustained_outage_probability_k4,nonrecovery_probability,implementation_cost_points,operational_burden_points,mean_defensive_isolation_hours_per_node,pareto_efficient
high_capacity,seg-least_privilege|patch+0|det0|iso0|bak-isolated|idm0,30,15.23027778,42.86388889,0.06666666667,0.1333333333,0.06666666667,0.06666666667,0.06666666667,0.1,0,0,1.449124388,1
high_capacity,seg-least_privilege|patch+0|det0|iso0|bak-isolated|idm1,30,14.11194444,35.01666667,0,0.1,0,0,0,0.1,4,3,1.449380798,0
high_capacity,seg-least_privilege|patch+0|det0|iso1|bak-isolated|idm0,30,14.30194445,35.01666667,0,0.1,0,0,0,0.1,5,3,1.449637209,0
high_capacity,seg-least_privilege|patch+0|det0|iso1|bak-isolated|idm1,30,14.10972222,35.01666667,0,0.1,0,0,0,0.1,9,6,1.449637209,0
high_capacity,seg-least_privilege|patch+0|det1|iso0|bak-isolated|idm0,30,14.09305556,35.01666667,0,0.1,0,0,0,0.1,3,2,1.450804706,1
high_capacity,seg-least_privilege|patch+0|det1|iso0|bak-isolated|idm1,30,14.09305556,35.01666667,0,0.1,0,0,0,0.1,7,5,1.450804706,0
high_capacity,seg-least_privilege|patch+0|det1|iso1|bak-isolated|idm0,30,14.09305556,35.01666667,0,0.1,0,0,0,0.1,8,5,1.450804706,0
high_capacity,seg-least_privilege|patch+0|det1|iso1|bak-isolated|idm1,30,14.09305556,35.01666667,0,0.1,0,0,0,0.1,12,8,1.450804706,0
high_capacity,seg-least_privilege|patch+1|det0|iso0|bak-isolated|idm0,30,15.21722222,42.86388889,0.06666666667,0.1333333333,0.06666666667,0.06666666667,0.06666666667,0.1,2,3,1.449124388,1
high_capacity,seg-least_privilege|patch+1|det0|iso0|bak-isolated|idm1,30,14.11194444,35.01666667,0,0.1,0,0,0,0.1,6,6,1.449380798,0
high_capacity,seg-least_privilege|patch+1|det0|iso1|bak-isolated|idm0,30,14.30194445,35.01666667,0,0.1,0,0,0,0.1,7,6,1.449637209,0
high_capacity,seg-least_privilege|patch+1|det0|iso1|bak-isolated|idm1,30,14.10972222,35.01666667,0,0.1,0,0,0,0.1,11,9,1.449637209,0
high_capacity,seg-least_privilege|patch+1|det1|iso0|bak-isolated|idm0,30,14.09305556,35.01666667,0,0.1,0,0,0,0.1,5,5,1.450804706,0
high_capacity,seg-least_privilege|patch+1|det1|iso0|bak-isolated|idm1,30,14.09305556,35.01666667,0,0.1,0,0,0,0.1,9,8,1.450804706,0
high_capacity,seg-least_privilege|patch+1|det1|iso1|bak-isolated|idm0,30,14.09305556,35.01666667,0,0.1,0,0,0,0.1,10,8,1.450804706,0
high_capacity,seg-least_privilege|patch+1|det1|iso1|bak-isolated|idm1,30,14.09305556,35.01666667,0,0.1,0,0,0,0.1,14,11,1.450804706,0
