profile,portfolio,pareto_inclusion_probability,n_bootstrap_samples
high_capacity,seg-basic|patch+0|det0|iso0|bak-connected|idm0,0.15,500
high_capacity,seg-basic|patch+0|det0|iso0|bak-connected|idm1,0,500
high_capacity,seg-basic|patch+0|det0|iso0|bak-isolated|idm0,0,500
high_capacity,seg-basic|patch+0|det0|iso0|bak-isolated|idm1,0,500
high_capacity,seg-basic|patch+0|det0|iso1|bak-connected|idm0,0,500
high_capacity,seg-basic|patch+0|det0|iso1|bak-connected|idm1,0,500
high_capacity,seg-basic|patch+0|det0|iso1|bak-isolated|idm0,0,500
high_capacity,seg-basic|patch+0|det0|iso1|bak-isolated|idm1,0,500
high_capacity,seg-basic|patch+0|det1|iso0|bak-connected|idm0,0.554,500
high_capacity,seg-basic|patch+0|det1|iso0|bak-connected|idm1,0,500
high_capacity,seg-basic|patch+0|det1|iso0|bak-isolated|idm0,0,500
high_capacity,seg-basic|patch+0|det1|iso0|bak-isolated|idm1,0,500
high_capacity,seg-basic|patch+0|det1|iso1|bak-connected|idm0,0,500
high_capacity,seg-basic|patch+0|det1|iso1|bak-connected|idm1,0,500
high_capacity,seg-basic|patch+0|det1|iso1|bak-isolated|idm0,0,500
high_capacity,seg-basic|patch+0|det1|iso1|bak-isolated|idm1,0,500
high_capacity,seg-basic|patch+1|det0|iso0|bak-connected|idm0,0,500
high_capacity,seg-basic|patch+1|det0|iso0|bak-connected|idm1,0,500
high_capacity,seg-basic|patch+1|det0|iso0|bak-isolated|idm0,0,500
high_capacity,seg-basic|patch+1|det0|iso0|bak-isolated|idm1,0,500
high_capacity,seg-basic|patch+1|det0|iso1|bak-connected|idm0,0,500
high_capacity,seg-basic|patch+1|det0|iso1|bak-connected|idm1,0,500
high_capacity,seg-basic|patch+1|det0|iso1|bak-isolated|idm0,0,500
high_capacity,seg-basic|patch+1|det0|iso1|bak-isolated|idm1,0,500
high_capacity,seg-basic|patch+1|det1|iso0|bak-connected|idm0,0,500
high_capacity,seg-basic|patch+1|det1|iso0|bak-connected|idm1,0,500
high_capacity,seg-basic|patch+1|det1|iso0|bak-isolated|idm0,0,500
high_capacity,seg-basic|patch+1|det1|iso0|bak-isolated|idm1,0,500
high_capacity,seg-basic|patch+1|det1|iso1|bak-connected|idm0,0,500
high_capacity,seg-basic|patch+1|det1|iso1|bak-connected|idm1,0,500
high_capacity,seg-basic|patch+1|det1|iso1|bak-isolated|idm0,0,500
high_capacity,seg-basic|patch+1|det1|iso1|bak-isolated|idm1,0,500
high_capacity,seg-flat|patch+0|det0|iso0|bak-connected|idm0,1,500
high_capacity,seg-flat|patch+0|det0|iso0|bak-connected|idm1,0,500
high_capacity,seg-flat|patch+0|det0|iso0|bak-isolated|idm0,0.948,500
high_capacity,seg-flat|patch+0|det0|iso0|bak-isolated|idm1,0.012,500
high_capacity,seg-flat|patch+0|det0|iso1|bak-connected|idm0,0,500
high_capacity,seg-flat|patch+0|det0|iso1|bak-connected|idm1,0,500
high_capacity,seg-flat|patch+0|det0|iso1|bak-isolated|idm0,0,500
high_capacity,seg-flat|patch+0|det0|iso1|bak-isolated|idm1,0,500
high_capacity,seg-flat|patch+0|det1|iso0|bak-connected|idm0,0.892,500
high_capacity,seg-flat|patch+0|det1|iso0|bak-connected|idm1,0,500
high_capacity,seg-flat|patch+0|det1|iso0|bak-isolated|idm0,0,500
high_capacity,seg-flat|patch+0|det1|iso0|bak-isolated|idm1,0,500
high_capacity,seg-flat|patch+0|det1|iso1|bak-connected|idm0,0,500
high_capacity,seg-flat|patch+0|det1|iso1|bak-connected|idm1,0,500
high_capacity,seg-flat|patch+0|det1|iso1|bak-isolated|idm0,0,500
high_capacity,seg-flat|patch+0|det1|iso1|bak-isolated|idm1,0,500
high_capacity,seg-flat|patch+1|det0|iso0|bak-connected|idm0,0.984,500
high_capacity,seg-flat|patch+1|det0|iso0|bak-connected|idm1,0,500
high_capacity,seg-flat|patch+1|det0|iso0|bak-isolated|idm0,0,500
high_capacity,seg-flat|patch+1|det0|iso0|bak-isolated|idm1,0,500
high_capacity,seg-flat|patch+1|det0|iso1|bak-connected|idm0,0,500
high_capacity,seg-flat|patch+1|det0|iso1|bak-connected|idm1,0,500
high_capacity,seg-flat|patch+1|det0|iso1|bak-isolated|idm0,0,500
high_capacity,seg-flat|patch+1|det0|iso1|bak-isolated|idm1,0,500
high_capacity,seg-flat|patch+1|det1|iso0|bak-connected|idm0,0,500
high_capacity,seg-flat|patch+1|det1|iso0|bak-connected|idm1,0,500
high_capacity,seg-flat|patch+1|det1|iso0|bak-isolated|idm0,0,500
high_capacity,seg-flat|patch+1|det1|iso0|bak-isolated|idm1,0,500
high_capacity,seg-flat|patch+1|det1|iso1|bak-connected|idm0,0,500
high_capacity,seg-flat|patch+1|det1|iso1|bak-connected|idm1,0,500
high_capacity,seg-flat|patch+1|det1|iso1|bak-isolated|idm0,0,500
high_capacity,seg-flat|patch+1|det1|iso1|bak-isolated|idm1,0,500
high_capacity,seg-least_privilege|patch+0|det0|iso0|bak-connected|idm0,0,500
high_capacity,seg-least_privilege|patch+0|det0|iso0|bak-connected|idm1,0,500
high_capacity,seg-least_privilege|patch+0|det0|iso0|bak-isolated|idm0,0,500
high_capacity,seg-least_privilege|patch+0|det0|iso0|bak-isolated|idm1,0,500
high_capacity,seg-least_privilege|patch+0|det0|iso1|bak-connected|idm0,0,500
high_capacity,seg-least_privilege|patch+0|det0|iso1|bak-connected|idm1,0,500
high_capacity,seg-least_privilege|patch+0|det0|iso1|bak-isolated|idm0,0,500
high_capacity,seg-least_privilege|patch+0|det0|iso1|bak-isolated|idm1,0,500
high_capacity,seg-least_privilege|patch+0|det1|iso0|bak-connected|idm0,0,500
high_capacity,seg-least_privilege|patch+0|det1|iso0|bak-connected|idm1,0,500
high_capacity,seg-least_privilege|patch+0|det1|iso0|bak-isolated|idm0,0,500
high_capacity,seg-least_privilege|patch+0|det1|iso0|bak-isolated|idm1,0,500
high_capacity,seg-least_privilege|patch+0|det1|iso1|bak-connected|idm0,0,500
high_capacity,seg-least_privilege|patch+0|det1|iso1|bak-connected|idm1,0,500
high_capacity,seg-least_privilege|patch+0|det1|iso1|bak-isolated|idm0,0,500
high_capacity,seg-least_privilege|patch+0|det1|iso1|bak-isolated|idm1,0,500
high_capacity,seg-least_privilege|patch+1|det0|iso0|bak-connected|idm0,0,500
high_capacity,seg-least_privilege|patch+1|det0|iso0|bak-connected|idm1,0,500
high_capacity,seg-least_privilege|patch+1|det0|iso0|bak-isolated|idm0,0,500
high_capacity,seg-least_privilege|patch+1|det0|iso0|bak-isolated|idm1,0,500
high_capacity,seg-least_privilege|patch+1|det0|iso1|bak-connected|idm0,0,500
high_capacity,seg-least_privilege|patch+1|det0|iso1|bak-connected|idm1,0,500
high_capacity,seg-least_privilege|patch+1|det0|iso1|bak-isolated|idm0,0,500
high_capacity,seg-least_privilege|patch+1|det0|iso1|bak-isolated|idm1,0,500
high_capacity,seg-least_privilege|patch+1|det1|iso0|bak-connected|idm0,0,500
high_capacity,seg-least_privilege|patch+1|det1|iso0|bak-connected|idm1,0,500
high_capacity,seg-least_privilege|patch+1|det1|iso0|bak-isolated|idm0,0,500
high_capacity,seg-least_privilege|patch+1|det1|iso0|bak-isolated|idm1,0,500
high_capacity,seg-least_privilege|patch+1|det1|iso1|bak-connected|idm0,0,500
high_capacity,seg-least_privilege|patch+1|det1|iso1|bak-connected|idm1,0,500
high_capacity,seg-least_privilege|patch+1|det1|iso1|bak-isolated|idm0,0,500
high_capacity,seg-least_privilege|patch+1|det1|iso1|bak-isolated|idm1,0,500
intermediate_capacity,seg-basic|patch+0|det0|iso0|bak-connected|idm0,0.708,500
intermediate_capacity,seg-basic|patch+0|det0|iso0|bak-connected|idm1,0,500
intermediate_capacity,seg-basic|patch+0|det0|iso0|bak-isolated|idm0,0.574,500
intermediate_capacity,seg-basic|patch+0|det0|iso0|bak-isolated|idm1,0,500
intermediate_capacity,seg-basic|patch+0|det0|iso1|bak-connected|idm0,0.086,500
intermediate_capacity,seg-basic|patch+0|det0|iso1|bak-connected|idm1,0,500
intermediate_capacity,seg-basic|patch+0|det0|iso1|bak-isolated|idm0,0,500
intermediate_capacity,seg-basic|patch+0|det0|iso1|bak-isolated|idm1,0,500
intermediate_capacity,seg-basic|patch+0|det1|iso0|bak-connected|idm0,0.98,500
intermediate_capacity,seg-basic|patch+0|det1|iso0|bak-connected|idm1,0,500
intermediate_capacity,seg-basic|patch+0|det1|iso0|bak-isolated|idm0,0.044,500
intermediate_capacity,seg-basic|patch+0|det1|iso0|bak-isolated|idm1,0,500
intermediate_capacity,seg-basic|patch+0|det1|iso1|bak-connected|idm0,0,500
intermediate_capacity,seg-basic|patch+0|det1|iso1|bak-connected|idm1,0,500
intermediate_capacity,seg-basic|patch+0|det1|iso1|bak-isolated|idm0,0,500
intermediate_capacity,seg-basic|patch+0|det1|iso1|bak-isolated|idm1,0,500
intermediate_capacity,seg-basic|patch+1|det0|iso0|bak-connected|idm0,0.356,500
intermediate_capacity,seg-basic|patch+1|det0|iso0|bak-connected|idm1,0,500
intermediate_capacity,seg-basic|patch+1|det0|iso0|bak-isolated|idm0,0,500
intermediate_capacity,seg-basic|patch+1|det0|iso0|bak-isolated|idm1,0,500
intermediate_capacity,seg-basic|patch+1|det0|iso1|bak-connected|idm0,0,500
intermediate_capacity,seg-basic|patch+1|det0|iso1|bak-connected|idm1,0,500
intermediate_capacity,seg-basic|patch+1|det0|iso1|bak-isolated|idm0,0,500
intermediate_capacity,seg-basic|patch+1|det0|iso1|bak-isolated|idm1,0,500
intermediate_capacity,seg-basic|patch+1|det1|iso0|bak-connected|idm0,0.4,500
intermediate_capacity,seg-basic|patch+1|det1|iso0|bak-connected|idm1,0,500
intermediate_capacity,seg-basic|patch+1|det1|iso0|bak-isolated|idm0,0.004,500
intermediate_capacity,seg-basic|patch+1|det1|iso0|bak-isolated|idm1,0,500
intermediate_capacity,seg-basic|patch+1|det1|iso1|bak-connected|idm0,0.01,500
intermediate_capacity,seg-basic|patch+1|det1|iso1|bak-connected|idm1,0,500
intermediate_capacity,seg-basic|patch+1|det1|iso1|bak-isolated|idm0,0,500
intermediate_capacity,seg-basic|patch+1|det1|iso1|bak-isolated|idm1,0,500
intermediate_capacity,seg-basic|patch+2|det0|iso0|bak-connected|idm0,0.182,500
intermediate_capacity,seg-basic|patch+2|det0|iso0|bak-connected|idm1,0,500
intermediate_capacity,seg-basic|patch+2|det0|iso0|bak-isolated|idm0,0,500
intermediate_capacity,seg-basic|patch+2|det0|iso0|bak-isolated|idm1,0,500
intermediate_capacity,seg-basic|patch+2|det0|iso1|bak-connected|idm0,0,500
intermediate_capacity,seg-basic|patch+2|det0|iso1|bak-connected|idm1,0,500
intermediate_capacity,seg-basic|patch+2|det0|iso1|bak-isolated|idm0,0,500
intermediate_capacity,seg-basic|patch+2|det0|iso1|bak-isolated|idm1,0,500
intermediate_capacity,seg-basic|patch+2|det1|iso0|bak-connected|idm0,0.134,500
intermediate_capacity,seg-basic|patch+2|det1|iso0|bak-connected|idm1,0.004,500
intermediate_capacity,seg-basic|patch+2|det1|iso0|bak-isolated|idm0,0,500
intermediate_capacity,seg-basic|patch+2|det1|iso0|bak-isolated|idm1,0,500
intermediate_capacity,seg-basic|patch+2|det1|iso1|bak-connected|idm0,0.004,500
intermediate_capacity,seg-basic|patch+2|det1|iso1|bak-connected|idm1,0,500
intermediate_capacity,seg-basic|patch+2|det1|iso1|bak-isolated|idm0,0,500
intermediate_capacity,seg-basic|patch+2|det1|iso1|bak-isolated|idm1,0,500
intermediate_capacity,seg-flat|patch+0|det0|iso0|bak-connected|idm0,1,500
intermediate_capacity,seg-flat|patch+0|det0|iso0|bak-connected|idm1,0,500
intermediate_capacity,seg-flat|patch+0|det0|iso0|bak-isolated|idm0,1,500
intermediate_capacity,seg-flat|patch+0|det0|iso0|bak-isolated|idm1,0,500
intermediate_capacity,seg-flat|patch+0|det0|iso1|bak-connected|idm0,0.006,500
intermediate_capacity,seg-flat|patch+0|det0|iso1|bak-connected|idm1,0,500
intermediate_capacity,seg-flat|patch+0|det0|iso1|bak-isolated|idm0,0,500
intermediate_capacity,seg-flat|patch+0|det0|iso1|bak-isolated|idm1,0,500
intermediate_capacity,seg-flat|patch+0|det1|iso0|bak-connected|idm0,0.998,500
intermediate_capacity,seg-flat|patch+0|det1|iso0|bak-connected|idm1,0,500
intermediate_capacity,seg-flat|patch+0|det1|iso0|bak-isolated|idm0,1,500
intermediate_capacity,seg-flat|patch+0|det1|iso0|bak-isolated|idm1,0.014,500
intermediate_capacity,seg-flat|patch+0|det1|iso1|bak-connected|idm0,0.014,500
intermediate_capacity,seg-flat|patch+0|det1|iso1|bak-connected|idm1,0,500
intermediate_capacity,seg-flat|patch+0|det1|iso1|bak-isolated|idm0,0,500
intermediate_capacity,seg-flat|patch+0|det1|iso1|bak-isolated|idm1,0,500
intermediate_capacity,seg-flat|patch+1|det0|iso0|bak-connected|idm0,0.798,500
intermediate_capacity,seg-flat|patch+1|det0|iso0|bak-connected|idm1,0,500
intermediate_capacity,seg-flat|patch+1|det0|iso0|bak-isolated|idm0,0.484,500
intermediate_capacity,seg-flat|patch+1|det0|iso0|bak-isolated|idm1,0,500
intermediate_capacity,seg-flat|patch+1|det0|iso1|bak-connected|idm0,0,500
