cve_id,vendor_project,product,vulnerability_name,date_added,due_date,remediation_window_days,required_action,notes,cwes
CVE-2012-0158,Microsoft,MSCOMCTL.OCX,Microsoft MSCOMCTL.OCX Remote Code Execution Vulnerability,2021-11-03,2022-05-03,181,Apply updates per vendor instructions.,https://nvd.nist.gov/vuln/detail/CVE-2012-0158,CWE-94
CVE-2014-1812,Microsoft,Windows,Microsoft Windows Group Policy Preferences Password Privilege Escalation Vulnerability,2021-11-03,2022-05-03,181,Apply updates per vendor instructions.,https://nvd.nist.gov/vuln/detail/CVE-2014-1812,CWE-255
CVE-2016-0167,Microsoft,Win32k,Microsoft Win32k Privilege Escalation Vulnerability,2021-11-03,2022-05-03,181,Apply updates per vendor instructions.,https://nvd.nist.gov/vuln/detail/CVE-2016-0167,CWE-264
CVE-2017-0143,Microsoft,Windows,Microsoft Windows Server Message Block (SMBv1) Remote Code Execution Vulnerability,2021-11-03,2022-05-03,181,Apply updates per vendor instructions.,https://nvd.nist.gov/vuln/detail/CVE-2017-0143,CWE-20
CVE-2017-0199,Microsoft,Office and WordPad,Microsoft Office and WordPad Remote Code Execution Vulnerability,2021-11-03,2022-05-03,181,Apply updates per vendor instructions.,https://nvd.nist.gov/vuln/detail/CVE-2017-0199,
CVE-2017-11882,Microsoft,Office,Microsoft Office Memory Corruption Vulnerability,2021-11-03,2022-05-03,181,Apply updates per vendor instructions.,https://nvd.nist.gov/vuln/detail/CVE-2017-11882,CWE-119
CVE-2017-5638,Apache,Struts,Apache Struts Remote Code Execution Vulnerability,2021-11-03,2022-05-03,181,Apply updates per vendor instructions.,https://nvd.nist.gov/vuln/detail/CVE-2017-5638,CWE-20
CVE-2017-9822,DotNetNuke (DNN),DotNetNuke (DNN),DotNetNuke (DNN) Remote Code Execution Vulnerability,2021-11-03,2022-05-03,181,Apply updates per vendor instructions.,https://nvd.nist.gov/vuln/detail/CVE-2017-9822,CWE-20
CVE-2018-0802,Microsoft,Office,Microsoft Office Memory Corruption Vulnerability,2021-11-03,2022-05-03,181,Apply updates per vendor instructions.,https://nvd.nist.gov/vuln/detail/CVE-2018-0802,CWE-787
CVE-2018-13379,Fortinet,FortiOS,Fortinet FortiOS SSL VPN Path Traversal Vulnerability,2021-11-03,2022-05-03,181,Apply updates per vendor instructions.,https://nvd.nist.gov/vuln/detail/CVE-2018-13379,CWE-22
CVE-2018-2380,SAP,Customer Relationship Management (CRM),SAP Customer Relationship Management (CRM) Path Traversal Vulnerability,2021-11-03,2022-05-03,181,Apply updates per vendor instructions.,https://nvd.nist.gov/vuln/detail/CVE-2018-2380,CWE-22
CVE-2018-4878,Adobe,Flash Player,Adobe Flash Player Use-After-Free Vulnerability,2021-11-03,2022-05-03,181,The impacted product is end-of-life and should be disconnected if still in use.,https://nvd.nist.gov/vuln/detail/CVE-2018-4878,CWE-416
CVE-2018-6789,Exim,Exim,Exim Buffer Overflow Vulnerability,2021-11-03,2022-05-03,181,Apply updates per vendor instructions.,https://nvd.nist.gov/vuln/detail/CVE-2018-6789,CWE-119
CVE-2018-7600,Drupal,Drupal Core,Drupal Core Remote Code Execution Vulnerability,2021-11-03,2022-05-03,181,Apply updates per vendor instructions.,https://nvd.nist.gov/vuln/detail/CVE-2018-7600,CWE-20
CVE-2019-0604,Microsoft,SharePoint,Microsoft SharePoint Remote Code Execution Vulnerability,2021-11-03,2022-05-03,181,Apply updates per vendor instructions.,https://nvd.nist.gov/vuln/detail/CVE-2019-0604,CWE-20
CVE-2019-0708,Microsoft,Remote Desktop Services,Microsoft Remote Desktop Services Remote Code Execution Vulnerability,2021-11-03,2022-05-03,181,Apply updates per vendor instructions.,https://nvd.nist.gov/vuln/detail/CVE-2019-0708,CWE-416
CVE-2019-0803,Microsoft,Win32k,Microsoft Win32k Privilege Escalation Vulnerability,2021-11-03,2022-05-03,181,Apply updates per vendor instructions.,https://nvd.nist.gov/vuln/detail/CVE-2019-0803,
CVE-2019-11510,Ivanti,Pulse Connect Secure,Ivanti Pulse Connect Secure Arbitrary File Read Vulnerability,2021-11-03,2022-05-03,181,Apply updates per vendor instructions.,Reference CISA's ED 21-03 (https://www.cisa.gov/news-events/directives/ed-21-03-mitigate-pulse-connect-secure-product-vulnerabilities) for further guidance and requirements. Note: The due date for addressing this vulnerability aligns with the requirements outlined in ED 21-03. https://nvd.nist.gov/vuln/detail/CVE-2019-11510,CWE-22
CVE-2019-11539,Ivanti,Pulse Connect Secure and Pulse Policy Secure,Ivanti Pulse Connect Secure and Policy Secure Command Injection Vulnerability,2021-11-03,2022-05-03,181,Apply updates per vendor instructions.,https://nvd.nist.gov/vuln/detail/CVE-2019-11539,CWE-78
CVE-2019-11580,Atlassian,Crowd and Crowd Data Center,Atlassian Crowd and Crowd Data Center Remote Code Execution Vulnerability,2021-11-03,2022-05-03,181,Apply updates per vendor instructions.,https://nvd.nist.gov/vuln/detail/CVE-2019-11580,
CVE-2019-11634,Citrix,Workspace Application and Receiver for Windows,Citrix Workspace Application and Receiver for Windows Remote Code Execution Vulnerability,2021-11-03,2022-05-03,181,Apply updates per vendor instructions.,https://nvd.nist.gov/vuln/detail/CVE-2019-11634,
CVE-2019-1215,Microsoft,Windows,Microsoft Windows Privilege Escalation Vulnerability,2021-11-03,2022-05-03,181,Apply updates per vendor instructions.,https://nvd.nist.gov/vuln/detail/CVE-2019-1215,
CVE-2019-13608,Citrix,StoreFront Server,Citrix StoreFront Server XML External Entity (XXE) Processing Vulnerability,2021-11-03,2022-05-03,181,Apply updates per vendor instructions.,https://nvd.nist.gov/vuln/detail/CVE-2019-13608,CWE-611
CVE-2019-1367,Microsoft,Internet Explorer,Microsoft Internet Explorer Scripting Engine Memory Corruption Vulnerability,2021-11-03,2022-05-03,181,Apply updates per vendor instructions.,https://nvd.nist.gov/vuln/detail/CVE-2019-1367,CWE-787
