threat_id,attacked_hospitals,first_attack_date,any_er_diversion,any_cancel_delay,multi_hospital_event
6,1,2016-01-01,0.0,0.0,False
1,1,2016-01-15,0.0,0.0,False
3,1,2016-02-05,1.0,0.0,False
239,1,2016-03-18,0.0,0.0,False
4,2,2016-03-18,0.0,0.0,True
7,9,2016-03-28,0.0,1.0,True
8,1,2016-03-31,0.0,0.0,False
9,1,2016-04-05,0.0,0.0,False
11,1,2016-05-17,0.0,0.0,False
21,1,2016-08-01,0.0,0.0,False
28,3,2016-09-07,0.0,0.0,True
36,1,2016-12-30,0.0,0.0,False
317,1,2017-05-07,0.0,0.0,False
54,2,2017-06-27,0.0,1.0,True
2,1,2018-01-11,0.0,0.0,False
80,1,2018-07-09,1.0,0.0,False
90,2,2018-11-23,1.0,0.0,True
339,1,2019-06-02,0.0,0.0,False
110,1,2019-06-15,0.0,0.0,False
342,1,2019-06-24,0.0,0.0,False
343,1,2019-07-01,0.0,0.0,False
113,1,2019-07-09,0.0,0.0,False
117,1,2019-08-06,0.0,0.0,False
122,1,2019-09-01,0.0,0.0,False
124,1,2019-09-20,1.0,1.0,False
127,2,2019-10-01,1.0,0.0,True
132,1,2019-11-25,0.0,1.0,False
133,11,2019-11-29,0.0,1.0,True
135,2,2019-12-12,0.0,1.0,True
139,1,2020-01-02,0.0,1.0,False
142,1,2020-02-08,0.0,0.0,False
150,1,2020-04-09,0.0,0.0,False
153,1,2020-04-12,0.0,0.0,False
155,1,2020-04-21,0.0,1.0,False
166,2,2020-06-14,0.0,0.0,True
167,1,2020-06-16,0.0,0.0,False
174,1,2020-07-25,0.0,0.0,False
175,1,2020-07-25,0.0,0.0,False
214,1,2020-09-14,0.0,0.0,False
353,1,2020-09-19,1.0,0.0,False
186,4,2020-09-20,0.0,1.0,True
354,1,2020-09-21,1.0,1.0,False
188,22,2020-09-27,1.0,1.0,True
192,2,2020-10-05,0.0,0.0,True
194,1,2020-10-17,0.0,0.0,False
197,1,2020-10-27,0.0,1.0,False
198,3,2020-10-27,1.0,0.0,True
199,1,2020-10-28,0.0,1.0,False
200,1,2020-10-28,0.0,0.0,False
203,1,2020-11-09,0.0,1.0,False
208,1,2020-12-06,0.0,1.0,False
212,1,2020-12-22,0.0,0.0,False
222,1,2021-01-27,0.0,0.0,False
358,1,2021-02-03,0.0,0.0,False
228,1,2021-02-07,0.0,0.0,False
226,1,2021-02-09,0.0,0.0,False
231,1,2021-02-21,0.0,1.0,False
232,1,2021-02-25,0.0,0.0,False
240,1,2021-03-24,0.0,0.0,False
248,4,2021-05-01,1.0,1.0,True
254,2,2021-05-31,0.0,0.0,True
258,1,2021-06-13,1.0,1.0,False
298,1,2021-06-14,0.0,0.0,False
259,2,2021-06-17,0.0,1.0,True
263,9,2021-07-11,0.0,0.0,True
264,8,2021-07-11,0.0,0.0,True
268,1,2021-07-18,0.0,0.0,False
270,1,2021-08-04,1.0,1.0,False
273,3,2021-08-15,1.0,1.0,True
276,1,2021-09-09,0.0,0.0,False
282,1,2021-09-29,0.0,1.0,False
284,1,2021-10-01,1.0,0.0,False
293,1,2021-11-11,1.0,1.0,False
296,1,2021-12-17,1.0,0.0,False
