medicare_id,attacked,attack_date,er_diversion,cancel_delay,threat_id,nearest_neighbor,origin_threat_id1,origin_threat_id2,origin_threat_id3,origin_threat_id4,origin_threat_id5,origin_threat_id6,origin_threat_id7
10045,1,10/1/2019,1,0,127,0,,,,,,,
10092,1,10/1/2019,1,0,127,0,,,,,,,
10092,1,10/1/2019,1,0,127,0,,,,,,,
10144,1,7/9/2019,0,0,113,0,,,,,,,
50039,1,1/2/2020,0,1,139,0,,,,,,,
50063,1,2/5/2016,1,0,3,0,,,,,,,
50077,1,5/1/2021,1,1,248,0,,,,,,,
50077,1,5/1/2021,1,1,248,0,,,,,,,
50204,1,9/27/2020,1,1,188,0,,,,,,,
50324,1,5/1/2021,1,1,248,0,,,,,,,
50329,1,9/27/2020,1,1,188,0,,,,,,,
50424,1,5/1/2021,1,1,248,0,,,,,,,
50503,1,5/1/2021,1,1,248,0,,,,,,,
50586,1,3/18/2016,0,0,4,0,,,,,,,
50696,1,8/1/2016,0,0,21,0,,,,,,,
50701,1,9/27/2020,1,1,188,0,,,,,,,
50701,1,9/27/2020,1,1,188,0,,,,,,,
50709,1,3/18/2016,0,0,4,0,,,,,,,
50757,1,3/31/2016,0,0,8,0,,,,,,,
50775,1,9/27/2020,1,1,188,0,,,,,,,
60020,1,4/21/2020,0,1,155,0,,,,,,,
61307,1,4/9/2020,0,0,150,0,,,,,,,
61312,1,6/2/2019,0,0,339,0,,,,,,,
90001,1,9/27/2020,1,1,188,0,,,,,,,
90004,1,3/28/2016,0,1,7,0,,,,,,,
90011,1,3/28/2016,0,1,7,0,,,,,,,
100035,1,9/27/2020,1,1,188,0,,,,,,,
100084,1,5/31/2021,0,0,254,0,,,,,,,
100275,1,9/27/2020,1,1,188,0,,,,,,,
100290,1,5/31/2021,0,0,254,0,,,,,,,
100299,1,9/27/2020,1,1,188,0,,,,,,,
110006,1,4/12/2020,0,0,153,0,,,,,,,
110024,1,6/17/2021,0,1,259,0,,,,,,,
110043,1,6/17/2021,0,1,259,0,,,,,,,
110104,1,1/27/2021,0,0,222,0,,,,,,,
110230,1,12/30/2016,0,0,36,0,,,,,,,
140143,1,2/21/2021,0,1,231,0,,,,,,,
150001,1,10/1/2021,1,0,284,0,,,,,,,
150018,1,10/5/2020,0,0,192,0,,,,,,,
150024,1,8/4/2021,1,1,270,0,,,,,,,
150037,1,1/11/2018,0,0,2,0,,,,,,,
150058,1,10/5/2020,0,0,192,0,,,,,,,
150065,1,9/29/2021,0,1,282,0,,,,,,,
150069,1,4/5/2016,0,0,9,0,,,,,,,
180051,1,5/17/2016,0,0,11,0,,,,,,,
180056,1,3/18/2016,0,0,239,0,,,,,,,
180067,1,2/8/2020,0,0,142,0,,,,,,,
180067,1,2/8/2020,0,0,142,0,,,,,,,
210015,1,3/28/2016,0,1,7,0,,,,,,,
210018,1,3/28/2016,0,1,7,0,,,,,,,
210024,1,3/28/2016,0,1,7,0,,,,,,,
210028,1,3/28/2016,0,1,7,0,,,,,,,
210034,1,3/28/2016,0,1,7,0,,,,,,,
210044,1,12/6/2020,0,1,208,0,,,,,,,
210056,1,3/28/2016,0,1,7,0,,,,,,,
210062,1,3/28/2016,0,1,7,0,,,,,,,
220008,1,2/9/2021,0,0,226,0,,,,,,,
220010,1,9/19/2020,1,0,353,0,,,,,,,
220071,1,6/24/2019,0,0,342,0,,,,,,,
230055,1,10/17/2020,0,0,194,0,,,,,,,
240052,1,12/22/2020,0,0,212,0,,,,,,,
250001,1,5/7/2017,0,0,317,0,,,,,,,
260047,1,12/17/2021,1,0,296,0,,,,,,,
260048,1,8/6/2019,0,0,117,0,,,,,,,
260113,1,9/9/2021,0,0,276,0,,,,,,,
261305,1,7/18/2021,0,0,268,0,,,,,,,
261324,1,7/9/2018,1,0,80,0,,,,,,,
280013,1,9/20/2020,0,1,186,0,,,,,,,
280032,1,9/20/2020,0,1,186,0,,,,,,,
280065,1,11/25/2019,0,1,132,0,,,,,,,
280065,1,9/20/2020,0,1,186,0,,,,,,,
280125,1,9/20/2020,0,1,186,0,,,,,,,
290007,1,6/14/2021,0,0,298,1,188,188,,,,,
290021,1,9/27/2020,1,1,188,1,298,,,,,,
290022,1,9/27/2020,1,1,188,0,,,,,,,
290032,1,9/27/2020,1,1,188,0,,,,,,,
290032,1,9/27/2020,1,1,188,0,,,,,,,
290041,1,9/27/2020,1,1,188,0,,,,,,,
290046,1,9/27/2020,1,1,188,0,,,,,,,
290054,1,9/27/2020,1,1,188,0,,,,,,,
290057,1,9/27/2020,1,1,188,0,,,,,,,
291311,1,9/27/2020,1,1,188,0,,,,,,,
310001,1,11/29/2019,0,1,133,0,,,,,,,
310003,1,11/29/2019,0,1,133,0,,,,,,,
310034,1,11/29/2019,0,1,133,0,,,,,,,
310039,1,11/29/2019,0,1,133,0,,,,,,,
310039,1,11/29/2019,0,1,133,0,,,,,,,
310052,1,11/29/2019,0,1,133,0,,,,,,,
310054,1,11/29/2019,0,1,133,0,,,,,,,
310073,1,11/29/2019,0,1,133,0,,,,,,,
310108,1,11/29/2019,0,1,133,0,,,,,,,
310112,1,11/29/2019,0,1,133,0,,,,,,,
310113,1,11/29/2019,0,1,133,0,,,,,,,
310119,1,9/14/2020,0,0,214,0,,,,,,,
310130,1,11/29/2019,0,1,133,0,,,,,,,
320038,1,2/7/2021,0,0,228,0,,,,,,,
330056,1,7/1/2019,0,0,343,0,,,,,,,
330157,1,7/25/2020,0,0,175,0,,,,,,,
330197,1,10/27/2020,1,0,198,0,,,,,,,
330221,1,10/28/2020,0,0,200,0,,,,,,,
330223,1,10/27/2020,1,0,198,0,,,,,,,
331315,1,10/27/2020,1,0,198,0,,,,,,,
360008,1,11/11/2021,1,1,293,0,,,,,,,
360080,1,11/23/2018,1,0,90,0,,,,,,,
360125,1,9/21/2020,1,1,354,0,,,,,,,
360147,1,8/15/2021,1,1,273,0,,,,,,,
361319,1,8/15/2021,1,1,273,0,,,,,,,
370025,1,9/7/2016,0,0,28,0,,,,,,,
370026,1,9/27/2020,1,1,188,0,,,,,,,
370049,1,6/13/2021,1,1,258,0,,,,,,,
370091,1,9/7/2016,0,0,28,0,,,,,,,
370091,1,9/7/2016,0,0,28,0,,,,,,,
370218,1,9/7/2016,0,0,28,0,,,,,,,
371324,1,3/24/2021,0,0,240,0,,,,,,,
380004,1,7/11/2021,0,0,263,0,,,,,,,
380007,1,7/11/2021,0,0,263,0,,,,,,,
380014,1,7/11/2021,0,0,263,0,,,,,,,
380025,1,7/11/2021,0,0,263,0,,,,,,,
380037,1,7/11/2021,0,0,263,0,,,,,,,
380038,1,7/11/2021,0,0,263,0,,,,,,,
380050,1,10/27/2020,0,1,197,0,,,,,,,
380060,1,7/11/2021,0,0,263,0,,,,,,,
380061,1,7/11/2021,0,0,263,0,,,,,,,
380089,1,7/11/2021,0,0,263,0,,,,,,,
390036,1,6/27/2017,0,1,54,0,,,,,,,
390037,1,6/27/2017,0,1,54,0,,,,,,,
390081,1,6/14/2020,0,0,166,0,,,,,,,
390180,1,6/14/2020,0,0,166,0,,,,,,,
390180,1,6/14/2020,0,0,166,0,,,,,,,
390180,1,6/14/2020,0,0,166,0,,,,,,,
410009,1,6/16/2020,0,0,167,0,,,,,,,
420020,1,12/12/2019,0,1,135,0,,,,,,,
420053,1,2/25/2021,0,0,232,0,,,,,,,
420082,1,9/27/2020,1,1,188,0,,,,,,,
420098,1,12/12/2019,0,1,135,0,,,,,,,
440030,1,7/11/2021,0,0,264,0,,,,,,,
440031,1,7/11/2021,0,0,264,0,,,,,,,
440057,1,7/11/2021,0,0,264,0,,,,,,,
440081,1,7/11/2021,0,0,264,0,,,,,,,
440110,1,7/11/2021,0,0,264,0,,,,,,,
440125,1,7/11/2021,0,0,264,0,,,,,,,
440173,1,7/11/2021,0,0,264,0,,,,,,,
440185,1,7/11/2021,0,0,264,0,,,,,,,
450080,1,1/15/2016,0,0,1,0,,,,,,,
450092,1,9/27/2020,1,1,188,0,,,,,,,
450119,1,9/27/2020,1,1,188,0,,,,,,,
450119,1,9/27/2020,1,1,188,0,,,,,,,
450119,1,9/27/2020,1,1,188,0,,,,,,,
450209,1,9/27/2020,1,1,188,0,,,,,,,
450229,1,11/9/2020,0,1,203,0,,,,,,,
450324,1,9/27/2020,1,1,188,0,,,,,,,
450641,1,2/3/2021,0,0,358,0,,,,,,,
450803,1,7/25/2020,0,0,174,0,,,,,,,
470003,1,10/28/2020,0,1,199,0,,,,,,,
500031,1,6/15/2019,0,0,110,0,,,,,,,
501319,1,1/1/2016,0,0,6,0,,,,,,,
510012,1,9/1/2019,0,0,122,0,,,,,,,
510039,1,11/23/2018,1,0,90,0,,,,,,,
511304,1,8/15/2021,1,1,273,0,,,,,,,
530002,1,9/20/2019,1,1,124,0,,,,,,,
10001,0,,,,,0,,,,,,,
10005,0,,,,,0,,,,,,,
10006,0,,,,,0,,,,,,,
10007,0,,,,,0,,,,,,,
10008,0,,,,,0,,,,,,,
10010,0,,,,,0,,,,,,,
10011,0,,,,,0,,,,,,,
10012,0,,,,,0,,,,,,,
10016,0,,,,,0,,,,,,,
10019,0,,,,,0,,,,,,,
10021,0,,,,,0,,,,,,,
10022,0,,,,,0,,,,,,,
10023,0,,,,,0,,,,,,,
10024,0,,,,,0,,,,,,,
10029,0,,,,,0,,,,,,,
10033,0,,,,,0,,,,,,,
10034,0,,,,,0,,,,,,,
10035,0,,,,,0,,,,,,,
10036,0,,,,,0,,,,,,,
10038,0,,,,,0,,,,,,,
10039,0,,,,,0,,,,,,,
10040,0,,,,,0,,,,,,,
10044,0,,,,,0,,,,,,,
10046,0,,,,,0,,,,,,,
10049,0,,,,,0,,,,,,,
10051,0,,,,,0,,,,,,,
10052,0,,,,,0,,,,,,,
10055,0,,,,,0,,,,,,,
10056,0,,,,,0,,,,,,,
10058,0,,,,,1,127,127,127,,,,
10059,0,,,,,0,,,,,,,
10061,0,,,,,0,,,,,,,
10062,0,,,,,0,,,,,,,
10065,0,,,,,0,,,,,,,
10069,0,,,,,0,,,,,,,
10073,0,,,,,0,,,,,,,
10078,0,,,,,0,,,,,,,
10079,0,,,,,0,,,,,,,
10083,0,,,,,0,,,,,,,
10085,0,,,,,0,,,,,,,
10086,0,,,,,0,,,,,,,
10087,0,,,,,0,,,,,,,
10089,0,,,,,0,,,,,,,
10090,0,,,,,0,,,,,,,
10091,0,,,,,0,,,,,,,
10095,0,,,,,0,,,,,,,
10097,0,,,,,0,,,,,,,
10099,0,,,,,0,,,,,,,
10100,0,,,,,0,,,,,,,
10101,0,,,,,0,,,,,,,
10103,0,,,,,0,,,,,,,
10104,0,,,,,0,,,,,,,
10108,0,,,,,0,,,,,,,
10110,0,,,,,0,,,,,,,
10112,0,,,,,0,,,,,,,
10113,0,,,,,1,113,,,,,,
10114,0,,,,,0,,,,,,,
10118,0,,,,,0,,,,,,,
10120,0,,,,,0,,,,,,,
10125,0,,,,,0,,,,,,,
10126,0,,,,,0,,,,,,,
10128,0,,,,,0,,,,,,,
10129,0,,,,,0,,,,,,,
10130,0,,,,,0,,,,,,,
10131,0,,,,,0,,,,,,,
10138,0,,,,,0,,,,,,,
10139,0,,,,,0,,,,,,,
10148,0,,,,,0,,,,,,,
10149,0,,,,,0,,,,,,,
10150,0,,,,,0,,,,,,,
10157,0,,,,,0,,,,,,,
10158,0,,,,,0,,,,,,,
10164,0,,,,,0,,,,,,,
10168,0,,,,,0,,,,,,,
10169,0,,,,,0,,,,,,,
10173,0,,,,,0,,,,,,,
11300,0,,,,,0,,,,,,,
11302,0,,,,,0,,,,,,,
11304,0,,,,,0,,,,,,,
11305,0,,,,,0,,,,,,,
11306,0,,,,,0,,,,,,,
20001,0,,,,,0,,,,,,,
20006,0,,,,,0,,,,,,,
20008,0,,,,,0,,,,,,,
20012,0,,,,,0,,,,,,,
20017,0,,,,,0,,,,,,,
20018,0,,,,,0,,,,,,,
20024,0,,,,,0,,,,,,,
20026,0,,,,,0,,,,,,,
21301,0,,,,,0,,,,,,,
21302,0,,,,,0,,,,,,,
21304,0,,,,,0,,,,,,,
21305,0,,,,,0,,,,,,,
21306,0,,,,,0,,,,,,,
21307,0,,,,,0,,,,,,,
21308,0,,,,,0,,,,,,,
21309,0,,,,,0,,,,,,,
21310,0,,,,,0,,,,,,,
21311,0,,,,,0,,,,,,,
21312,0,,,,,0,,,,,,,
21313,0,,,,,0,,,,,,,
21314,0,,,,,0,,,,,,,
30002,0,,,,,0,,,,,,,
30006,0,,,,,0,,,,,,,
30007,0,,,,,0,,,,,,,
30010,0,,,,,0,,,,,,,
30011,0,,,,,0,,,,,,,
30012,0,,,,,0,,,,,,,
30013,0,,,,,0,,,,,,,
30014,0,,,,,0,,,,,,,
30016,0,,,,,0,,,,,,,
30022,0,,,,,0,,,,,,,
30023,0,,,,,0,,,,,,,
30024,0,,,,,0,,,,,,,
30030,0,,,,,0,,,,,,,
30036,0,,,,,0,,,,,,,
30038,0,,,,,0,,,,,,,
30043,0,,,,,0,,,,,,,
30055,0,,,,,0,,,,,,,
30061,0,,,,,0,,,,,,,
30062,0,,,,,0,,,,,,,
30064,0,,,,,0,,,,,,,
30065,0,,,,,0,,,,,,,
30068,0,,,,,0,,,,,,,
30069,0,,,,,0,,,,,,,
30071,0,,,,,0,,,,,,,
30073,0,,,,,0,,,,,,,
30074,0,,,,,0,,,,,,,
30077,0,,,,,0,,,,,,,
30078,0,,,,,0,,,,,,,
30083,0,,,,,0,,,,,,,
30084,0,,,,,0,,,,,,,
30085,0,,,,,0,,,,,,,
30087,0,,,,,0,,,,,,,
30088,0,,,,,0,,,,,,,
30089,0,,,,,0,,,,,,,
30092,0,,,,,0,,,,,,,
30093,0,,,,,0,,,,,,,
30094,0,,,,,0,,,,,,,
30101,0,,,,,0,,,,,,,
30103,0,,,,,0,,,,,,,
30110,0,,,,,0,,,,,,,
30111,0,,,,,0,,,,,,,
30113,0,,,,,0,,,,,,,
30114,0,,,,,0,,,,,,,
30115,0,,,,,0,,,,,,,
30117,0,,,,,0,,,,,,,
30119,0,,,,,0,,,,,,,
