facility,profile,portfolio,n,mean_hours_lost,hours_ci95_lo,hours_ci95_hi,baseline_mean_hours_lost,relative_reduction_hours,catastrophic_prob,baseline_catastrophic_prob,absolute_risk_reduction_catastrophic,cliffs_delta_vs_baseline,mannwhitney_p,mannwhitney_p_holm,significant_holm_05
regional_hospital,high_capacity,basic_segmentation,6,1.033333333,0,3.1,19.22083333,0.9462388901,0,0.3333333333,0.3333333333,-0.5555555556,0.08982335956,1,0
regional_hospital,high_capacity,fast_detection,6,0.3666666667,0,1.1,19.22083333,0.9809234771,0,0.3333333333,0.3333333333,-0.5555555556,0.08982335956,1,0
regional_hospital,high_capacity,full_defense,6,3.9,0,8.566666667,19.22083333,0.7970951658,0,0.3333333333,0.3333333333,-0.3888888889,0.2665538694,1,0
regional_hospital,high_capacity,isolated_backups,6,13.84583333,4.365416667,24.90416667,19.22083333,0.279644483,0.1666666667,0.3333333333,0.1666666667,0.05555555556,0.9357362806,1,0
regional_hospital,high_capacity,patch_90,6,4.633333333,0.6,9.166666667,19.22083333,0.7589421201,0,0.3333333333,0.3333333333,-0.1944444444,0.6242061148,1,0
regional_hospital,high_capacity,profile_baseline,6,0.9,0.2333333333,1.766666667,19.22083333,0.9531758075,0,0.3333333333,0.3333333333,-0.4444444444,0.2121631868,1,0
regional_hospital,intermediate_capacity,basic_segmentation,6,134.9958333,64.9790625,204.8708333,165.1041667,0.1823596215,0.6666666667,0.8333333333,0.1666666667,-0.1111111111,0.8181818182,1,0
regional_hospital,intermediate_capacity,fast_detection,6,76.3625,30.20833333,118,165.1041667,0.537488959,0.6666666667,0.8333333333,0.1666666667,-0.6666666667,0.06493506494,1,0
regional_hospital,intermediate_capacity,full_defense,6,2.066666667,0,5.2,165.1041667,0.9874826498,0,0.8333333333,0.8333333333,-0.7777777778,0.02499206254,0.7497618762,0
regional_hospital,intermediate_capacity,isolated_backups,6,138.4375,119.7541667,158.34625,165.1041667,0.1615141956,1,0.8333333333,-0.1666666667,-0.5555555556,0.132034632,1,0
regional_hospital,intermediate_capacity,patch_90,6,131.325,63.44166667,198.025,165.1041667,0.2045930599,0.6666666667,0.8333333333,0.1666666667,-0.1666666667,0.6991341991,1,0
regional_hospital,intermediate_capacity,profile_baseline,6,206.0125,193.1833333,217.7458333,165.1041667,-0.2477728707,1,0.8333333333,-0.1666666667,0.2777777778,0.4848484848,1,0
regional_hospital,resource_constrained,basic_segmentation,6,235.1416667,225.6416667,241.9541667,245.1916667,0.04098834245,1,1,0,-0.6111111111,0.09307359307,1,0
regional_hospital,resource_constrained,fast_detection,6,135.625,66.27916667,203.1333333,245.1916667,0.446861299,0.6666666667,1,0.3333333333,-1,0.002164502165,0.07792207792,0
regional_hospital,resource_constrained,full_defense,6,12.62083333,1.5,32.89583333,245.1916667,0.9485266628,0.1666666667,1,0.8333333333,-1,0.002164502165,0.07792207792,0
regional_hospital,resource_constrained,isolated_backups,6,216.4458333,211.0583333,220.8135417,245.1916667,0.117238215,1,1,0,-1,0.002164502165,0.07792207792,0
regional_hospital,resource_constrained,patch_90,6,202.6708333,125.5791667,245.625,245.1916667,0.173418754,0.8333333333,1,0.1666666667,-0.3888888889,0.3095238095,1,0
regional_hospital,resource_constrained,profile_baseline,6,243.8,240.0916667,247.0379167,245.1916667,0.005675831832,1,1,0,-0.1111111111,0.8181818182,1,0
small_clinic,high_capacity,basic_segmentation,6,0,0,0,14.17916667,1,0,0.5,0.5,-0.5,0.07400996999,1,0
small_clinic,high_capacity,fast_detection,6,0.4666666667,0,1.25,14.17916667,0.9670878636,0,0.5,0.5,-0.3333333333,0.3260575215,1,0
small_clinic,high_capacity,full_defense,6,0.4666666667,0,1,14.17916667,0.9670878636,0,0.5,0.5,-0.3333333333,0.3260575215,1,0
small_clinic,high_capacity,isolated_backups,6,4.995833333,0.4625,10.63333333,14.17916667,0.647663826,0.3333333333,0.5,0.1666666667,-0.1111111111,0.8033156254,1,0
small_clinic,high_capacity,patch_90,6,15.04166667,0.45,37.79166667,14.17916667,-0.06082868058,0.5,0.5,0,-0.02777777778,1,1,0
small_clinic,high_capacity,profile_baseline,6,0,0,0,14.17916667,1,0,0.5,0.5,-0.5,0.07400996999,1,0
small_clinic,intermediate_capacity,basic_segmentation,6,60.19166667,6.558333333,122.8041667,155.0541667,0.6118023271,0.6666666667,1,0.3333333333,-0.6111111111,0.09307359307,1,0
small_clinic,intermediate_capacity,fast_detection,6,47.92916667,10.95833333,86.90416667,155.0541667,0.690887593,0.5,1,0.5,-0.9444444444,0.007795826617,0.2416706251,0
small_clinic,intermediate_capacity,full_defense,6,0,0,0,155.0541667,1,0,1,1,-1,0.00277843011,0.09168819363,0
small_clinic,intermediate_capacity,isolated_backups,6,90.71666667,35.90416667,145.5291667,155.0541667,0.4149356408,0.6666666667,1,0.3333333333,-0.5555555556,0.1275377093,1,0
small_clinic,intermediate_capacity,patch_90,6,84.99583333,25.47083333,146.9541667,155.0541667,0.4518313493,0.5,1,0.5,-0.3333333333,0.3751171348,1,0
small_clinic,intermediate_capacity,profile_baseline,6,18.30416667,0.3,50.4125,155.0541667,0.8819498562,0.1666666667,1,0.8333333333,-1,0.004771821714,0.1526982948,0
small_clinic,resource_constrained,basic_segmentation,6,231.9666667,216.05,246.3,200.6125,-0.1562921885,1,0.8333333333,-0.1666666667,0.05555555556,0.9372294372,1,0
small_clinic,resource_constrained,fast_detection,6,156.0958333,87.88333333,206.3208333,200.6125,0.2219037531,0.8333333333,0.8333333333,0,-0.5833333333,0.1086945808,1,0
small_clinic,resource_constrained,full_defense,6,0.9666666667,0.2,2.1,200.6125,0.9951814236,0,0.8333333333,0.8333333333,-0.75,0.03376297755,0.979126349,0
small_clinic,resource_constrained,isolated_backups,6,189.0416667,173.0458333,204.4708333,200.6125,0.05767752923,1,0.8333333333,-0.1666666667,-0.6111111111,0.09307359307,1,0
small_clinic,resource_constrained,patch_90,6,222.1333333,201.7708333,236.475,200.6125,-0.107275635,1,0.8333333333,-0.1666666667,-0.3888888889,0.3095238095,1,0
small_clinic,resource_constrained,profile_baseline,6,224.5708333,208.328125,242.0166667,200.6125,-0.1194259248,1,0.8333333333,-0.1666666667,-0.2222222222,0.5887445887,1,0
