profile,budget,cost_scale,criterion,portfolio,description,cost,mean_hours_lost,catastrophic_prob,hours_preserved_per_point,has_basic_segmentation,has_least_privilege,has_patch_upgrade,has_detection_improvement,has_rapid_isolation,has_protected_backups,has_identity_controls
resource_constrained,5,0.5,min_expected_disruption,seg-flat|patch+1|det1|iso0|bak-isolated|idm0,segmentation=flat; patch+1 levels; faster detection; backups=isolated,3.5,0.7,0.0,71.08928571428571,0,0,1,1,0,1,0
resource_constrained,5,0.5,min_catastrophic_prob,seg-basic|patch+1|det1|iso0|bak-isolated|idm0,segmentation=basic; patch+1 levels; faster detection; backups=isolated,5.0,0.7,0.0,49.7625,1,0,1,1,0,1,0
resource_constrained,5,0.5,max_hours_preserved_per_point,seg-flat|patch+0|det1|iso0|bak-connected|idm0,segmentation=flat; faster detection; backups=connected,1.5,70.5,0.5,119.34166666666665,0,0,0,1,0,0,0
resource_constrained,5,0.5,best_balanced,seg-flat|patch+1|det1|iso0|bak-isolated|idm0,segmentation=flat; patch+1 levels; faster detection; backups=isolated,3.5,0.7,0.0,71.08928571428571,0,0,1,1,0,1,0
resource_constrained,10,0.5,min_expected_disruption,seg-basic|patch+1|det1|iso1|bak-isolated|idm0,segmentation=basic; patch+1 levels; faster detection; rapid isolation; backups=isolated,7.5,0.0,0.0,33.26833333333333,1,0,1,1,1,1,0
resource_constrained,10,0.5,min_catastrophic_prob,seg-basic|patch+1|det1|iso1|bak-isolated|idm0,segmentation=basic; patch+1 levels; faster detection; rapid isolation; backups=isolated,7.5,0.0,0.0,33.26833333333333,1,0,1,1,1,1,0
resource_constrained,10,0.5,max_hours_preserved_per_point,seg-flat|patch+0|det1|iso0|bak-connected|idm0,segmentation=flat; faster detection; backups=connected,1.5,70.5,0.5,119.34166666666665,0,0,0,1,0,0,0
resource_constrained,10,0.5,best_balanced,seg-basic|patch+1|det1|iso1|bak-isolated|idm0,segmentation=basic; patch+1 levels; faster detection; rapid isolation; backups=isolated,7.5,0.0,0.0,33.26833333333333,1,0,1,1,1,1,0
resource_constrained,15,0.5,min_expected_disruption,seg-basic|patch+1|det1|iso1|bak-isolated|idm0,segmentation=basic; patch+1 levels; faster detection; rapid isolation; backups=isolated,7.5,0.0,0.0,33.26833333333333,1,0,1,1,1,1,0
resource_constrained,15,0.5,min_catastrophic_prob,seg-basic|patch+1|det1|iso1|bak-isolated|idm0,segmentation=basic; patch+1 levels; faster detection; rapid isolation; backups=isolated,7.5,0.0,0.0,33.26833333333333,1,0,1,1,1,1,0
resource_constrained,15,0.5,max_hours_preserved_per_point,seg-flat|patch+0|det1|iso0|bak-connected|idm0,segmentation=flat; faster detection; backups=connected,1.5,70.5,0.5,119.34166666666665,0,0,0,1,0,0,0
resource_constrained,15,0.5,best_balanced,seg-basic|patch+1|det1|iso1|bak-isolated|idm0,segmentation=basic; patch+1 levels; faster detection; rapid isolation; backups=isolated,7.5,0.0,0.0,33.26833333333333,1,0,1,1,1,1,0
resource_constrained,5,0.75,min_expected_disruption,seg-flat|patch+0|det1|iso0|bak-connected|idm0,segmentation=flat; faster detection; backups=connected,2.25,70.5,0.5,79.5611111111111,0,0,0,1,0,0,0
resource_constrained,5,0.75,min_catastrophic_prob,seg-flat|patch+0|det1|iso0|bak-connected|idm0,segmentation=flat; faster detection; backups=connected,2.25,70.5,0.5,79.5611111111111,0,0,0,1,0,0,0
resource_constrained,5,0.75,max_hours_preserved_per_point,seg-flat|patch+0|det1|iso0|bak-connected|idm0,segmentation=flat; faster detection; backups=connected,2.25,70.5,0.5,79.5611111111111,0,0,0,1,0,0,0
resource_constrained,5,0.75,best_balanced,seg-flat|patch+0|det1|iso0|bak-connected|idm0,segmentation=flat; faster detection; backups=connected,2.25,70.5,0.5,79.5611111111111,0,0,0,1,0,0,0
resource_constrained,10,0.75,min_expected_disruption,seg-least_privilege|patch+1|det1|iso0|bak-isolated|idm0,segmentation=least_privilege; patch+1 levels; faster detection; backups=isolated,9.0,0.4,0.0,27.679166666666664,0,1,1,1,0,1,0
resource_constrained,10,0.75,min_catastrophic_prob,seg-least_privilege|patch+1|det1|iso0|bak-isolated|idm0,segmentation=least_privilege; patch+1 levels; faster detection; backups=isolated,9.0,0.4,0.0,27.679166666666664,0,1,1,1,0,1,0
resource_constrained,10,0.75,max_hours_preserved_per_point,seg-flat|patch+0|det1|iso0|bak-connected|idm0,segmentation=flat; faster detection; backups=connected,2.25,70.5,0.5,79.5611111111111,0,0,0,1,0,0,0
resource_constrained,10,0.75,best_balanced,seg-least_privilege|patch+1|det1|iso0|bak-isolated|idm0,segmentation=least_privilege; patch+1 levels; faster detection; backups=isolated,9.0,0.4,0.0,27.679166666666664,0,1,1,1,0,1,0
resource_constrained,15,0.75,min_expected_disruption,seg-basic|patch+1|det1|iso1|bak-isolated|idm0,segmentation=basic; patch+1 levels; faster detection; rapid isolation; backups=isolated,11.25,0.0,0.0,22.17888888888889,1,0,1,1,1,1,0
resource_constrained,15,0.75,min_catastrophic_prob,seg-basic|patch+1|det1|iso1|bak-isolated|idm0,segmentation=basic; patch+1 levels; faster detection; rapid isolation; backups=isolated,11.25,0.0,0.0,22.17888888888889,1,0,1,1,1,1,0
