facility,portfolio,metric,kruskal_h,kruskal_p,n_groups
regional_hospital,baseline_flat,weighted_service_hours_lost,13.40034542,0.001230699328,3
regional_hospital,basic_segmentation,weighted_service_hours_lost,14.62943449,0.0006656695071,3
regional_hospital,fast_detection,weighted_service_hours_lost,11.79908676,0.002740695992,3
regional_hospital,full_defense,weighted_service_hours_lost,1.747444969,0.4173949078,3
regional_hospital,isolated_backups,weighted_service_hours_lost,15.15789474,0.0005110989388,3
regional_hospital,patch_90,weighted_service_hours_lost,11.98898072,0.002492446905,3
regional_hospital,profile_baseline,weighted_service_hours_lost,15.23651452,0.0004913974626,3
small_clinic,baseline_flat,weighted_service_hours_lost,9.9181439,0.007019439202,3
small_clinic,basic_segmentation,weighted_service_hours_lost,15.72591006,0.0003847352848,3
small_clinic,fast_detection,weighted_service_hours_lost,7.763653484,0.02061313589,3
small_clinic,full_defense,weighted_service_hours_lost,3.5640599,0.1682961675,3
small_clinic,isolated_backups,weighted_service_hours_lost,10.25790754,0.005922753788,3
small_clinic,patch_90,weighted_service_hours_lost,10.88740186,0.004323452838,3
small_clinic,profile_baseline,weighted_service_hours_lost,14.0565371,0.0008864653219,3
