facility,profile,portfolio,n,n_no_outage,n_recovered,n_censored_never_recovered,outage_rate,recovery_prob_given_outage,median_recovery_step_recovered,p90_recovery_step_recovered,share_recovered_within_horizon
regional_hospital,high_capacity,baseline_flat,6,2,4,0,0.6666666667,1,125.5,134.5,1
regional_hospital,high_capacity,basic_segmentation,6,5,1,0,0.1666666667,1,157,157,1
regional_hospital,high_capacity,fast_detection,6,5,1,0,0.1666666667,1,12,12,1
regional_hospital,high_capacity,full_defense,6,4,2,0,0.3333333333,1,104,149.6,1
regional_hospital,high_capacity,isolated_backups,6,1,5,0,0.8333333333,1,94,177,1
regional_hospital,high_capacity,patch_90,6,3,3,0,0.5,1,58,118,1
regional_hospital,high_capacity,profile_baseline,6,3,3,0,0.5,1,16,48.8,1
regional_hospital,intermediate_capacity,baseline_flat,6,1,3,2,0.8333333333,0.6,165,166.6,0.6666666667
regional_hospital,intermediate_capacity,basic_segmentation,6,0,3,3,1,0.5,49,138.6,0.5
regional_hospital,intermediate_capacity,fast_detection,6,1,5,0,0.8333333333,1,130,181.4,1
regional_hospital,intermediate_capacity,full_defense,6,4,2,0,0.3333333333,1,100,119.2,1
regional_hospital,intermediate_capacity,isolated_backups,6,0,6,0,1,1,144.5,175.5,1
regional_hospital,intermediate_capacity,patch_90,6,0,4,2,1,0.6666666667,135,182.8,0.6666666667
regional_hospital,intermediate_capacity,profile_baseline,6,0,2,4,1,0.3333333333,178.5,182.1,0.3333333333
regional_hospital,resource_constrained,baseline_flat,6,0,0,6,1,0,,,0
regional_hospital,resource_constrained,basic_segmentation,6,0,0,6,1,0,,,0
regional_hospital,resource_constrained,fast_detection,6,0,4,2,1,0.6666666667,154,179.6,0.6666666667
regional_hospital,resource_constrained,full_defense,6,1,5,0,0.8333333333,1,114,142.4,1
regional_hospital,resource_constrained,isolated_backups,6,0,0,6,1,0,,,0
regional_hospital,resource_constrained,patch_90,6,0,1,5,1,0.1666666667,192,192,0.1666666667
regional_hospital,resource_constrained,profile_baseline,6,0,0,6,1,0,,,0
small_clinic,high_capacity,baseline_flat,6,3,3,0,0.5,1,34,50,1
small_clinic,high_capacity,basic_segmentation,6,6,0,0,0,,,,1
small_clinic,high_capacity,fast_detection,6,4,2,0,0.3333333333,1,3,3,1
small_clinic,high_capacity,full_defense,6,5,1,0,0.1666666667,1,17,17,1
small_clinic,high_capacity,isolated_backups,6,2,4,0,0.6666666667,1,17.5,23.9,1
small_clinic,high_capacity,patch_90,6,3,3,0,0.5,1,21,85,1
small_clinic,high_capacity,profile_baseline,6,6,0,0,0,,,,1
small_clinic,intermediate_capacity,baseline_flat,6,0,4,2,1,0.6666666667,172.5,186.5,0.6666666667
small_clinic,intermediate_capacity,basic_segmentation,6,0,5,1,1,0.8333333333,33,114.8,0.8333333333
small_clinic,intermediate_capacity,fast_detection,6,3,3,0,0.5,1,93,96.2,1
small_clinic,intermediate_capacity,full_defense,6,6,0,0,0,,,,1
small_clinic,intermediate_capacity,isolated_backups,6,2,4,0,0.6666666667,1,132.5,166.8,1
small_clinic,intermediate_capacity,patch_90,6,3,3,0,0.5,1,172,180.8,1
small_clinic,intermediate_capacity,profile_baseline,6,3,3,0,0.5,1,30,76.4,1
small_clinic,resource_constrained,baseline_flat,6,1,1,4,0.8333333333,0.2,170,170,0.3333333333
small_clinic,resource_constrained,basic_segmentation,6,0,1,5,1,0.1666666667,166,166,0.1666666667
small_clinic,resource_constrained,fast_detection,6,1,4,1,0.8333333333,0.8,170.5,178.4,0.8333333333
small_clinic,resource_constrained,full_defense,6,5,1,0,0.1666666667,1,32,32,1
small_clinic,resource_constrained,isolated_backups,6,0,4,2,1,0.6666666667,173,179.6,0.6666666667
small_clinic,resource_constrained,patch_90,6,0,3,3,1,0.5,185,189,0.5
small_clinic,resource_constrained,profile_baseline,6,0,3,3,1,0.5,184,187.2,0.5
