profile,portfolio,entry_point,metric,n,mean,median,std,iqr,p90,p95,ci95_lo,ci95_hi
high_capacity,baseline_flat,internet_facing,weighted_service_hours_lost,4,13.2625,7.25,17.72735057,17.5125,30.735,34.6425,1,29.4125
high_capacity,baseline_flat,internet_facing,catastrophic,4,0.5,0.5,0.5773502692,1,1,1,0,1
high_capacity,baseline_flat,vendor_connection,weighted_service_hours_lost,4,29.1375,17.0125,39.03887219,46.15,67.975,75.25,0,61.89375
high_capacity,baseline_flat,vendor_connection,catastrophic,4,0.5,0.5,0.5773502692,1,1,1,0,1
high_capacity,baseline_flat,workstation,weighted_service_hours_lost,4,7.7,5.3,9.716652373,13,17.32,18.76,0,15.4
high_capacity,baseline_flat,workstation,catastrophic,4,0.25,0,0.5,0.25,0.7,0.85,0,0.75
high_capacity,basic_segmentation,internet_facing,weighted_service_hours_lost,4,0,0,0,0,0,0,0,0
high_capacity,basic_segmentation,internet_facing,catastrophic,4,0,0,0,0,0,0,0,0
high_capacity,basic_segmentation,vendor_connection,weighted_service_hours_lost,4,0,0,0,0,0,0,0,0
high_capacity,basic_segmentation,vendor_connection,catastrophic,4,0,0,0,0,0,0,0,0
high_capacity,basic_segmentation,workstation,weighted_service_hours_lost,4,1.55,0,3.1,1.55,4.34,5.27,0,4.65
high_capacity,basic_segmentation,workstation,catastrophic,4,0,0,0,0,0,0,0,0
high_capacity,fast_detection,internet_facing,weighted_service_hours_lost,4,0.7,0.225,1.120267825,0.925,1.78,2.065,0,1.7625
high_capacity,fast_detection,internet_facing,catastrophic,4,0,0,0,0,0,0,0,0
high_capacity,fast_detection,vendor_connection,weighted_service_hours_lost,4,0,0,0,0,0,0,0,0
high_capacity,fast_detection,vendor_connection,catastrophic,4,0,0,0,0,0,0,0,0
high_capacity,fast_detection,workstation,weighted_service_hours_lost,4,0.55,0,1.1,0.55,1.54,1.87,0,1.65
high_capacity,fast_detection,workstation,catastrophic,4,0,0,0,0,0,0,0,0
high_capacity,full_defense,internet_facing,weighted_service_hours_lost,4,2.35,0,4.7,2.35,6.58,7.99,0,7.05
high_capacity,full_defense,internet_facing,catastrophic,4,0,0,0,0,0,0,0,0
high_capacity,full_defense,vendor_connection,weighted_service_hours_lost,4,0.4,0,0.8,0.4,1.12,1.36,0,1.2
high_capacity,full_defense,vendor_connection,catastrophic,4,0,0,0,0,0,0,0,0
high_capacity,full_defense,workstation,weighted_service_hours_lost,4,3.8,0.6,6.823488844,4.4,10.16,12.08,0,10.5
high_capacity,full_defense,workstation,catastrophic,4,0,0,0,0,0,0,0,0
high_capacity,isolated_backups,internet_facing,weighted_service_hours_lost,4,14.64375,9.9,16.75572508,10.44375,30.2625,34.51875,2.6,31.43125
high_capacity,isolated_backups,internet_facing,catastrophic,4,0.25,0,0.5,0.25,0.7,0.85,0,0.75
high_capacity,isolated_backups,vendor_connection,weighted_service_hours_lost,4,12.65625,15.05,8.711734782,8.99375,19.34,19.67,4.84375,18.9
high_capacity,isolated_backups,vendor_connection,catastrophic,4,0.25,0,0.5,0.25,0.7,0.85,0,0.75
high_capacity,isolated_backups,workstation,weighted_service_hours_lost,4,0.9625,0.8,1.142639488,1.7625,2.055,2.1525,0,1.925
high_capacity,isolated_backups,workstation,catastrophic,4,0.25,0,0.5,0.25,0.7,0.85,0,0.75
high_capacity,patch_90,internet_facing,weighted_service_hours_lost,4,20.05,5.3,33.40913049,25.35,51.9,60.75,0,52.2
high_capacity,patch_90,internet_facing,catastrophic,4,0.25,0,0.5,0.25,0.7,0.85,0,0.75
high_capacity,patch_90,vendor_connection,weighted_service_hours_lost,4,8.5875,8.2,8.563914117,12.5875,16.645,17.2975,1.4,15.775
high_capacity,patch_90,vendor_connection,catastrophic,4,0.25,0,0.5,0.25,0.7,0.85,0,0.75
high_capacity,patch_90,workstation,weighted_service_hours_lost,4,0.875,0.4,1.27377392,1.275,2.13,2.415,0,2.025
high_capacity,patch_90,workstation,catastrophic,4,0.25,0,0.5,0.25,0.7,0.85,0,0.75
high_capacity,profile_baseline,internet_facing,weighted_service_hours_lost,4,0,0,0,0,0,0,0,0
high_capacity,profile_baseline,internet_facing,catastrophic,4,0,0,0,0,0,0,0,0
high_capacity,profile_baseline,vendor_connection,weighted_service_hours_lost,4,1,0.7,1.254325848,1.7,2.24,2.42,0,2
high_capacity,profile_baseline,vendor_connection,catastrophic,4,0,0,0,0,0,0,0,0
high_capacity,profile_baseline,workstation,weighted_service_hours_lost,4,0.35,0,0.7,0.35,0.98,1.19,0,1.05
high_capacity,profile_baseline,workstation,catastrophic,4,0,0,0,0,0,0,0,0
intermediate_capacity,baseline_flat,internet_facing,weighted_service_hours_lost,4,169.34375,160.1375,36.9419047,26.64375,204.275,213.0125,142.3875,205.50625
intermediate_capacity,baseline_flat,internet_facing,catastrophic,4,1,1,0,0,1,1,1,1
intermediate_capacity,baseline_flat,vendor_connection,weighted_service_hours_lost,4,193.375,192.8875,35.06520711,31.275,225.2725,230.77375,163.4875,223.75
intermediate_capacity,baseline_flat,vendor_connection,catastrophic,4,1,1,0,0,1,1,1,1
intermediate_capacity,baseline_flat,workstation,weighted_service_hours_lost,4,117.51875,143.575,84.54507766,93.13125,180.6,181.7625,43.79375,179.05
intermediate_capacity,baseline_flat,workstation,catastrophic,4,0.75,1,0.5,0.25,1,1,0.25,1
intermediate_capacity,basic_segmentation,internet_facing,weighted_service_hours_lost,4,155.1375,201.125,101.8274388,63.7375,213.195,214.26,54.2875,211.775
intermediate_capacity,basic_segmentation,internet_facing,catastrophic,4,1,1,0,0,1,1,1,1
intermediate_capacity,basic_segmentation,vendor_connection,weighted_service_hours_lost,4,97.63125,91.1,104.487506,171.58125,193.3975,197.81125,7.75,187.5125
intermediate_capacity,basic_segmentation,vendor_connection,catastrophic,4,0.75,1,0.5,0.25,1,1,0.25,1
intermediate_capacity,basic_segmentation,workstation,weighted_service_hours_lost,4,40.0125,10.1,65.47661637,34.8125,99.815,118.9325,4,105.9375
intermediate_capacity,basic_segmentation,workstation,catastrophic,4,0.25,0,0.5,0.25,0.7,0.85,0,0.75
intermediate_capacity,fast_detection,internet_facing,weighted_service_hours_lost,4,75.24375,91.325,54.81970591,67.24375,116.9175,116.92125,30.275,116.9125
intermediate_capacity,fast_detection,internet_facing,catastrophic,4,0.75,1,0.5,0.25,1,1,0.25,1
intermediate_capacity,fast_detection,vendor_connection,weighted_service_hours_lost,4,77.2125,96.5125,52.72057038,41.5375,112.5475,114.18625,26.225,110.3625
intermediate_capacity,fast_detection,vendor_connection,catastrophic,4,0.75,1,0.5,0.25,1,1,0.25,1
intermediate_capacity,fast_detection,workstation,weighted_service_hours_lost,4,33.98125,0.4,67.43022126,34.38125,94.8275,114.97625,0,101.34375
intermediate_capacity,fast_detection,workstation,catastrophic,4,0.25,0,0.5,0.25,0.7,0.85,0,0.75
intermediate_capacity,full_defense,internet_facing,weighted_service_hours_lost,4,0,0,0,0,0,0,0,0
intermediate_capacity,full_defense,internet_facing,catastrophic,4,0,0,0,0,0,0,0,0
intermediate_capacity,full_defense,vendor_connection,weighted_service_hours_lost,4,0.75,0,1.5,0.75,2.1,2.55,0,2.25
intermediate_capacity,full_defense,vendor_connection,catastrophic,4,0,0,0,0,0,0,0,0
intermediate_capacity,full_defense,workstation,weighted_service_hours_lost,4,2.35,0,4.7,2.35,6.58,7.99,0,7.05
intermediate_capacity,full_defense,workstation,catastrophic,4,0,0,0,0,0,0,0,0
intermediate_capacity,isolated_backups,internet_facing,weighted_service_hours_lost,4,101.35,116.9125,72.3137752,43.2125,155.24,163.4075,29.28125,157.85625
intermediate_capacity,isolated_backups,internet_facing,catastrophic,4,0.75,1,0.5,0.25,1,1,0.25,1
intermediate_capacity,isolated_backups,vendor_connection,weighted_service_hours_lost,4,148.11875,150.2625,45.02238506,66.01875,188.815,191.02,110.3625,185.875
intermediate_capacity,isolated_backups,vendor_connection,catastrophic,4,1,1,0,0,1,1,1,1
intermediate_capacity,isolated_backups,workstation,weighted_service_hours_lost,4,94.2625,120.7,63.25413853,36.725,131.7275,133.68875,30.64375,131.44375
intermediate_capacity,isolated_backups,workstation,catastrophic,4,0.75,1,0.5,0.25,1,1,0.25,1
intermediate_capacity,patch_90,internet_facing,weighted_service_hours_lost,4,139.14375,167.925,96.83185464,77.83125,209.415,215.07,45.75625,203.75
intermediate_capacity,patch_90,internet_facing,catastrophic,4,0.75,1,0.5,0.25,1,1,0.25,1
intermediate_capacity,patch_90,vendor_connection,weighted_service_hours_lost,4,133.76875,175.425,87.90524817,45.80625,180.335,181.28,45.48125,180.4
intermediate_capacity,patch_90,vendor_connection,catastrophic,4,0.75,1,0.5,0.25,1,1,0.25,1
intermediate_capacity,patch_90,workstation,weighted_service_hours_lost,4,51.56875,6.2,95.05074385,57.76875,139.4325,166.65375,0,145.40625
intermediate_capacity,patch_90,workstation,catastrophic,4,0.25,0,0.5,0.25,0.7,0.85,0,0.75
intermediate_capacity,profile_baseline,internet_facing,weighted_service_hours_lost,4,106.08125,103.625,121.547757,207.00625,213.5875,215.33125,0.9,211.2625
intermediate_capacity,profile_baseline,internet_facing,catastrophic,4,0.5,0.5,0.5773502692,1,1,1,0,1
intermediate_capacity,profile_baseline,vendor_connection,weighted_service_hours_lost,4,101.08125,91.25,117.8175202,192.33125,210.0275,215.92625,0,202.1625
intermediate_capacity,profile_baseline,vendor_connection,catastrophic,4,0.5,0.5,0.5773502692,1,1,1,0,1
intermediate_capacity,profile_baseline,workstation,weighted_service_hours_lost,4,129.3125,143.15,94.68866198,121.225,210.8275,215.48875,54.0125,204.6125
intermediate_capacity,profile_baseline,workstation,catastrophic,4,0.75,1,0.5,0.25,1,1,0.25,1
resource_constrained,baseline_flat,internet_facing,weighted_service_hours_lost,4,248.91875,249.6875,2.972959735,2.59375,251.185,251.38,246.1125,250.95625
resource_constrained,baseline_flat,internet_facing,catastrophic,4,1,1,0,0,1,1,1,1
resource_constrained,baseline_flat,vendor_connection,weighted_service_hours_lost,4,236.78125,246.2125,21.82134252,13.45625,249.575,250.025,215.0375,249.09375
resource_constrained,baseline_flat,vendor_connection,catastrophic,4,1,1,0,0,1,1,1,1
resource_constrained,baseline_flat,workstation,weighted_service_hours_lost,4,183.00625,240.3625,122.1517028,68.46875,249.1475,250.22375,61.03125,247.7125
resource_constrained,baseline_flat,workstation,catastrophic,4,0.75,1,0.5,0.25,1,1,0.25,1
resource_constrained,basic_segmentation,internet_facing,weighted_service_hours_lost,4,240.15,239.6625,9.526082616,8.4,248.9325,250.54125,232.2,248.5875
resource_constrained,basic_segmentation,internet_facing,catastrophic,4,1,1,0,0,1,1,1,1
resource_constrained,basic_segmentation,vendor_connection,weighted_service_hours_lost,4,233.40625,241.1,23.89311595,20.56875,250.485,251.4675,210.70625,249.175
resource_constrained,basic_segmentation,vendor_connection,catastrophic,4,1,1,0,0,1,1,1,1
resource_constrained,basic_segmentation,workstation,weighted_service_hours_lost,4,227.10625,228.175,13.06275518,19.54375,238.65,239.0625,216.1125,238.1
resource_constrained,basic_segmentation,workstation,catastrophic,4,1,1,0,0,1,1,1,1
resource_constrained,fast_detection,internet_facing,weighted_service_hours_lost,4,93.28125,94.675,101.7048126,172.05625,182.2675,183.02125,5.3,181.2625
resource_constrained,fast_detection,internet_facing,catastrophic,4,0.5,0.5,0.5773502692,1,1,1,0,1
resource_constrained,fast_detection,vendor_connection,weighted_service_hours_lost,4,179.31875,164.9,33.20876751,25.13125,211,219.775,159.3375,211.35
resource_constrained,fast_detection,vendor_connection,catastrophic,4,1,1,0,0,1,1,1,1
resource_constrained,fast_detection,workstation,weighted_service_hours_lost,4,164.98125,196.4375,101.4829694,88.69375,238.6125,243.13125,68.93125,232.5875
resource_constrained,fast_detection,workstation,catastrophic,4,0.75,1,0.5,0.25,1,1,0.25,1
resource_constrained,full_defense,internet_facing,weighted_service_hours_lost,4,2.15,1.4,2.768272626,3.55,4.9,5.35,0,4.35
resource_constrained,full_defense,internet_facing,catastrophic,4,0,0,0,0,0,0,0,0
resource_constrained,full_defense,vendor_connection,weighted_service_hours_lost,4,17.48125,2.9,30.30918023,16.18125,45.0675,53.99625,1.75,47.79375
resource_constrained,full_defense,vendor_connection,catastrophic,4,0.25,0,0.5,0.25,0.7,0.85,0,0.75
resource_constrained,full_defense,workstation,weighted_service_hours_lost,4,0.75,0.6,0.9,1.35,1.62,1.71,0,1.5
resource_constrained,full_defense,workstation,catastrophic,4,0,0,0,0,0,0,0,0
resource_constrained,isolated_backups,internet_facing,weighted_service_hours_lost,4,196.59375,205.2,30.9714477,38.98125,220.5,220.5375,171.63125,220.45
resource_constrained,isolated_backups,internet_facing,catastrophic,4,1,1,0,0,1,1,1,1
resource_constrained,isolated_backups,vendor_connection,weighted_service_hours_lost,4,214.7375,219.275,12.13633491,11.1375,222.98,223.115,203.45,222.8
resource_constrained,isolated_backups,vendor_connection,catastrophic,4,1,1,0,0,1,1,1,1
resource_constrained,isolated_backups,workstation,weighted_service_hours_lost,4,196.9,195.2375,14.45214805,22.65,210.5775,211.63875,184.6375,209.1625
resource_constrained,isolated_backups,workstation,catastrophic,4,1,1,0,0,1,1,1,1
resource_constrained,patch_90,internet_facing,weighted_service_hours_lost,4,233.23125,229.5125,14.56839294,15.19375,247.5975,250.47375,222.7,246.225
resource_constrained,patch_90,internet_facing,catastrophic,4,1,1,0,0,1,1,1,1
resource_constrained,patch_90,vendor_connection,weighted_service_hours_lost,4,239.8625,241.5,6.510456333,4.225,244.6275,245.23875,233.39375,244.69375
resource_constrained,patch_90,vendor_connection,catastrophic,4,1,1,0,0,1,1,1,1
resource_constrained,patch_90,workstation,weighted_service_hours_lost,4,164.1125,199.8375,103.8339751,96.975,237.37,239.6725,67.75625,234.3
resource_constrained,patch_90,workstation,catastrophic,4,0.75,1,0.5,0.25,1,1,0.25,1
resource_constrained,profile_baseline,internet_facing,weighted_service_hours_lost,4,226.16875,230.825,23.31598499,24.21875,245.2525,246.80125,205.5125,243.1875
resource_constrained,profile_baseline,internet_facing,catastrophic,4,1,1,0,0,1,1,1,1
resource_constrained,profile_baseline,vendor_connection,weighted_service_hours_lost,4,248.925,249.2625,2.190034246,2.7375,250.8,250.9125,247.18125,250.65
resource_constrained,profile_baseline,vendor_connection,catastrophic,4,1,1,0,0,1,1,1,1
resource_constrained,profile_baseline,workstation,weighted_service_hours_lost,4,227.4625,231.725,18.65695246,19.4,242.3875,243.41875,210.85625,241.0125
resource_constrained,profile_baseline,workstation,catastrophic,4,1,1,0,0,1,1,1,1
