facility,profile,portfolio,metric,n,mean,median,std,iqr,p90,p95,ci95_lo,ci95_hi
regional_hospital,high_capacity,baseline_flat,weighted_service_hours_lost,6,19.22083333,6.3,31.99416516,17.3,51.3625,66.94375,2.1,46.39583333
regional_hospital,high_capacity,baseline_flat,pct_compromised,6,0.1099827121,0.05071770335,0.1353209353,0.1739143551,0.2756825076,0.3030586451,0.02343629492,0.2147233719
regional_hospital,high_capacity,baseline_flat,catastrophic,6,0.3333333333,0,0.5163977795,0.75,1,1,0,0.6666666667
regional_hospital,high_capacity,baseline_flat,total_service_downtime_steps,6,100.3333333,32,170.8820256,85.5,269,354.5,10.66666667,245.6666667
regional_hospital,high_capacity,baseline_flat,backup_compromised,6,0.5,0.5,0.5477225575,1,1,1,0.1666666667,0.8333333333
regional_hospital,high_capacity,baseline_flat,identity_compromised,6,0.3333333333,0,0.5163977795,0.75,1,1,0,0.6666666667
regional_hospital,high_capacity,baseline_flat,recovered_within_horizon,6,1,1,0,0,1,1,1,1
regional_hospital,high_capacity,baseline_flat,pct_clinical_capacity_lost,6,0.08266952614,0.02696078431,0.1285285121,0.09099264703,0.2210477941,0.2758118872,0.008986928105,0.1908190359
regional_hospital,high_capacity,baseline_flat,defensive_isolation_node_steps,6,511.1666667,508,334.3330176,297.25,837.5,912.75,260,738.1916667
regional_hospital,high_capacity,basic_segmentation,weighted_service_hours_lost,6,1.033333333,0,2.531139401,0,3.1,4.65,0,3.1
regional_hospital,high_capacity,basic_segmentation,pct_compromised,6,0.007024732932,0.004742152466,0.004753781966,0.005486066621,0.01285714285,0.01392857143,0.003865144773,0.01078263133
regional_hospital,high_capacity,basic_segmentation,catastrophic,6,0,0,0,0,0,0,0,0
regional_hospital,high_capacity,basic_segmentation,total_service_downtime_steps,6,5.333333333,0,13.06394529,0,16,24,0,16
regional_hospital,high_capacity,basic_segmentation,backup_compromised,6,0,0,0,0,0,0,0,0
regional_hospital,high_capacity,basic_segmentation,identity_compromised,6,0.1666666667,0,0.4082482905,0,0.5,0.75,0,0.5
regional_hospital,high_capacity,basic_segmentation,recovered_within_horizon,6,1,1,0,0,1,1,1,1
regional_hospital,high_capacity,basic_segmentation,pct_clinical_capacity_lost,6,0.00510620915,0,0.01250760694,0,0.01531862745,0.02297794118,0,0.01531862745
regional_hospital,high_capacity,basic_segmentation,defensive_isolation_node_steps,6,256,208,143.5548676,178,428,446,157.3333333,365.3333333
regional_hospital,high_capacity,fast_detection,weighted_service_hours_lost,6,0.3666666667,0,0.898146239,0,1.1,1.65,0,1.1
regional_hospital,high_capacity,fast_detection,pct_compromised,6,0.004840993341,0.004469987229,0.001503323753,0.0004594940973,0.006227499181,0.007004800174,0.004010791939,0.006135916166
regional_hospital,high_capacity,fast_detection,catastrophic,6,0,0,0,0,0,0,0,0
regional_hospital,high_capacity,fast_detection,total_service_downtime_steps,6,2.666666667,0,6.531972647,0,8,12,0,8
regional_hospital,high_capacity,fast_detection,backup_compromised,6,0,0,0,0,0,0,0,0
regional_hospital,high_capacity,fast_detection,identity_compromised,6,0,0,0,0,0,0,0,0
regional_hospital,high_capacity,fast_detection,recovered_within_horizon,6,1,1,0,0,1,1,1,1
regional_hospital,high_capacity,fast_detection,pct_clinical_capacity_lost,6,0.001429738562,0,0.003502129943,0,0.004289215686,0.00643382353,0,0.004289215686
regional_hospital,high_capacity,fast_detection,defensive_isolation_node_steps,6,84,0,205.7571384,0,252,378,0,252
regional_hospital,high_capacity,full_defense,weighted_service_hours_lost,6,3.9,0,6.214499175,7.05,11.7,12.85,0,8.566666667
regional_hospital,high_capacity,full_defense,pct_compromised,6,0.004241533466,0.004218772204,0.0004511445201,0.00081757076,0.004739336493,0.004739336493,0.003921980672,0.004565815063
regional_hospital,high_capacity,full_defense,catastrophic,6,0,0,0,0,0,0,0,0
regional_hospital,high_capacity,full_defense,total_service_downtime_steps,6,20,0,31.89984326,36,60,66,0,44
regional_hospital,high_capacity,full_defense,backup_compromised,6,0,0,0,0,0,0,0,0
regional_hospital,high_capacity,full_defense,identity_compromised,6,0,0,0,0,0,0,0,0
regional_hospital,high_capacity,full_defense,recovered_within_horizon,6,1,1,0,0,1,1,1,1
regional_hospital,high_capacity,full_defense,pct_clinical_capacity_lost,6,0.01858660131,0,0.03014224283,0.03125,0.05575980393,0.06280637255,0,0.04187091504
regional_hospital,high_capacity,full_defense,defensive_isolation_node_steps,6,222.5,76,321.7463287,220,575.5,707.25,37.33333333,486.1666667
regional_hospital,high_capacity,isolated_backups,weighted_service_hours_lost,6,13.84583333,11.35,14.24968786,14.275,29.3875,34.08125,4.365416667,24.90416667
regional_hospital,high_capacity,isolated_backups,pct_compromised,6,0.09385917502,0.0774030146,0.08978437777,0.1503129887,0.1963809882,0.2026986908,0.02974837329,0.1592561978
regional_hospital,high_capacity,isolated_backups,catastrophic,6,0.1666666667,0,0.4082482905,0,0.5,0.75,0,0.5
regional_hospital,high_capacity,isolated_backups,total_service_downtime_steps,6,71.33333333,59,72.92096178,75,151,174.5,22.65833333,127.5
regional_hospital,high_capacity,isolated_backups,backup_compromised,6,0,0,0,0,0,0,0,0
regional_hospital,high_capacity,isolated_backups,identity_compromised,6,0.5,0.5,0.5477225575,1,1,1,0.1666666667,0.8333333333
regional_hospital,high_capacity,isolated_backups,recovered_within_horizon,6,1,1,0,0,1,1,1,1
regional_hospital,high_capacity,isolated_backups,pct_clinical_capacity_lost,6,0.0607128268,0.04963235294,0.06228770674,0.05606617647,0.1276041667,0.1497395833,0.0198120915,0.1094260621
regional_hospital,high_capacity,isolated_backups,defensive_isolation_node_steps,6,557,654.5,364.5270909,451.75,884.5,931.75,293.8333333,807.8333333
regional_hospital,high_capacity,patch_90,weighted_service_hours_lost,6,4.633333333,1.8,5.949677862,8.45,12.1,12.85,0.6,9.166666667
regional_hospital,high_capacity,patch_90,pct_compromised,6,0.005035358423,0.004158884969,0.002445304683,0.0003008249275,0.007164502165,0.008582251082,0.003884672414,0.007047670651
regional_hospital,high_capacity,patch_90,catastrophic,6,0,0,0,0,0,0,0,0
regional_hospital,high_capacity,patch_90,total_service_downtime_steps,6,25.33333333,12,30.9494211,44,64,68,4,49.33333333
regional_hospital,high_capacity,patch_90,backup_compromised,6,0,0,0,0,0,0,0,0
regional_hospital,high_capacity,patch_90,identity_compromised,6,0,0,0,0,0,0,0,0
regional_hospital,high_capacity,patch_90,recovered_within_horizon,6,1,1,0,0,1,1,1,1
regional_hospital,high_capacity,patch_90,pct_clinical_capacity_lost,6,0.01736111111,0.004901960785,0.02366708937,0.03370098039,0.04718137255,0.04993872549,0.001633986928,0.03513071895
regional_hospital,high_capacity,patch_90,defensive_isolation_node_steps,6,325.3333333,336,271.7017973,432,612,646,129.3333333,520
regional_hospital,high_capacity,profile_baseline,weighted_service_hours_lost,6,0.9,0.7,1.078888317,1.4,2,2.3,0.2333333333,1.766666667
regional_hospital,high_capacity,profile_baseline,pct_compromised,6,0.005692066328,0.004819305091,0.00185944154,0.001894542655,0.00797334849,0.008297019073,0.004462131965,0.007126138739
regional_hospital,high_capacity,profile_baseline,catastrophic,6,0,0,0,0,0,0,0,0
regional_hospital,high_capacity,profile_baseline,total_service_downtime_steps,6,5.333333333,4,6.531972647,8,12,14,1.333333333,10.66666667
regional_hospital,high_capacity,profile_baseline,backup_compromised,6,0,0,0,0,0,0,0,0
regional_hospital,high_capacity,profile_baseline,identity_compromised,6,0,0,0,0,0,0,0,0
regional_hospital,high_capacity,profile_baseline,recovered_within_horizon,6,1,1,0,0,1,1,1,1
regional_hospital,high_capacity,profile_baseline,pct_clinical_capacity_lost,6,0.004697712418,0.004289215686,0.005223330004,0.008578431373,0.009803921566,0.01041666666,0.001429738562,0.008374183004
regional_hospital,high_capacity,profile_baseline,defensive_isolation_node_steps,6,153.3333333,132,95.25264651,118,256,284,92,230.6666667
regional_hospital,intermediate_capacity,baseline_flat,weighted_service_hours_lost,6,165.1041667,184.55,85.20276905,44.5,229.0125,232.64375,95.2375,211.7708333
regional_hospital,intermediate_capacity,baseline_flat,pct_compromised,6,0.7337437692,0.8634386447,0.3588529352,0.03541917942,0.911068525,0.9188675958,0.4387601435,0.898590302
regional_hospital,intermediate_capacity,baseline_flat,catastrophic,6,0.8333333333,1,0.4082482905,0,1,1,0.5,1
regional_hospital,intermediate_capacity,baseline_flat,total_service_downtime_steps,6,896.3333333,1009.5,457.7692286,216.75,1225,1242,520,1141.833333
regional_hospital,intermediate_capacity,baseline_flat,backup_compromised,6,0.8333333333,1,0.4082482905,0,1,1,0.5,1
regional_hospital,intermediate_capacity,baseline_flat,identity_compromised,6,0.8333333333,1,0.4082482905,0,1,1,0.5,1
regional_hospital,intermediate_capacity,baseline_flat,recovered_within_horizon,6,0.6666666667,1,0.5163977795,0.75,1,1,0.3333333333,1
regional_hospital,intermediate_capacity,baseline_flat,pct_clinical_capacity_lost,6,0.6415696487,0.7129289215,0.3341668244,0.1879595588,0.9005055147,0.9163219975,0.3684640523,0.8274356617
regional_hospital,intermediate_capacity,baseline_flat,defensive_isolation_node_steps,6,191.5,192,51.60910772,67,242.5,252.75,151.6666667,230.6666667
