facility,profile,portfolio,n,mean_hours_lost,hours_ci95_lo,hours_ci95_hi,baseline_mean_hours_lost,relative_reduction_hours,catastrophic_prob,baseline_catastrophic_prob,absolute_risk_reduction_catastrophic,cliffs_delta_vs_baseline,mannwhitney_p,mannwhitney_p_holm,significant_holm_05
large_hospital,high_capacity,basic_segmentation,125,7.1251999999999995,5.94088,8.387070000000001,30.0068,0.7625471559779783,0.04,0.392,0.35200000000000004,-0.41177600000000003,1.826873110867905e-08,8.403616309992363e-07,1
large_hospital,high_capacity,detection_plus_backups,125,6.1259999999999994,5.072625000000001,7.208334999999999,30.0068,0.7958462748443687,0.064,0.392,0.328,-0.46240000000000003,2.621241976365421e-10,1.3892582474736731e-08,1
large_hospital,high_capacity,fast_detection,125,7.188200000000001,6.072555,8.360359999999998,30.0068,0.7604476318701093,0.04,0.392,0.35200000000000004,-0.39027199999999995,9.632636216094109e-08,3.9493808485985844e-06,1
large_hospital,high_capacity,full_defense,125,6.420000000000001,5.4942400000000005,7.448820000000001,30.0068,0.7860484956743138,0.024,0.392,0.368,-0.4256,6.010451746486934e-09,3.005225873243467e-07,1
large_hospital,high_capacity,identity_controls,125,21.4148,16.882705000000005,26.156724999999994,30.0068,0.2863350973779276,0.336,0.392,0.055999999999999994,-0.13056,0.07450997495215796,1.0,0
large_hospital,high_capacity,isolated_backups,125,17.5024,14.135019999999999,21.219209999999997,30.0068,0.4167188770545342,0.28,0.392,0.11199999999999999,-0.18419200000000002,0.011853185012568292,0.22521051523879757,0
large_hospital,high_capacity,least_privilege,125,6.633400000000001,5.743925000000001,7.569225,30.0068,0.7789367743311515,0.056,0.392,0.336,-0.398784,5.048511170802145e-08,2.1708598034449225e-06,1
large_hospital,high_capacity,patch_90,125,7.574200000000001,5.994045000000001,9.47857,30.0068,0.7475838809869763,0.104,0.392,0.28800000000000003,-0.41644800000000004,1.2597503023445545e-08,5.920826421019406e-07,1
large_hospital,high_capacity,patch_plus_least_privilege,125,6.1792,5.141385,7.2757249999999996,30.0068,0.7940733433755015,0.04,0.392,0.35200000000000004,-0.456576,4.362226050616814e-10,2.2683575463207432e-08,1
large_hospital,high_capacity,profile_baseline,125,6.5054,5.636855,7.392755,30.0068,0.7832024741058693,0.032,0.392,0.36,-0.39968000000000004,4.714206107123891e-08,2.074250687134512e-06,1
large_hospital,high_capacity,seg_detect_backup,125,6.935599999999999,5.9568,7.945414999999999,30.0068,0.768865723769279,0.072,0.392,0.32,-0.39238399999999996,8.23128169074006e-08,3.457138310110825e-06,1
large_hospital,high_capacity,seg_plus_detection,125,6.888400000000001,5.854025000000001,8.019240000000002,30.0068,0.7704387005612061,0.048,0.392,0.34400000000000003,-0.403392,3.536101987067378e-08,1.5912458941803201e-06,1
large_hospital,high_capacity,seg_plus_patch,125,7.4176,6.331550000000001,8.497815,30.0068,0.7528026980551075,0.056,0.392,0.336,-0.37548800000000004,2.8772442605373095e-07,1.0358079337934314e-05,1
large_hospital,intermediate_capacity,basic_segmentation,125,171.25080000000005,155.124025,186.42522499999993,198.13600000000002,0.1356906367343641,0.808,0.896,0.08799999999999997,-0.237888,0.001153811742142612,0.027691481811422686,1
large_hospital,intermediate_capacity,detection_plus_backups,125,74.0392,66.13906999999999,81.658025,198.13600000000002,0.6263213146525619,0.728,0.896,0.16800000000000004,-0.809728,1.8605539881443264e-28,1.4326265708711313e-26,1
large_hospital,intermediate_capacity,fast_detection,125,106.8418,95.50077,117.70364499999998,198.13600000000002,0.46076533290265276,0.76,0.896,0.136,-0.803136,5.061791101444999e-28,3.7963433260837493e-26,1
large_hospital,intermediate_capacity,full_defense,125,7.205599999999999,6.080565000000001,8.345415000000001,198.13600000000002,0.9636330601203213,0.064,0.896,0.8320000000000001,-0.882816,1.6278793417440575e-33,1.4488126141522111e-31,1
large_hospital,intermediate_capacity,identity_controls,125,200.85760000000002,189.78775000000002,211.06963500000003,198.13600000000002,-0.01373601970363788,0.912,0.896,-0.016000000000000014,-0.05715199999999998,0.43530118374616533,1.0,0
large_hospital,intermediate_capacity,isolated_backups,125,160.849,152.17323000000002,168.78681000000003,198.13600000000002,0.18818892074130916,0.936,0.896,-0.040000000000000036,-0.68064,1.3964990162086815e-20,9.07724360535643e-19,1
large_hospital,intermediate_capacity,least_privilege,125,109.3498,93.139385,125.45584000000002,198.13600000000002,0.44810736060079953,0.584,0.896,0.31200000000000006,-0.668416,6.624717245463258e-20,4.173571864641852e-18,1
large_hospital,intermediate_capacity,patch_90,125,159.5158,141.871685,175.35115,198.13600000000002,0.19491763233334683,0.728,0.896,0.16800000000000004,-0.245568,0.0007936000720399091,0.019840001800997726,1
large_hospital,intermediate_capacity,patch_plus_least_privilege,125,14.6808,9.895705000000001,20.139254999999984,198.13600000000002,0.9259054386885776,0.104,0.896,0.792,-0.871552,1.0466592941642635e-32,9.210601788645518e-31,1
large_hospital,intermediate_capacity,profile_baseline,125,173.62359999999998,158.45659500000005,187.63433,198.13600000000002,0.12371502402390297,0.824,0.896,0.07200000000000006,-0.28966400000000003,7.570003007140477e-05,0.002271000902142143,1
large_hospital,intermediate_capacity,seg_detect_backup,125,35.037,26.446045000000005,43.357060000000004,198.13600000000002,0.8231669156538943,0.336,0.896,0.56,-0.853376,2.0060726866442894e-31,1.705161783647646e-29,1
large_hospital,intermediate_capacity,seg_plus_detection,125,45.88020000000001,34.8138,57.21203,198.13600000000002,0.7684408688981306,0.328,0.896,0.5680000000000001,-0.8382080000000001,2.2356762872292805e-30,1.83325455552801e-28,1
large_hospital,intermediate_capacity,seg_plus_patch,125,64.7064,50.70407000000001,79.50133,198.13600000000002,0.6734243146121855,0.4,0.896,0.496,-0.7594879999999999,3.1131655390458366e-25,2.210347532722544e-23,1
large_hospital,resource_constrained,basic_segmentation,125,231.681,225.79019499999998,235.907225,243.53279999999998,0.048666134500157554,0.984,1.0,0.016000000000000014,-0.617792,3.124784870300821e-17,1.937366619586509e-15,1
large_hospital,resource_constrained,detection_plus_backups,125,154.54820000000004,144.85889499999996,163.30584500000003,243.53279999999998,0.3653906167875537,0.904,1.0,0.09599999999999997,-1.0,1.644388447116722e-42,1.9072156102758398e-40,1
large_hospital,resource_constrained,fast_detection,125,199.0086,186.295945,210.11436,243.53279999999998,0.1828262969094922,0.904,1.0,0.09599999999999997,-0.77504,3.291112275997788e-26,2.3696008387184074e-24,1
large_hospital,resource_constrained,full_defense,125,20.748400000000004,14.288334999999998,28.035300000000003,243.53279999999998,0.9148024413959844,0.216,1.0,0.784,-1.0,1.6294601326461753e-42,1.906468355196025e-40,1
large_hospital,resource_constrained,identity_controls,125,239.51940000000002,233.48134000000002,243.64793500000005,243.53279999999998,0.016479915641753235,0.984,1.0,0.016000000000000014,-0.07878399999999997,0.2820217019131164,1.0,0
large_hospital,resource_constrained,isolated_backups,125,214.49179999999998,210.62192000000002,216.83965500000002,243.53279999999998,0.1192488239777147,0.992,1.0,0.008000000000000007,-0.999872,1.680983100856649e-42,1.91632073497658e-40,1
large_hospital,resource_constrained,least_privilege,125,197.2988,184.40777,208.87282999999996,243.53279999999998,0.18984711710291174,0.888,1.0,0.11199999999999999,-0.917888,4.352140178274549e-36,4.134533169360822e-34,1
large_hospital,resource_constrained,patch_90,125,216.02599999999998,205.41861000000003,225.52074999999996,243.53279999999998,0.112949056554189,0.936,1.0,0.06399999999999995,-0.781376,1.300235889111943e-26,9.491721990517186e-25,1
large_hospital,resource_constrained,patch_plus_least_privilege,125,120.57119999999999,106.02915,135.338765,243.53279999999998,0.5049077578051088,0.72,1.0,0.28,-0.982144,4.5574212495970375e-41,5.0131633745567414e-39,1
large_hospital,resource_constrained,profile_baseline,125,236.241,228.06654,242.40958499999996,243.53279999999998,0.029941757332071765,0.968,1.0,0.03200000000000003,-0.012287999999999966,0.8673276867194378,1.0,0
large_hospital,resource_constrained,seg_detect_backup,125,160.98699999999997,149.696415,171.94465499999995,243.53279999999998,0.3389514677283718,0.88,1.0,0.12,-1.0,1.6441513881688273e-42,1.9072156102758398e-40,1
large_hospital,resource_constrained,seg_plus_detection,125,193.7996,180.35819999999998,206.05375499999997,243.53279999999998,0.20421561284557968,0.872,1.0,0.128,-0.920832,2.6170284715171268e-36,2.5123473326564418e-34,1
large_hospital,resource_constrained,seg_plus_patch,125,169.4894,155.825955,182.79198499999998,243.53279999999998,0.30403871675601807,0.84,1.0,0.16000000000000003,-0.965376,9.784387107486654e-40,1.0273606462860987e-37,1
regional_hospital,high_capacity,basic_segmentation,125,3.5124,2.66219,4.399160000000001,14.833200000000001,0.7632068602863846,0.056,0.288,0.23199999999999998,-0.27347200000000005,0.00014062043993020394,0.00393737231804571,1
regional_hospital,high_capacity,detection_plus_backups,125,3.6945999999999994,2.763665,4.675349999999998,14.833200000000001,0.7509236038076748,0.032,0.288,0.256,-0.276864,0.00011071073426173245,0.003210611293590241,1
regional_hospital,high_capacity,fast_detection,125,2.4834,1.78951,3.2758700000000003,14.833200000000001,0.8325782703664752,0.0,0.288,0.288,-0.376768,1.0596025917412361e-07,4.238410366964945e-06,1
regional_hospital,high_capacity,full_defense,125,3.5170000000000003,2.597985,4.546805,14.833200000000001,0.7628967451392822,0.024,0.288,0.26399999999999996,-0.29856000000000005,2.845794325858502e-05,0.0009391121275333056,1
regional_hospital,high_capacity,identity_controls,125,10.6676,7.837384999999999,13.797075000000001,14.833200000000001,0.2808294906021628,0.248,0.288,0.03999999999999998,-0.08812799999999998,0.22160800705112926,1.0,0
regional_hospital,high_capacity,isolated_backups,125,10.457600000000003,7.847125000000001,13.171874999999998,14.833200000000001,0.2949869212307525,0.288,0.288,0.0,-0.06969599999999998,0.33437630887799463,1.0,0
regional_hospital,high_capacity,least_privilege,125,4.5674,3.6099849999999996,5.641769999999998,14.833200000000001,0.692082625461802,0.072,0.288,0.21599999999999997,-0.19033599999999995,0.008267626530624824,0.16535253061249647,0
regional_hospital,high_capacity,patch_90,125,4.474000000000001,3.1147850000000004,6.176434999999992,14.833200000000001,0.6983793112747081,0.088,0.288,0.19999999999999998,-0.21824,0.002529638434851259,0.0556520455667277,0
regional_hospital,high_capacity,patch_plus_least_privilege,125,4.8355999999999995,3.818285,5.9795799999999995,14.833200000000001,0.6740015640590028,0.032,0.288,0.256,-0.15206399999999998,0.035392236122414496,0.6370602502034609,0
regional_hospital,high_capacity,profile_baseline,125,3.0896000000000003,2.38752,3.8660949999999996,14.833200000000001,0.7917104872852789,0.016,0.288,0.27199999999999996,-0.290752,4.9800921452667814e-05,0.00159362948648537,1
regional_hospital,high_capacity,seg_detect_backup,125,2.9074000000000004,2.12008,3.7620350000000005,14.833200000000001,0.8039937437639888,0.016,0.288,0.27199999999999996,-0.34272,1.517147788470819e-06,5.3100172596478664e-05,1
regional_hospital,high_capacity,seg_plus_detection,125,2.3188000000000004,1.63997,3.0720399999999994,14.833200000000001,0.8436749993258367,0.016,0.288,0.27199999999999996,-0.402624,1.0397439180999697e-08,5.094745198689851e-07,1
regional_hospital,high_capacity,seg_plus_patch,125,3.8628,3.0513550000000005,4.758959999999999,14.833200000000001,0.7395841760375375,0.04,0.288,0.24799999999999997,-0.23136,0.0013245156702945621,0.03046386041677493,1
regional_hospital,intermediate_capacity,basic_segmentation,125,147.28000000000003,132.161475,162.56678499999998,187.5542,0.2147336609897298,0.76,0.952,0.19199999999999995,-0.15039999999999998,0.03992802630467708,0.6787764471795104,0
regional_hospital,intermediate_capacity,detection_plus_backups,125,56.247800000000005,48.803000000000004,63.070674999999994,187.5542,0.7000984248819807,0.672,0.952,0.2799999999999999,-0.921728,2.152578285303178e-36,2.0880009367440825e-34,1
regional_hospital,intermediate_capacity,fast_detection,125,92.9358,82.256615,103.21745,187.5542,0.5044856366852889,0.728,0.952,0.22399999999999998,-0.891968,3.5075879095823475e-34,3.156829118624113e-32,1
regional_hospital,intermediate_capacity,full_defense,125,4.0088,3.1752850000000006,4.972599999999999,187.5542,0.9786259118697421,0.016,0.952,0.9359999999999999,-0.949056,1.457987455250157e-38,1.4871472043551603e-36,1
regional_hospital,intermediate_capacity,identity_controls,125,182.02199999999996,171.099985,192.07376000000005,187.5542,0.029496540200113063,0.912,0.952,0.039999999999999925,0.01273600000000008,0.8625142392393704,1.0,0
regional_hospital,intermediate_capacity,isolated_backups,125,134.2424,125.587685,142.83006000000003,187.5542,0.28424743354187754,0.92,0.952,0.03199999999999992,-0.7221759999999999,5.713637282695023e-23,3.828136979405665e-21,1
regional_hospital,intermediate_capacity,least_privilege,125,70.1188,56.44345,85.27707,187.5542,0.6261411368020552,0.528,0.952,0.42399999999999993,-0.678528,1.7609955876116186e-20,1.1270371760714359e-18,1
regional_hospital,intermediate_capacity,patch_90,125,155.4562,139.63261999999997,170.926255,187.5542,0.17113986250374566,0.76,0.952,0.19199999999999995,-0.06579199999999996,0.36905929121551684,1.0,0
regional_hospital,intermediate_capacity,patch_plus_least_privilege,125,10.111600000000001,6.2362,14.856524999999994,187.5542,0.9460870511030944,0.112,0.952,0.84,-0.9314560000000001,3.6532296709917775e-37,3.61669737428186e-35,1
regional_hospital,intermediate_capacity,profile_baseline,125,148.08939999999998,131.988515,164.65464,187.5542,0.21041810847211112,0.752,0.952,0.19999999999999996,-0.135424,0.06432557383357139,0.9648836075035708,0
regional_hospital,intermediate_capacity,seg_detect_backup,125,22.814,17.053444999999996,28.91133,187.5542,0.8783604952595037,0.352,0.952,0.6,-0.93408,2.389965743455173e-37,2.389965743455173e-35,1
regional_hospital,intermediate_capacity,seg_plus_detection,125,21.747799999999998,15.396405000000003,28.154085000000002,187.5542,0.884045251985826,0.288,0.952,0.6639999999999999,-0.934848,1.8769657112009827e-37,1.8957353683129926e-35,1
regional_hospital,intermediate_capacity,seg_plus_patch,125,33.509,23.556910000000006,44.68605499999999,187.5542,0.8213369788573117,0.288,0.952,0.6639999999999999,-0.859712,6.560999979485556e-32,5.708069982152433e-30,1
regional_hospital,resource_constrained,basic_segmentation,125,225.52819999999997,215.92523,233.27145000000002,243.0052,0.07192027166496862,0.96,0.992,0.03200000000000003,-0.589056,8.341006851055088e-16,5.004604110633053e-14,1
regional_hospital,resource_constrained,detection_plus_backups,125,132.6408,123.90082500000001,140.79096500000003,243.0052,0.45416476684449547,0.92,0.992,0.07199999999999995,-0.98528,2.554340936800199e-41,2.835318439848221e-39,1
regional_hospital,resource_constrained,fast_detection,125,174.2634,162.68605000000002,185.79558,243.0052,0.2828820124013808,0.888,0.992,0.10399999999999998,-0.915648,6.378136337557776e-36,5.995448157304309e-34,1
regional_hospital,resource_constrained,full_defense,125,16.712,12.07026,22.287109999999995,243.0052,0.931227809116842,0.256,0.992,0.736,-0.995904,3.180471264160069e-42,3.593932528500878e-40,1
regional_hospital,resource_constrained,identity_controls,125,240.19719999999998,234.12915000000004,244.44761000000003,243.0052,0.011555308281468961,0.984,0.992,0.008000000000000007,-0.14617599999999997,0.045851735274678944,0.7336277643948631,0
regional_hospital,resource_constrained,isolated_backups,125,211.556,205.99213000000006,215.80104499999996,243.0052,0.1294178066971406,0.984,0.992,0.008000000000000007,-0.981312,5.304548782578699e-41,5.781958173010782e-39,1
regional_hospital,resource_constrained,least_privilege,125,201.90000000000003,189.08113500000002,213.47176,243.0052,0.16915358189865884,0.896,0.992,0.09599999999999997,-0.810432,1.670373354672298e-28,1.3028912166443924e-26,1
regional_hospital,resource_constrained,patch_90,125,221.74620000000004,211.88621,230.66915000000003,243.0052,0.08748372462811478,0.944,0.992,0.04800000000000004,-0.61088,6.982509252086269e-17,4.2593306437726236e-15,1
regional_hospital,resource_constrained,patch_plus_least_privilege,125,93.507,78.72942499999999,108.40957499999999,243.0052,0.6152057651441204,0.624,0.992,0.368,-0.968,5.982088329689884e-40,6.400834512768176e-38,1
regional_hospital,resource_constrained,profile_baseline,125,243.56759999999997,239.155155,246.16486500000005,243.0052,-0.0023143537669151454,0.992,0.992,0.0,0.0711679999999999,0.33119783439473693,1.0,0
regional_hospital,resource_constrained,seg_detect_backup,125,125.8028,114.44336999999999,136.59658499999995,243.0052,0.4823040823817762,0.816,0.992,0.17600000000000005,-0.986496,2.031134282222727e-41,2.2748703960894542e-39,1
regional_hospital,resource_constrained,seg_plus_detection,125,150.78,135.02398000000002,165.61012499999995,243.0052,0.37951945061257947,0.784,0.992,0.20799999999999996,-0.954432,7.008330794288311e-39,7.2185807181169604e-37,1
regional_hospital,resource_constrained,seg_plus_patch,125,168.3058,152.80764,183.00884499999998,243.0052,0.3073983601996994,0.792,0.992,0.19999999999999996,-0.905152,3.842380331334674e-35,3.573413708141247e-33,1
small_clinic,high_capacity,basic_segmentation,125,2.4966,1.68874,3.319025,13.455400000000001,0.814453676590811,0.112,0.384,0.272,-0.27744,5.22121901669081e-05,0.0016185778951741511,1
small_clinic,high_capacity,detection_plus_backups,125,0.798,0.45898500000000003,1.2014449999999997,13.455400000000001,0.9406929559879305,0.016,0.384,0.368,-0.42188800000000004,2.16679112306133e-10,1.1700672064531182e-08,1
small_clinic,high_capacity,fast_detection,125,0.39420000000000005,0.22680000000000003,0.6082149999999998,13.455400000000001,0.970703212093286,0.0,0.384,0.384,-0.454912,5.405775518043834e-12,3.0272342901045473e-10,1
small_clinic,high_capacity,full_defense,125,0.952,0.51517,1.44084,13.455400000000001,0.9292477369680574,0.032,0.384,0.352,-0.43142400000000003,5.006672231439567e-11,2.7536697272917618e-09,1
small_clinic,high_capacity,identity_controls,125,9.656600000000001,6.5225,13.04895499999999,13.455400000000001,0.2823253117707389,0.328,0.384,0.055999999999999994,-0.042047999999999974,0.5539505586060397,1.0,0
small_clinic,high_capacity,isolated_backups,125,7.241200000000001,5.277839999999999,9.242569999999997,13.455400000000001,0.4618368833330856,0.288,0.384,0.09600000000000003,-0.076928,0.27607009897499735,1.0,0
small_clinic,high_capacity,least_privilege,125,2.006,1.35976,2.7330449999999997,13.455400000000001,0.8509148743255496,0.08,0.384,0.304,-0.31699200000000005,3.111314557923468e-06,0.00010578469496939791,1
small_clinic,high_capacity,patch_90,125,5.6276,3.5395050000000006,8.046059999999999,13.455400000000001,0.5817589963880673,0.192,0.384,0.192,-0.18585600000000002,0.007446297861148475,0.15637225508411798,0
small_clinic,high_capacity,patch_plus_least_privilege,125,1.2551999999999999,0.72699,1.780045,13.455400000000001,0.906714033027632,0.04,0.384,0.34400000000000003,-0.39590400000000003,2.5545160709452686e-09,1.302803196182087e-07,1
small_clinic,high_capacity,profile_baseline,125,1.3856000000000002,0.895305,1.9454599999999997,13.455400000000001,0.8970227566627524,0.04,0.384,0.34400000000000003,-0.348928,2.5677869878459687e-07,9.500811855030084e-06,1
small_clinic,high_capacity,seg_detect_backup,125,0.646,0.34139500000000006,1.0172149999999986,13.455400000000001,0.9519895357997532,0.0,0.384,0.384,-0.460928,1.4984163714787056e-12,8.540973317428622e-11,1
small_clinic,high_capacity,seg_plus_detection,125,0.658,0.32399,1.090405,13.455400000000001,0.9510977005514515,0.008,0.384,0.376,-0.46886399999999995,4.639434798848316e-13,2.6908721833320234e-11,1
small_clinic,high_capacity,seg_plus_patch,125,1.6564,1.1046,2.2939999999999996,13.455400000000001,0.8768970078927419,0.016,0.384,0.368,-0.34975999999999996,2.1566875129522488e-07,8.195412549218546e-06,1
small_clinic,intermediate_capacity,basic_segmentation,125,95.69040000000001,81.294085,109.32588499999999,158.90820000000002,0.397825914584647,0.72,0.896,0.17600000000000005,-0.418176,1.0730060302004249e-08,5.15042894496204e-07,1
small_clinic,intermediate_capacity,detection_plus_backups,125,32.299400000000006,26.943145,37.275909999999996,158.90820000000002,0.7967417666300417,0.64,0.896,0.256,-0.821056,2.5686076503370195e-29,2.0548861202696155e-27,1
small_clinic,intermediate_capacity,fast_detection,125,61.9802,52.34334499999999,70.89433000000001,158.90820000000002,0.6099622297653614,0.664,0.896,0.23199999999999998,-0.802944,3.6517156556092528e-28,2.775303898263032e-26,1
small_clinic,intermediate_capacity,full_defense,125,1.8044,1.1206700000000003,2.5467049999999998,158.90820000000002,0.9886450164308702,0.064,0.896,0.8320000000000001,-0.875456,1.1129142397413384e-34,1.0127519581646179e-32,1
small_clinic,intermediate_capacity,identity_controls,125,151.314,140.75,161.48896,158.90820000000002,0.047789856030085474,0.904,0.896,-0.008000000000000007,-0.07872000000000001,0.2822796546627375,1.0,0
small_clinic,intermediate_capacity,isolated_backups,125,93.97399999999999,85.36965000000001,102.352855,158.90820000000002,0.4086271193053601,0.856,0.896,0.040000000000000036,-0.6910080000000001,3.504900027884849e-21,2.3132340184040005e-19,1
small_clinic,intermediate_capacity,least_privilege,125,21.076200000000004,15.165335,27.697025,158.90820000000002,0.8673687072158642,0.424,0.896,0.47200000000000003,-0.799808,6.142347157082703e-28,4.5453368962412003e-26,1
small_clinic,intermediate_capacity,patch_90,125,115.99339999999998,101.50643000000001,130.9409,158.90820000000002,0.2700603241368289,0.736,0.896,0.16000000000000003,-0.266112,0.00027138091274373156,0.007327284644080752,1
small_clinic,intermediate_capacity,patch_plus_least_privilege,125,9.128200000000001,5.417455,14.004124999999998,158.90820000000002,0.942556771771375,0.224,0.896,0.672,-0.838464,6.239266291626917e-31,5.178591022050341e-29,1
small_clinic,intermediate_capacity,profile_baseline,125,79.328,66.825255,92.16875000000002,158.90820000000002,0.5007935399180156,0.672,0.896,0.22399999999999998,-0.5740160000000001,3.925015806344543e-15,2.3157593257432806e-13,1
