profile,budget,cost_scale,criterion,portfolio,description,cost,mean_hours_lost,catastrophic_prob,hours_preserved_per_point,has_basic_segmentation,has_least_privilege,has_patch_upgrade,has_detection_improvement,has_rapid_isolation,has_protected_backups,has_identity_controls
resource_constrained,5,0.5,min_expected_disruption,seg-least_privilege|patch+1|det1|iso0|bak-connected|idm0,segmentation=least_privilege; patch+1 levels; faster detection; backups=connected,5.0,105.21500000000002,0.72,27.88159999999999,0,1,1,1,0,0,0
resource_constrained,5,0.5,min_catastrophic_prob,seg-basic|patch+2|det1|iso0|bak-connected|idm0,segmentation=basic; patch+2 levels; faster detection; backups=connected,5.0,122.15899999999999,0.64,24.4928,1,0,1,1,0,0,0
resource_constrained,5,0.5,max_hours_preserved_per_point,seg-flat|patch+0|det0|iso0|bak-isolated|idm0,segmentation=flat; backups=isolated,1.0,190.261,0.88,54.361999999999995,0,0,0,0,0,1,0
resource_constrained,5,0.5,best_balanced,seg-basic|patch+2|det1|iso0|bak-connected|idm0,segmentation=basic; patch+2 levels; faster detection; backups=connected,5.0,122.15899999999999,0.64,24.4928,1,0,1,1,0,0,0
resource_constrained,10,0.5,min_expected_disruption,seg-least_privilege|patch+2|det1|iso1|bak-isolated|idm0,segmentation=least_privilege; patch+2 levels; faster detection; rapid isolation; backups=isolated,9.5,27.068,0.32,22.90052631578947,0,1,1,1,1,1,0
resource_constrained,10,0.5,min_catastrophic_prob,seg-least_privilege|patch+2|det1|iso1|bak-isolated|idm0,segmentation=least_privilege; patch+2 levels; faster detection; rapid isolation; backups=isolated,9.5,27.068,0.32,22.90052631578947,0,1,1,1,1,1,0
resource_constrained,10,0.5,max_hours_preserved_per_point,seg-flat|patch+0|det0|iso0|bak-isolated|idm0,segmentation=flat; backups=isolated,1.0,190.261,0.88,54.361999999999995,0,0,0,0,0,1,0
resource_constrained,10,0.5,best_balanced,seg-least_privilege|patch+2|det1|iso1|bak-isolated|idm0,segmentation=least_privilege; patch+2 levels; faster detection; rapid isolation; backups=isolated,9.5,27.068,0.32,22.90052631578947,0,1,1,1,1,1,0
resource_constrained,15,0.5,min_expected_disruption,seg-least_privilege|patch+2|det1|iso1|bak-isolated|idm1,segmentation=least_privilege; patch+2 levels; faster detection; rapid isolation; backups=isolated; identity controls,11.5,23.321000000000005,0.32,19.24365217391304,0,1,1,1,1,1,1
resource_constrained,15,0.5,min_catastrophic_prob,seg-least_privilege|patch+2|det1|iso1|bak-connected|idm1,segmentation=least_privilege; patch+2 levels; faster detection; rapid isolation; backups=connected; identity controls,10.5,25.720000000000006,0.28,20.84790476190476,0,1,1,1,1,0,1
resource_constrained,15,0.5,max_hours_preserved_per_point,seg-flat|patch+0|det0|iso0|bak-isolated|idm0,segmentation=flat; backups=isolated,1.0,190.261,0.88,54.361999999999995,0,0,0,0,0,1,0
resource_constrained,15,0.5,best_balanced,seg-least_privilege|patch+2|det1|iso1|bak-connected|idm1,segmentation=least_privilege; patch+2 levels; faster detection; rapid isolation; backups=connected; identity controls,10.5,25.720000000000006,0.28,20.84790476190476,0,1,1,1,1,0,1
resource_constrained,5,0.75,min_expected_disruption,seg-flat|patch+0|det1|iso0|bak-isolated|idm0,segmentation=flat; faster detection; backups=isolated,3.75,149.628,1.0,25.332,0,0,0,1,0,1,0
resource_constrained,5,0.75,min_catastrophic_prob,seg-basic|patch+1|det0|iso0|bak-connected|idm0,segmentation=basic; patch+1 levels; backups=connected,3.75,184.42199999999997,0.8,16.053600000000007,1,0,1,0,0,0,0
resource_constrained,5,0.75,max_hours_preserved_per_point,seg-flat|patch+0|det0|iso0|bak-isolated|idm0,segmentation=flat; backups=isolated,1.5,190.261,0.88,36.24133333333333,0,0,0,0,0,1,0
resource_constrained,5,0.75,best_balanced,seg-basic|patch+1|det0|iso0|bak-connected|idm0,segmentation=basic; patch+1 levels; backups=connected,3.75,184.42199999999997,0.8,16.053600000000007,1,0,1,0,0,0,0
resource_constrained,10,0.75,min_expected_disruption,seg-least_privilege|patch+2|det1|iso0|bak-connected|idm0,segmentation=least_privilege; patch+2 levels; faster detection; backups=connected,9.0,74.075,0.6,18.94977777777778,0,1,1,1,0,0,0
resource_constrained,10,0.75,min_catastrophic_prob,seg-least_privilege|patch+2|det1|iso0|bak-connected|idm0,segmentation=least_privilege; patch+2 levels; faster detection; backups=connected,9.0,74.075,0.6,18.94977777777778,0,1,1,1,0,0,0
