facility,portfolio,metric,kruskal_h,kruskal_p,n_groups
large_hospital,baseline_flat,weighted_service_hours_lost,276.470654,9.229119944e-61,3
large_hospital,basic_segmentation,weighted_service_hours_lost,249.6620693,6.117450647e-55,3
large_hospital,detection_plus_backups,weighted_service_hours_lost,212.7591508,6.308664282e-47,3
large_hospital,fast_detection,weighted_service_hours_lost,269.1472529,3.592664256e-59,3
large_hospital,full_defense,weighted_service_hours_lost,17.80392309,0.0001361216555,3
large_hospital,identity_controls,weighted_service_hours_lost,270.2814761,2.037619949e-59,3
large_hospital,isolated_backups,weighted_service_hours_lost,286.1195246,7.411986891e-63,3
large_hospital,least_privilege,weighted_service_hours_lost,205.7487551,2.100029979e-45,3
large_hospital,patch_90,weighted_service_hours_lost,194.3436409,6.292374841e-43,3
large_hospital,patch_plus_least_privilege,weighted_service_hours_lost,109.1997434,1.938996459e-24,3
large_hospital,profile_baseline,weighted_service_hours_lost,277.0144826,7.031846841e-61,3
large_hospital,seg_detect_backup,weighted_service_hours_lost,154.3928643,2.978622737e-34,3
large_hospital,seg_plus_detection,weighted_service_hours_lost,181.6204417,3.644367619e-40,3
large_hospital,seg_plus_patch,weighted_service_hours_lost,123.8677221,1.266093845e-27,3
regional_hospital,baseline_flat,weighted_service_hours_lost,297.3613386,2.684143666e-65,3
regional_hospital,basic_segmentation,weighted_service_hours_lost,251.9119325,1.986181374e-55,3
regional_hospital,detection_plus_backups,weighted_service_hours_lost,242.8177429,1.874118646e-53,3
regional_hospital,fast_detection,weighted_service_hours_lost,237.2631091,3.01280128e-52,3
regional_hospital,full_defense,weighted_service_hours_lost,27.03043654,1.350253411e-06,3
regional_hospital,identity_controls,weighted_service_hours_lost,281.6004865,7.099557879e-62,3
regional_hospital,isolated_backups,weighted_service_hours_lost,280.3192222,1.347268971e-61,3
regional_hospital,least_privilege,weighted_service_hours_lost,219.1003536,2.648272879e-48,3
regional_hospital,patch_90,weighted_service_hours_lost,225.5823333,1.036140648e-49,3
regional_hospital,patch_plus_least_privilege,weighted_service_hours_lost,66.70197046,3.279828592e-15,3
regional_hospital,profile_baseline,weighted_service_hours_lost,261.8905492,1.352663643e-57,3
regional_hospital,seg_detect_backup,weighted_service_hours_lost,181.6275008,3.631527403e-40,3
regional_hospital,seg_plus_detection,weighted_service_hours_lost,186.0055555,4.068242397e-41,3
regional_hospital,seg_plus_patch,weighted_service_hours_lost,173.9248872,1.708797564e-38,3
small_clinic,baseline_flat,weighted_service_hours_lost,272.5794071,6.458531732e-60,3
small_clinic,basic_segmentation,weighted_service_hours_lost,223.5549813,2.855305666e-49,3
small_clinic,detection_plus_backups,weighted_service_hours_lost,257.7960629,1.047843011e-56,3
small_clinic,fast_detection,weighted_service_hours_lost,253.507171,8.945760467e-56,3
small_clinic,full_defense,weighted_service_hours_lost,46.16114783,9.46747373e-11,3
small_clinic,identity_controls,weighted_service_hours_lost,277.8336306,4.668675423e-61,3
small_clinic,isolated_backups,weighted_service_hours_lost,274.180467,2.900467971e-60,3
small_clinic,least_privilege,weighted_service_hours_lost,172.8958388,2.858548981e-38,3
small_clinic,patch_90,weighted_service_hours_lost,204.2308454,4.485753384e-45,3
small_clinic,patch_plus_least_privilege,weighted_service_hours_lost,98.59486728,3.894005844e-22,3
small_clinic,profile_baseline,weighted_service_hours_lost,270.2369491,2.083493272e-59,3
small_clinic,seg_detect_backup,weighted_service_hours_lost,169.6896289,1.420251553e-37,3
small_clinic,seg_plus_detection,weighted_service_hours_lost,141.028224,2.377443839e-31,3
small_clinic,seg_plus_patch,weighted_service_hours_lost,146.5869679,1.475857306e-32,3
