profile,portfolio,description,cost,mean_hours_lost,hours_lost_ci_lo,hours_lost_ci_hi,catastrophic_prob,improvement_exceeds_noise
resource_constrained,seg-flat|patch+0|det0|iso0|bak-connected|idm0,segmentation=flat; backups=connected,0,235.488,215.34595,246.90415,0.96,1
resource_constrained,seg-flat|patch+0|det0|iso0|bak-isolated|idm0,segmentation=flat; backups=isolated,2,212.042,206.739425,216.8565,1,1
resource_constrained,seg-flat|patch+0|det1|iso0|bak-connected|idm0,segmentation=flat; faster detection; backups=connected,3,200.505,191.806825,209.769875,1,1
resource_constrained,seg-flat|patch+1|det0|iso0|bak-isolated|idm0,segmentation=flat; patch+1 levels; backups=isolated,4,194.646,168.574225,213.147175,0.92,0
resource_constrained,seg-flat|patch+0|det1|iso0|bak-isolated|idm0,segmentation=flat; faster detection; backups=isolated,5,153.52,133.586675,170.4398,0.96,1
resource_constrained,seg-flat|patch+1|det1|iso0|bak-isolated|idm0,segmentation=flat; patch+1 levels; faster detection; backups=isolated,7,140.43,114.159725,163.4445,0.88,0
resource_constrained,seg-least_privilege|patch+1|det0|iso0|bak-isolated|idm0,segmentation=least_privilege; patch+1 levels; backups=isolated,9,132.342,99.652775,163.2842,0.72,0
resource_constrained,seg-least_privilege|patch+1|det1|iso0|bak-connected|idm0,segmentation=least_privilege; patch+1 levels; faster detection; backups=connected,10,110.759,74.922575,145.112875,0.6,0
resource_constrained,seg-least_privilege|patch+3|det0|iso0|bak-connected|idm0,segmentation=least_privilege; patch+3 levels; backups=connected,11,90.596,51.70135,131.813,0.52,0
resource_constrained,seg-least_privilege|patch+2|det1|iso0|bak-connected|idm0,segmentation=least_privilege; patch+2 levels; faster detection; backups=connected,12,51.554,25.08895,81.441325,0.4,1
resource_constrained,seg-least_privilege|patch+3|det1|iso0|bak-connected|idm0,segmentation=least_privilege; patch+3 levels; faster detection; backups=connected,14,28.856,10.872675,47.8764,0.4,0
resource_constrained,seg-least_privilege|patch+2|det1|iso1|bak-connected|idm0,segmentation=least_privilege; patch+2 levels; faster detection; rapid isolation; backups=connected,17,21.564,5.844875,40.9592,0.2,0
resource_constrained,seg-least_privilege|patch+3|det1|iso1|bak-connected|idm0,segmentation=least_privilege; patch+3 levels; faster detection; rapid isolation; backups=connected,19,10.863,5.49845,17.370125,0.32,0
resource_constrained,seg-least_privilege|patch+3|det1|iso0|bak-isolated|idm1,segmentation=least_privilege; patch+3 levels; faster detection; backups=isolated; identity controls,20,8.056,3.4019,14.6743,0.2,0
