profile,portfolio,description,base_cost,n_trials,mean_hours_lost,hours_lost_ci_lo,hours_lost_ci_hi,median_hours_lost,p90_hours_lost,catastrophic_prob,catastrophic_prob_ci_lo,catastrophic_prob_ci_hi,mean_pct_compromised,backup_compromise_prob,has_basic_segmentation,has_least_privilege,has_patch_upgrade,patch_boost_levels,has_detection_improvement,has_rapid_isolation,has_protected_backups,has_identity_controls
high_capacity,seg-basic|patch+0|det0|iso0|bak-connected|idm0,segmentation=basic; backups=connected,3,25,4.159,2.138725,6.55025,2.8,11.86,0,1.387778781e-17,0.1331922509,0.01346219927,0.04,1,0,0,0,0,0,0,0
high_capacity,seg-basic|patch+0|det0|iso0|bak-connected|idm1,segmentation=basic; backups=connected; identity controls,7,25,5.577,3.78995,7.483225,4.2,12.84,0.12,0.0416681715,0.2995579392,0.01088303517,0,1,0,0,0,0,0,0,1
high_capacity,seg-basic|patch+0|det0|iso0|bak-isolated|idm0,segmentation=basic; backups=isolated,5,25,3.588,2.0238,5.45215,1.6,9.67,0,1.387778781e-17,0.1331922509,0.008276443776,0,1,0,0,0,0,0,1,0
high_capacity,seg-basic|patch+0|det0|iso0|bak-isolated|idm1,segmentation=basic; backups=isolated; identity controls,9,25,3.032,1.3518,5.392,1.4,3.92,0,1.387778781e-17,0.1331922509,0.01058921056,0,1,0,0,0,0,0,1,1
high_capacity,seg-basic|patch+0|det0|iso1|bak-connected|idm0,segmentation=basic; rapid isolation; backups=connected,8,25,3.901,2.415925,5.469125,3.2,9.76,0.04,0.007096233502,0.1954406374,0.01245137425,0,1,0,0,0,0,1,0,0
high_capacity,seg-basic|patch+0|det0|iso1|bak-connected|idm1,segmentation=basic; rapid isolation; backups=connected; identity controls,12,25,3.423,1.737,5.185225,1.2,11.61,0.04,0.007096233502,0.1954406374,0.01030801669,0,1,0,0,0,0,1,0,1
high_capacity,seg-basic|patch+0|det0|iso1|bak-isolated|idm0,segmentation=basic; rapid isolation; backups=isolated,10,25,3.474,1.85555,5.2326,1.6,11.4,0,1.387778781e-17,0.1331922509,0.008312150506,0,1,0,0,0,0,1,1,0
high_capacity,seg-basic|patch+0|det0|iso1|bak-isolated|idm1,segmentation=basic; rapid isolation; backups=isolated; identity controls,14,25,3.785,1.6314,6.55105,2,9.28,0.12,0.0416681715,0.2995579392,0.00739096734,0,1,0,0,0,0,1,1,1
high_capacity,seg-basic|patch+0|det1|iso0|bak-connected|idm0,segmentation=basic; faster detection; backups=connected,6,25,3.237,1.7758,4.863075,1.4,10.12,0,1.387778781e-17,0.1331922509,0.007609509084,0,1,0,0,0,1,0,0,0
high_capacity,seg-basic|patch+0|det1|iso0|bak-connected|idm1,segmentation=basic; faster detection; backups=connected; identity controls,10,25,2.468,1.32,3.832,2,6.04,0,1.387778781e-17,0.1331922509,0.006953685632,0,1,0,0,0,1,0,0,1
