facility,profile,portfolio,n,n_no_outage,n_recovered,n_censored_never_recovered,outage_rate,recovery_prob_given_outage,median_recovery_step_recovered,p90_recovery_step_recovered,share_recovered_within_horizon
large_hospital,high_capacity,baseline_flat,125,16,103,6,0.872,0.9449541284,142,181.8,0.952
large_hospital,high_capacity,basic_segmentation,125,18,98,9,0.856,0.9158878505,124,176.3,0.928
large_hospital,high_capacity,detection_plus_backups,125,14,105,6,0.888,0.9459459459,130,179.6,0.952
large_hospital,high_capacity,fast_detection,125,18,96,11,0.856,0.8971962617,136.5,185.5,0.912
large_hospital,high_capacity,full_defense,125,22,96,7,0.824,0.932038835,123,178.5,0.944
large_hospital,high_capacity,identity_controls,125,14,99,12,0.888,0.8918918919,134,184.2,0.904
large_hospital,high_capacity,isolated_backups,125,10,111,4,0.92,0.9652173913,127,183,0.968
large_hospital,high_capacity,least_privilege,125,21,97,7,0.832,0.9326923077,147,184.4,0.944
large_hospital,high_capacity,patch_90,125,11,104,10,0.912,0.9122807018,142,178,0.92
large_hospital,high_capacity,patch_plus_least_privilege,125,21,91,13,0.832,0.875,129,177,0.896
large_hospital,high_capacity,profile_baseline,125,26,91,8,0.792,0.9191919192,138,181,0.936
large_hospital,high_capacity,seg_detect_backup,125,19,96,10,0.848,0.9056603774,134.5,185,0.92
large_hospital,high_capacity,seg_plus_detection,125,17,91,17,0.864,0.8425925926,132,173,0.864
large_hospital,high_capacity,seg_plus_patch,125,19,99,7,0.848,0.9339622642,133,183,0.944
large_hospital,intermediate_capacity,baseline_flat,125,1,33,91,0.992,0.2661290323,184,190,0.272
large_hospital,intermediate_capacity,basic_segmentation,125,4,28,93,0.968,0.2314049587,151,189,0.256
large_hospital,intermediate_capacity,detection_plus_backups,125,7,108,10,0.944,0.9152542373,129,185.3,0.92
large_hospital,intermediate_capacity,fast_detection,125,6,111,8,0.952,0.9327731092,147,184,0.936
large_hospital,intermediate_capacity,full_defense,125,17,96,12,0.864,0.8888888889,136,178,0.904
large_hospital,intermediate_capacity,identity_controls,125,2,28,95,0.984,0.2276422764,178.5,190,0.24
large_hospital,intermediate_capacity,isolated_backups,125,2,82,41,0.984,0.6666666667,167.5,186,0.672
large_hospital,intermediate_capacity,least_privilege,125,5,48,72,0.96,0.4,159.5,185.2,0.424
large_hospital,intermediate_capacity,patch_90,125,4,31,90,0.968,0.2561983471,138,189,0.28
large_hospital,intermediate_capacity,patch_plus_least_privilege,125,17,90,18,0.864,0.8333333333,143,186,0.856
large_hospital,intermediate_capacity,profile_baseline,125,4,28,93,0.968,0.2314049587,145.5,183.6,0.256
large_hospital,intermediate_capacity,seg_detect_backup,125,16,98,11,0.872,0.8990825688,143,182.3,0.912
large_hospital,intermediate_capacity,seg_plus_detection,125,15,101,9,0.88,0.9181818182,150,179,0.928
large_hospital,intermediate_capacity,seg_plus_patch,125,11,66,48,0.912,0.5789473684,143,180,0.616
large_hospital,resource_constrained,baseline_flat,125,2,1,122,0.984,0.008130081301,164,164,0.024
large_hospital,resource_constrained,basic_segmentation,125,0,2,123,1,0.016,108.5,118.5,0.016
large_hospital,resource_constrained,detection_plus_backups,125,2,104,19,0.984,0.8455284553,164,187.7,0.848
large_hospital,resource_constrained,fast_detection,125,0,38,87,1,0.304,183,189.3,0.304
large_hospital,resource_constrained,full_defense,125,14,93,18,0.888,0.8378378378,143,179.6,0.856
large_hospital,resource_constrained,identity_controls,125,1,3,121,0.992,0.02419354839,169,176.2,0.032
large_hospital,resource_constrained,isolated_backups,125,0,1,124,1,0.008,176,176,0.008
large_hospital,resource_constrained,least_privilege,125,3,8,114,0.976,0.06557377049,151.5,188.6,0.088
large_hospital,resource_constrained,patch_90,125,2,7,116,0.984,0.05691056911,115,181,0.072
large_hospital,resource_constrained,patch_plus_least_privilege,125,6,33,86,0.952,0.2773109244,122,176.8,0.312
large_hospital,resource_constrained,profile_baseline,125,0,1,124,1,0.008,127,127,0.008
large_hospital,resource_constrained,seg_detect_backup,125,4,81,40,0.968,0.6694214876,172,187,0.68
large_hospital,resource_constrained,seg_plus_detection,125,1,27,97,0.992,0.2177419355,180,190.4,0.224
large_hospital,resource_constrained,seg_plus_patch,125,4,24,97,0.968,0.1983471074,145,182.7,0.224
regional_hospital,high_capacity,baseline_flat,125,32,92,1,0.744,0.9892473118,86.5,156.8,0.992
regional_hospital,high_capacity,basic_segmentation,125,54,67,4,0.568,0.9436619718,93,175.4,0.968
regional_hospital,high_capacity,detection_plus_backups,125,72,52,1,0.424,0.9811320755,100,172,0.992
regional_hospital,high_capacity,fast_detection,125,75,47,3,0.4,0.94,81,147.6,0.976
regional_hospital,high_capacity,full_defense,125,72,51,2,0.424,0.9622641509,71,168,0.984
regional_hospital,high_capacity,identity_controls,125,40,80,5,0.68,0.9411764706,77,164,0.96
regional_hospital,high_capacity,isolated_backups,125,46,73,6,0.632,0.9240506329,64,161.8,0.952
regional_hospital,high_capacity,least_privilege,125,51,72,2,0.592,0.972972973,64,159.7,0.984
regional_hospital,high_capacity,patch_90,125,59,63,3,0.528,0.9545454545,81,174.8,0.976
regional_hospital,high_capacity,patch_plus_least_privilege,125,53,72,0,0.576,1,75,168.7,1
regional_hospital,high_capacity,profile_baseline,125,60,64,1,0.52,0.9846153846,92.5,166.8,0.992
regional_hospital,high_capacity,seg_detect_backup,125,70,53,2,0.44,0.9636363636,70,162.8,0.984
regional_hospital,high_capacity,seg_plus_detection,125,67,54,4,0.464,0.9310344828,66,160.7,0.968
regional_hospital,high_capacity,seg_plus_patch,125,58,64,3,0.536,0.9552238806,83.5,171.1,0.976
regional_hospital,intermediate_capacity,baseline_flat,125,3,81,41,0.976,0.6639344262,174,190,0.672
regional_hospital,intermediate_capacity,basic_segmentation,125,16,53,56,0.872,0.4862385321,168,186.8,0.552
regional_hospital,intermediate_capacity,detection_plus_backups,125,27,96,2,0.784,0.9795918367,103,163.5,0.984
regional_hospital,intermediate_capacity,fast_detection,125,16,102,7,0.872,0.9357798165,133.5,175.9,0.944
regional_hospital,intermediate_capacity,full_defense,125,61,62,2,0.512,0.96875,82.5,167.5,0.984
