setting,description,param_kind,portfolio,cost,n,mean_hours_lost,median_hours_lost,catastrophic_prob,catastrophic_ci_hi,on_pareto_frontier
baseline,All parameters at documented defaults,-,baseline_flat,0,50,179.4095,187.0375,0.92,0.9684504859,0
baseline,All parameters at documented defaults,-,basic_segmentation,3,50,152.565,196.475,0.76,0.857026086,0
baseline,All parameters at documented defaults,-,detection_plus_backups,10,50,65.9885,75.65,0.8,0.8875624998,0
baseline,All parameters at documented defaults,-,fast_detection,8,50,93.07,115.45,0.74,0.8412847251,0
baseline,All parameters at documented defaults,-,full_defense,23,50,3.71,2,0,0.07134759913,1
baseline,All parameters at documented defaults,-,identity_controls,4,50,177.26,202.225,0.86,0.9304916657,0
baseline,All parameters at documented defaults,-,isolated_backups,2,50,138.258,138.475,0.94,0.9793850297,1
baseline,All parameters at documented defaults,-,least_privilege,5,50,83.7755,50.95,0.56,0.6883780079,1
baseline,All parameters at documented defaults,-,patch_90,4,50,142.7605,188.7125,0.7,0.808964465,0
baseline,All parameters at documented defaults,-,patch_plus_least_privilege,9,50,11.622,3.2,0.14,0.2618619371,1
baseline,All parameters at documented defaults,-,profile_baseline,0,50,139.4515,187.325,0.7,0.808964465,1
baseline,All parameters at documented defaults,-,seg_detect_backup,13,50,14.713,2,0.18,0.3079605367,0
baseline,All parameters at documented defaults,-,seg_plus_detection,11,50,27.799,3.7,0.32,0.4581029731,0
baseline,All parameters at documented defaults,-,seg_plus_patch,7,50,84.412,47.925,0.58,0.7062499665,0
base_spread_rate_low,Base spread rate (transition prob.) = 0.25,transition,baseline_flat,0,50,169.703,191.175,0.86,0.9304916657,0
base_spread_rate_low,Base spread rate (transition prob.) = 0.25,transition,basic_segmentation,3,50,120.443,162.975,0.62,0.7413721069,0
base_spread_rate_low,Base spread rate (transition prob.) = 0.25,transition,detection_plus_backups,10,50,43.028,50.5375,0.6,0.7239161027,0
base_spread_rate_low,Base spread rate (transition prob.) = 0.25,transition,fast_detection,8,50,56.929,11.1,0.48,0.6148825511,0
base_spread_rate_low,Base spread rate (transition prob.) = 0.25,transition,full_defense,23,50,3.562,0.8,0.04,0.1346009069,1
base_spread_rate_low,Base spread rate (transition prob.) = 0.25,transition,identity_controls,4,50,167.5895,187.4875,0.86,0.9304916657,0
base_spread_rate_low,Base spread rate (transition prob.) = 0.25,transition,isolated_backups,2,50,118.75,133.45,0.78,0.8724608403,0
base_spread_rate_low,Base spread rate (transition prob.) = 0.25,transition,least_privilege,5,50,33.7135,5.8,0.3,0.4375035046,1
base_spread_rate_low,Base spread rate (transition prob.) = 0.25,transition,patch_90,4,50,131.393,174.775,0.7,0.808964465,0
base_spread_rate_low,Base spread rate (transition prob.) = 0.25,transition,patch_plus_least_privilege,9,50,6.9935,2.3,0.08,0.1883824692,1
base_spread_rate_low,Base spread rate (transition prob.) = 0.25,transition,profile_baseline,0,50,89.436,16.0875,0.52,0.6520286471,1
base_spread_rate_low,Base spread rate (transition prob.) = 0.25,transition,seg_detect_backup,13,50,7.5275,1.8,0.06,0.1621709169,0
base_spread_rate_low,Base spread rate (transition prob.) = 0.25,transition,seg_plus_detection,11,50,10.417,2.7,0.24,0.3741268376,0
base_spread_rate_low,Base spread rate (transition prob.) = 0.25,transition,seg_plus_patch,7,50,15.8135,2.35,0.18,0.3079605367,1
base_spread_rate_high,Base spread rate (transition prob.) = 0.45,transition,baseline_flat,0,50,177.58,187.775,0.9,0.9565242351,0
base_spread_rate_high,Base spread rate (transition prob.) = 0.45,transition,basic_segmentation,3,50,178.6115,200.8,0.88,0.9438239985,0
base_spread_rate_high,Base spread rate (transition prob.) = 0.45,transition,detection_plus_backups,10,50,64.449,75.8625,0.76,0.857026086,0
base_spread_rate_high,Base spread rate (transition prob.) = 0.45,transition,fast_detection,8,50,99.6885,117.85,0.78,0.8724608403,0
base_spread_rate_high,Base spread rate (transition prob.) = 0.45,transition,full_defense,23,50,4.8855,2.4,0.1,0.2136023144,1
base_spread_rate_high,Base spread rate (transition prob.) = 0.45,transition,identity_controls,4,50,178.957,192.3625,0.92,0.9684504859,0
base_spread_rate_high,Base spread rate (transition prob.) = 0.45,transition,isolated_backups,2,50,142.084,142.825,0.98,0.9964607407,1
