facility,profile,portfolio,metric,n,mean,median,std,iqr,p90,p95,ci95_lo,ci95_hi
large_hospital,high_capacity,baseline_flat,weighted_service_hours_lost,125,20.9578,6,30.60711664,13.2,76.43,88.175,16.00224,26.105325
large_hospital,high_capacity,baseline_flat,pct_compromised,125,0.07461956275,0.003064351379,0.1255660285,0.03558303876,0.3,0.3366847444,0.05412542631,0.09514893094
large_hospital,high_capacity,baseline_flat,catastrophic,125,0.288,0,0.4546533596,1,1,1,0.208,0.368
large_hospital,high_capacity,baseline_flat,total_service_downtime_steps,125,112.664,32,165.3750841,67,416.6,463.6,85.783,140.5684
large_hospital,high_capacity,baseline_flat,backup_compromised,125,0.336,0,0.4742396291,1,1,1,0.256,0.424
large_hospital,high_capacity,baseline_flat,identity_compromised,125,0.28,0,0.4508057303,1,1,1,0.2,0.36
large_hospital,high_capacity,baseline_flat,recovered_within_horizon,125,0.952,1,0.2146264572,0,1,1,0.912,0.984
large_hospital,high_capacity,baseline_flat,pct_clinical_capacity_lost,125,0.08685539216,0.0318627451,0.122113621,0.06066176471,0.3024509804,0.351194853,0.06696348039,0.1075348346
large_hospital,high_capacity,baseline_flat,defensive_isolation_node_steps,125,2516.312,2557,318.6613739,395,2868.2,2945.2,2457.2788,2568.1162
large_hospital,high_capacity,basic_segmentation,weighted_service_hours_lost,125,6.7126,4,6.507454336,7.8,14.16,21.305,5.63738,7.827865
large_hospital,high_capacity,basic_segmentation,pct_compromised,125,0.002889094348,0.001305483029,0.003284457881,0.002093060127,0.006372650443,0.008286000286,0.002396465769,0.003457233722
large_hospital,high_capacity,basic_segmentation,catastrophic,125,0.048,0,0.2146264572,0,0,0,0.016,0.088
large_hospital,high_capacity,basic_segmentation,total_service_downtime_steps,125,35.424,24,33.13030578,40,72.6,109.4,29.9998,41.137
large_hospital,high_capacity,basic_segmentation,backup_compromised,125,0.016,0,0.1259800291,0,0,0,0,0.04
large_hospital,high_capacity,basic_segmentation,identity_compromised,125,0.144,0,0.3525025738,0,1,1,0.088,0.208
large_hospital,high_capacity,basic_segmentation,recovered_within_horizon,125,0.928,1,0.2595281077,0,1,1,0.88,0.968
large_hospital,high_capacity,basic_segmentation,pct_clinical_capacity_lost,125,0.03062622549,0.02083333333,0.03000189381,0.03676470588,0.06446078431,0.09476102941,0.02569960172,0.03581776961
large_hospital,high_capacity,basic_segmentation,defensive_isolation_node_steps,125,2591.48,2557,269.8365575,434,2940.2,3010.4,2546.0682,2643.1824
large_hospital,high_capacity,detection_plus_backups,weighted_service_hours_lost,125,6.6884,4.2,6.114113551,8.2,15.715,20.74,5.66254,7.81202
large_hospital,high_capacity,detection_plus_backups,pct_compromised,125,0.001802734392,0.00127388535,0.001177405356,0.001129940627,0.003145886488,0.003412969283,0.00161493495,0.002011202435
large_hospital,high_capacity,detection_plus_backups,catastrophic,125,0.024,0,0.1536649056,0,0,0,0,0.056
large_hospital,high_capacity,detection_plus_backups,total_service_downtime_steps,125,35.792,24,31.83862941,40,80,110.4,30.5752,41.6164
