patch_coverage,detection_delay,n,catastrophic_prob,mean_hours_lost,hours_ci95_lo,hours_ci95_hi,mean_pct_compromised
0.25,1,50,0.52,26.733,19.3703,34.4071125,0.2099751907
0.25,3,50,0.9,81.7325,73.5688125,89.2880375,0.6623153193
0.25,6,50,0.9,123.335,111.0764,133.824025,0.7824718894
0.25,12,50,0.94,188.197,173.01185,200.6636875,0.8833879982
0.25,24,50,0.92,224.287,205.193625,239.967075,0.8957050693
0.5,1,50,0.18,8.4235,5.7509875,11.5344,0.062537712
0.5,3,50,0.7,64.6255,52.7276,76.249175,0.4040788787
0.5,6,50,0.82,104.9805,89.13525,120.0936375,0.5995439228
0.5,12,50,0.94,183.322,167.0135,196.0256375,0.8271112825
0.5,24,50,0.98,236.285,225.866725,242.400625,0.9287789553
0.75,1,50,0.06,3.5485,2.3334875,5.0088,0.01775655942
0.75,3,50,0.34,26.8815,17.2648,37.306475,0.1455138567
0.75,6,50,0.72,90.47,73.8143375,105.984175,0.4270031325
0.75,12,50,0.88,181.1295,161.170425,199.599825,0.7132301904
0.75,24,50,1,231.2345,219.9257,237.58455,0.9027522582
0.9,1,50,0,3.855,2.564375,5.36715,0.01147523235
0.9,3,50,0.32,18.5055,12.253075,25.368575,0.08903141806
0.9,6,50,0.54,66.5005,49.12845,84.20465,0.2729015975
0.9,12,50,0.66,133.6505,105.5408375,160.7829125,0.4935068992
0.9,24,50,0.92,205.929,184.561275,224.74255,0.80886479
