trial_id,experiment,master_seed,facility,profile,portfolio,entry_point,entry_node,n_nodes,n_edges,segmentation,patch_coverage,realized_patch_fraction,detection_delay,isolation_success,backup_strategy,identity_controls,rapid_isolation,total_compromised,pct_compromised,peak_compromised,zones_reached,lateral_movements,containment_step,backup_compromised,identity_compromised,ehr_downtime_steps,laboratory_downtime_steps,pharmacy_downtime_steps,imaging_downtime_steps,scheduling_downtime_steps,identity_downtime_steps,backup_recovery_downtime_steps,services_disrupted_count,total_service_downtime_steps,weighted_service_hours_lost,pct_clinical_capacity_lost,catastrophic,defensive_isolation_node_steps,recovery_step,recovered_within_horizon,pct_services_restored,unrecoverable_nodes,backups_available,steps_simulated,portfolio_cost
5000000,backup,20260713,small_clinic,resource_constrained,backup_connected,workstation,15,44,305,flat,0.25,0.3409,24,0.5,connected,0,0,43,0.9772727273,43,10,51,145,1,1,185,190,188,188,188,185,185,7,1309,247.625,0.9770220588,1,8,-1,0,0.2857142857,14,0,192,
5000001,backup,20260713,small_clinic,resource_constrained,backup_connected,internet_facing,40,42,284,flat,0.25,0.1667,24,0.5,connected,0,0,41,0.9761904762,41,10,44,146,1,1,183,189,187,190,189,183,190,7,1311,247.45,0.9734987745,1,8,-1,0,0.4285714286,12,0,192,
5000002,backup,20260713,small_clinic,resource_constrained,backup_periodic,workstation,9,51,342,flat,0.25,0.2157,24,0.5,periodic,0,0,51,1,51,10,51,95,1,1,130,140,133,152,182,129,141,7,1007,185.4,0.717064951,1,40,163,1,0.8571428571,15,0,192,
5000003,backup,20260713,small_clinic,resource_constrained,backup_periodic,internet_facing,55,57,373,flat,0.25,0.2807,24,0.5,periodic,0,0,56,0.9824561404,56,10,57,-1,1,1,190,190,190,190,190,190,192,7,1332,252.05,0.9895833333,1,8,-1,0,0,16,0,192,
5000004,backup,20260713,small_clinic,resource_constrained,backup_isolated,workstation,5,40,260,flat,0.25,0.225,24,0.5,isolated,0,0,35,0.875,35,9,35,-1,0,1,179,180,179,179,179,179,0,6,1075,210.525,0.9335171569,1,24,-1,0,0.1428571429,0,1,192,
5000005,backup,20260713,small_clinic,resource_constrained,backup_isolated,internet_facing,53,55,342,flat,0.25,0.2,24,0.5,isolated,0,0,52,0.9454545455,52,9,51,133,0,1,138,149,139,143,153,138,8,7,868,168.15,0.7389705882,1,48,184,1,1,0,1,184,
5000006,backup,20260713,small_clinic,intermediate_capacity,backup_connected,workstation,2,40,266,flat,0.5,0.425,12,0.7,connected,0,0,35,0.875,35,10,37,110,1,1,142,152,153,142,174,142,143,7,1048,195.975,0.7670036765,1,39,-1,0,0.1428571429,10,0,192,
5000007,backup,20260713,small_clinic,intermediate_capacity,backup_connected,internet_facing,50,52,338,flat,0.5,0.4231,12,0.7,connected,0,0,48,0.9230769231,48,10,49,78,1,1,120,123,117,140,184,112,139,7,935,169.875,0.6459865196,1,41,-1,0,0.8571428571,15,0,192,
5000008,backup,20260713,small_clinic,intermediate_capacity,backup_periodic,workstation,13,50,326,flat,0.5,0.34,12,0.7,periodic,0,0,46,0.92,46,10,46,77,1,1,106,114,111,125,162,106,72,7,796,147,0.5891544118,1,24,138,1,1,13,0,192,
5000009,backup,20260713,small_clinic,intermediate_capacity,backup_periodic,internet_facing,51,53,346,flat,0.5,0.566,12,0.7,periodic,0,0,4,0.07547169811,4,3,3,18,0,0,0,12,0,0,0,0,0,1,12,2.4,0.01470588235,1,32,20,1,1,0,1,31,
5000010,backup,20260713,small_clinic,intermediate_capacity,backup_isolated,workstation,2,43,284,flat,0.5,0.5814,12,0.7,isolated,0,0,2,0.04651162791,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,1,0,1,11,
5000011,backup,20260713,small_clinic,intermediate_capacity,backup_isolated,internet_facing,49,51,333,flat,0.5,0.4706,12,0.7,isolated,0,0,36,0.7058823529,36,9,36,109,0,1,110,118,112,105,95,95,16,7,651,127.95,0.5801164216,1,72,145,1,1,0,1,146,
5000012,backup,20260713,small_clinic,high_capacity,backup_connected,workstation,18,56,401,flat,0.75,0.7679,3,0.9,connected,0,0,1,0.01785714286,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,4,
