trial_id,experiment,master_seed,facility,profile,portfolio,entry_point,entry_node,n_nodes,n_edges,segmentation,patch_coverage,realized_patch_fraction,detection_delay,isolation_success,backup_strategy,identity_controls,rapid_isolation,total_compromised,pct_compromised,peak_compromised,zones_reached,lateral_movements,containment_step,backup_compromised,identity_compromised,ehr_downtime_steps,laboratory_downtime_steps,pharmacy_downtime_steps,imaging_downtime_steps,scheduling_downtime_steps,identity_downtime_steps,backup_recovery_downtime_steps,services_disrupted_count,total_service_downtime_steps,weighted_service_hours_lost,pct_clinical_capacity_lost,catastrophic,defensive_isolation_node_steps,recovery_step,recovered_within_horizon,pct_services_restored,unrecoverable_nodes,backups_available,steps_simulated,portfolio_cost
0,main,20260713,small_clinic,resource_constrained,baseline_flat,workstation,7,50,331,flat,0.25,0.18,24,0.5,connected,0,0,49,0.98,49,10,54,-1,1,1,190,190,190,190,190,190,187,7,1327,251.3,0.9895833333,1,24,-1,0,0,14,0,192,0
1,main,20260713,small_clinic,resource_constrained,baseline_flat,workstation,5,55,361,flat,0.25,0.2364,24,0.5,connected,0,0,1,0.01818181818,1,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,10,0
2,main,20260713,small_clinic,resource_constrained,baseline_flat,internet_facing,54,56,367,flat,0.25,0.1607,24,0.5,connected,0,0,56,1,56,10,60,-1,1,1,190,189,191,189,189,189,192,7,1329,251.575,0.9886642157,1,8,-1,0,0,15,0,192,0
3,main,20260713,small_clinic,resource_constrained,baseline_flat,internet_facing,39,41,275,flat,0.25,0.1951,24,0.5,connected,0,0,41,1,41,10,44,152,1,1,188,188,188,188,188,188,188,7,1316,249.1,0.9791666667,1,8,-1,0,0,13,0,192,0
4,main,20260713,small_clinic,resource_constrained,baseline_flat,vendor_connection,48,49,333,flat,0.25,0.1837,24,0.5,connected,0,0,48,0.9795918367,48,10,54,101,1,1,143,155,147,167,190,143,160,7,1105,204.225,0.790747549,1,24,170,1,0.8571428571,15,0,192,0
5,main,20260713,small_clinic,resource_constrained,baseline_flat,vendor_connection,42,43,291,flat,0.25,0.2093,24,0.5,connected,0,0,42,0.976744186,42,10,46,142,1,1,184,189,186,192,187,181,192,7,1311,247.475,0.9757965686,1,8,-1,0,0.4285714286,13,0,192,0
6,main,20260713,small_clinic,resource_constrained,profile_baseline,workstation,7,51,331,flat,0.25,0.1765,24,0.5,connected,0,0,48,0.9411764706,48,10,56,100,1,1,143,155,149,162,185,143,151,7,1088,201.95,0.7881433824,1,40,188,1,0.8571428571,14,0,192,0
7,main,20260713,small_clinic,resource_constrained,profile_baseline,workstation,14,59,415,flat,0.25,0.1864,24,0.5,connected,0,0,56,0.9491525424,56,10,60,124,1,1,158,175,165,188,188,158,180,7,1212,225.875,0.8855698529,1,8,-1,0,0.7142857143,17,0,192,0
8,main,20260713,small_clinic,resource_constrained,profile_baseline,internet_facing,44,46,307,flat,0.25,0.2826,24,0.5,connected,0,0,46,1,46,10,50,115,1,1,166,163,174,177,191,160,162,7,1193,223.625,0.8837316176,1,25,184,1,0.8571428571,14,0,192,0
9,main,20260713,small_clinic,resource_constrained,profile_baseline,internet_facing,42,44,295,flat,0.25,0.1818,24,0.5,connected,0,0,43,0.9772727273,43,10,49,91,1,1,140,145,143,150,187,140,147,7,1052,194.675,0.7501531863,1,8,152,1,1,12,0,192,0
